tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	88	5	7	60	0	204	1	68	8	0	3	36	0	0	0	19	16	75	0	175	10	68	16	859
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	50	3	18	5	13	9	19	33	78	75	5	286	122	9	1	11	0	22	2	9	7	3	57	837
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	20	4	42	83	116	14	55	59	25	29	10	44	23	28	18	17	4	25	27	97	6	43	34	823
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	12	15	34	46	79	3	23	37	26	13	10	69	52	23	27	3	4	44	61	44	0	123	33	781
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	44	20	30	24	1	0	0	1	0	116	63	0	39	0	0	1	0	11	134	7	40	4	220	755
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	2	4	14	17	0	0	0	0	223	0	81	7	1	1	0	0	0	215	1	23	54	81	724
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	28	2	11	62	75	0	2	14	29	3	0	81	19	8	17	0	6	48	61	36	0	151	28	681
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	5	59	158	10	20	8	5	2	8	4	23	51	42	16	36	1	0	23	71	5	3	43	83	676
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	6	20	0	0	0	0	0	2	15	1	129	1	0	1	0	0	5	26	0	0	413	16	635
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	13	18	113	0	2	0	0	9	14	0	79	92	0	36	77	2	1	16	0	39	0	97	0	608
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	1	0	0	0	0	1	0	227	0	1	2	0	0	1	45	0	0	210	0	488
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	15	0	3	35	57	4	17	62	10	18	22	53	26	13	8	7	2	18	17	24	11	8	17	447
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	20	0	29	4	7	3	8	67	55	23	1	113	56	0	1	3	0	7	2	13	3	1	28	444
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	12	4	54	35	33	18	3	8	4	65	33	11	10	14	8	19	0	2	17	18	16	13	39	436
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	1	307	6	14	1	0	0	2	0	0	0	37	33	1	0	0	0	2	11	1	5	12	1	434
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	5	0	0	21	42	0	0	4	0	0	0	0	0	93	153	26	0	0	0	20	0	0	52	416
