tax	BUD-57-MGE-S165	CM-NTC-009	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	192	0	267	9	46	191	137	154	208	155	17	11	107	197	20	334	154	243	201	122	257	248	139	60	3469
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	270	0	277	6	69	127	394	442	226	300	4	3	35	211	1	243	103	125	75	92	176	104	40	31	3354
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	134	1	32	3	108	116	244	662	44	283	0	1	63	430	0	54	34	101	84	47	500	151	141	24	3257
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	205	3	37	0	59	225	203	263	191	233	2	6	195	254	0	62	84	66	264	135	169	197	286	91	3230
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	2	670	0	0	361	295	5	6	0	1	3	0	66	29	0	1	1280	259	21	19	0	0	1	3019
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	118	0	0	0	0	0	0	0	0	1939	0	0	0	0	0	124	122	0	0	0	0	1	480	55	2839
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	243	0	21	2	58	98	79	93	209	143	3	1	64	65	0	141	241	70	169	88	109	401	159	108	2565
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	92	1	35	2	115	114	78	90	196	789	2	3	35	300	0	71	48	108	121	25	63	89	75	18	2470
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	140	0	124	0	2	0	55	544	0	88	9	4	43	0	1	216	6	0	226	29	4	486	410	49	2436
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	49	0	21	0	0	319	25	110	108	4	0	0	10	0	4	81	0	0	809	12	16	55	33	9	1665
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	48	0	3	0	1	137	157	479	21	4	2	3	43	10	0	11	0	8	18	7	111	221	366	10	1660
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	85	0	18	0	1	134	1	4	114	294	1	2	140	86	0	33	32	32	182	91	55	137	170	36	1648
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	92	0	25	2	137	111	113	124	147	79	1	4	23	192	0	77	71	160	72	20	41	81	52	11	1635
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1320	0	0	14	96	3	1	0	0	0	0	16	28	0	0	0	0	6	8	0	0	0	1492
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	64	0	112	1	28	45	112	92	67	212	0	1	11	75	0	24	24	35	85	31	48	217	125	26	1435
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	62	0	37	0	15	125	73	159	79	114	1	1	33	116	0	10	37	93	78	40	198	66	47	21	1405
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	77	0	15	0	24	80	44	53	89	220	0	0	71	101	0	47	32	65	138	56	37	69	111	25	1354
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	54	0	7	0	0	96	310	413	21	17	0	0	4	20	0	5	2	4	6	2	32	16	38	1	1048
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	8	0	0	0	0	318	0	0	66	12	2	1	147	0	0	40	2	0	99	127	79	54	13	14	982
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	17	1	12	1	5	92	61	42	138	123	1	0	67	13	0	3	12	8	137	41	22	84	56	17	953
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	2	0	0	0	0	191	16	27	8	66	0	2	83	0	0	22	1	0	90	58	177	56	103	14	916
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	8	0	6	0	0	184	0	0	26	119	0	2	104	9	0	7	5	0	70	49	84	77	131	31	912
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	1	1	1	8	19	12	60	5	78	0	2	41	0	0	0	0	1	52	39	45	163	292	86	906
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	17	0	3	0	1	26	26	103	6	40	2	2	2	8	0	2	3	9	91	6	44	223	103	50	767
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	31	1	4	0	14	46	14	14	164	13	10	1	5	57	2	74	21	42	87	16	24	51	28	5	724
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	53	0	18	0	0	104	74	120	58	1	0	0	13	45	0	6	18	19	49	10	125	0	0	0	713
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	41	0	66	0	14	20	70	92	28	71	2	0	11	57	0	49	18	32	12	14	35	34	12	14	692
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	81	0	18	0	0	36	0	0	130	0	0	0	6	84	0	100	26	101	73	13	6	0	0	0	674
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	18	0	3	0	0	36	0	0	35	0	1	1	48	38	0	17	2	14	101	40	83	119	102	3	661
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	15	0	8	1	7	125	8	32	51	69	0	1	13	51	0	25	7	24	46	12	22	59	54	10	640
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	39	2	4	0	2	66	69	223	14	47	1	0	8	16	0	7	1	0	14	0	22	23	60	3	621
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	3	0	0	0	0	10	3	10	25	8	0	0	11	0	0	0	1	1	4	4	11	474	3	0	568
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	20	0	5	0	17	30	30	47	31	55	0	1	13	53	0	38	11	13	17	10	13	34	41	9	488
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	471	0	0	0	0	477
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	3	0	3	0	0	43	0	0	12	24	0	0	133	4	0	32	4	0	63	76	39	13	14	11	474
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	181	0	0	25	0	1	0	60	0	0	0	0	0	40	38	109	0	0	0	454
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	2	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	397	14	9	0	0	0	442
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	4	0	2	0	0	42	8	25	8	63	1	0	30	1	0	58	1	0	81	22	42	19	15	5	427
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	2	0	0	72	17	45	8	15	0	4	6	3	0	7	0	0	34	5	41	109	23	26	418
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	3	0	0	0	0	39	0	0	57	60	0	0	0	0	1	92	1	0	78	0	0	55	0	7	393
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	3	0	0	0	0	45	0	0	12	7	0	0	94	5	0	37	4	0	59	49	31	9	25	5	385
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	1	0	0	23	36	167	5	29	0	0	4	0	0	0	0	1	12	6	67	10	13	7	381
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	16	0	0	0	0	49	112	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	353
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	8	0	3	0	1	56	21	9	55	34	0	0	26	4	0	11	6	3	45	20	2	18	13	7	342
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	0	0	0	0	0	299	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	319
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	12	0	0	0	0	0	0	1	0	215	0	0	0	1	0	18	15	0	0	0	0	0	45	12	319
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	0	0	1	27	123	1	2	0	0	1	0	0	0	0	0	5	0	1	22	125	7	315
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	85	0	82	0	0	0	0	0	0	0	0	0	0	1	0	25	82	0	0	0	0	0	0	0	275
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	2	0	0	0	0	11	0	0	3	81	0	1	4	17	0	0	8	8	19	6	3	17	47	10	237
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	7	0	0	0	0	21	34	48	7	2	0	0	5	19	0	9	3	1	6	9	59	0	1	0	231
