tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	69	349	0	0	0	0	0	176	64	31	0	0	108	0	0	97	0	57	66	315	138	661	0	0	2131
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	73	97	0	103	88	99	72	97	63	81	56	80	62	120	91	57	71	102	81	130	93	108	72	81	1977
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	17	9	0	0	2	0	0	30	2	0	1254	320	2	25	0	0	57	0	16	35	27	0	86	79	1961
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	48	304	0	30	68	104	89	33	38	1	80	262	215	14	90	18	223	15	19	31	53	18	79	72	1904
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	176	37	0	53	194	117	24	48	7	0	2	0	97	54	54	10	54	33	95	101	213	43	330	26	1768
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	11	13	0	113	79	123	42	45	10	8	29	10	8	306	42	196	15	45	55	119	91	195	30	158	1743
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	22	68	0	170	156	93	15	81	6	25	33	15	39	128	112	78	32	71	55	73	106	54	57	46	1535
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	25	0	0	300	0	0	0	73	35	0	0	0	0	817	0	0	0	0	0	0	0	0	74	198	1522
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	8	0	0	15	1	0	0	1	5	6	7	12	377	255	0	38	0	89	357	65	48	92	22	1399
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	6	0	0	0	0	0	0	48	59	0	235	297	0	0	152	3	8	136	311	1	69	67	0	0	1392
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	2	0	10	102	11	0	0	1	2	69	36	13	101	610	1	75	0	14	80	28	21	23	172	1371
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	20	0	0	160	313	84	6	34	15	4	14	6	35	125	47	37	16	12	37	135	65	105	6	87	1363
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	30	205	0	134	93	114	135	46	50	10	6	29	24	28	52	146	21	49	10	30	18	27	19	32	1308
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	65	48	0	26	125	75	18	62	50	6	72	55	92	72	37	1	66	40	31	81	101	46	41	98	1308
