tax	CHA-48-MGE-S286	CM-NTC-014	FRA-37-MGE-S279	FRA-50-MGE-S296	GIN-36-MGE-S277	GRO-42-MGE-S291	GRO-48-MGE-S278	GRO-52-MGE-S299	HAM-48-MGE-S298	HER-20-MGE-S283	HER-48-MGE-S293	IRI-14-MGE-S287	IVY-49-MGE-S294	JOA-45-MGE-S285	JOA-46-MGE-S292	JOA-50-MGE-S288	KOR-50-MGE-S295	KUB-17-MGE-S281	KUB-52-MGE-S289	LAM-42-MGE-S280	MAR-45-MGE-S284	MAR-52-MGE-S297	PAD-17-MGE-S282	PAD-7-MGE-S290	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	447	0	20	34	13	7	14	15	27	31	20	51	118	19	19	19	6	17	21	39	26	31	0	1	995
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	1	0	54	51	75	9	12	14	145	143	185	11	12	7	26	22	19	25	47	60	30	41	0	4	993
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	2	0	0	0	169	6	0	0	0	0	0	0	0	0	0	0	11	63	260	0	0	78	21	369	979
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	13	1	28	79	132	12	11	9	8	9	14	39	145	66	61	54	21	18	45	54	2	106	0	26	953
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	56	0	0	1	0	20	7	34	91	31	71	2	0	67	41	89	107	33	75	0	17	87	0	37	866
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	7	0	78	66	98	47	16	21	59	60	56	18	15	21	36	31	33	31	54	10	50	38	0	7	852
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	224	1	27	27	38	7	1	7	22	17	34	17	129	20	54	37	29	47	21	25	4	17	0	9	814
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	0	0	1	1	0	35	45	38	0	0	0	0	0	103	190	212	0	0	0	130	38	4	0	0	797
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	4	0	147	3	215	0	3	20	10	1	16	101	118	0	0	2	0	2	6	96	1	1	0	3	749
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	6	0	0	5	18	62	147	65	215	14	107	0	0	0	0	5	17	20	7	4	0	0	693
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasihormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	642	0	659
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	25	0	176	0	0	0	0	0	119	57	112	47	19	0	0	0	1	54	34	0	0	0	0	10	654
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	128	501	0	630
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	111	0	34	1	17	3	1	3	55	65	67	29	68	4	13	5	7	23	41	0	13	4	1	5	570
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	36	0	10	0	0	6	1	19	31	19	19	109	13	0	0	0	0	1	24	0	8	30	0	129	455
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	9	0	29	4	127	7	1	2	23	13	15	9	11	2	4	45	2	6	12	16	15	57	0	0	409
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	53	0	37	0	0	0	0	0	0	0	0	126	47	0	0	0	0	0	8	0	0	0	6	120	397
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	41	0	22	0	0	14	15	19	32	8	51	42	61	2	0	0	0	4	4	0	24	55	0	0	394
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	167	8	165	0	9	0	0	0	0	0	2	0	0	0	0	0	351
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	1	2	6	45	0	0	0	0	0	0	0	74	0	64	55	74	1	0	0	0	0	1	0	0	323
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	1	0	114	6	38	5	2	2	23	6	16	7	13	0	2	8	4	15	8	11	14	25	0	2	322
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	0	0	14	34	7	6	3	3	22	30	23	4	22	18	33	22	6	19	12	4	6	15	0	0	303
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	89	0	5	0	0	1	3	7	23	9	19	44	0	0	0	0	0	1	25	0	4	4	1	62	297
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	16	0	22	3	72	12	1	1	10	6	6	9	2	0	4	10	2	10	5	18	9	60	0	1	279
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	0	0	3	1	0	0	1	77	0	0	0	0	0	0	2	1	179	0	0	2	0	9	275
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	104	0	2	0	0	0	0	0	8	1	9	140	8	0	0	0	0	0	0	0	0	0	0	0	272
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	0	0	5	57	0	0	0	0	1	0	0	62	0	52	32	53	0	0	0	0	0	0	0	0	262
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	92	0	15	1	6	3	0	1	12	30	30	11	20	3	6	4	1	8	1	0	2	9	0	4	259
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	13	0	12	0	0	0	0	0	23	1	8	91	9	0	0	0	0	0	1	0	0	0	0	98	256
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	4	1	0	0	2	6	34	0	1	0	0	0	1	125	28	0	0	13	1	39	255
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	48	0	1	0	0	0	0	0	2	1	9	129	2	1	2	9	0	2	9	6	0	0	0	21	242
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	0	0	28	29	22	15	2	5	6	6	4	11	12	6	18	9	13	7	12	13	8	14	0	2	242
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	59	0	1	0	0	0	1	0	8	3	7	118	6	1	0	2	0	0	6	0	0	3	0	21	236
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	3	0	11	8	26	9	4	6	12	22	16	3	19	2	9	4	16	10	10	9	9	17	0	2	227
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	18	16	17	6	3	3	12	10	11	0	1	1	0	7	36	14	24	0	4	24	0	0	207
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	0	0	70	14	0	7	1	3	13	7	19	13	4	1	0	0	0	14	18	0	2	13	0	0	199
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	0	64	10	0	0	3	10	5	7	21	18	3	1	1	0	0	24	18	0	4	9	0	0	198
