tax	BUD-45-MGE-S220	CHA-52-MGE-S226	CM-NTC-011	GIN-18-MGE-S211	GIN-41-MGE-S217	GOO-24-MGE-S214	GRO-9-MGE-S229	HAM-45-MGE-S219	HEN-24-MGE-S215	HEN-45-MGE-S221	HER-18-MGE-S209	HER-41-MGE-S216	HER-7-MGE-S227	IVY-17-MGE-S208	IVY-42-MGE-S218	IVY-48-MGE-S224	JAR-11-MGE-S230	JAR-48-MGE-S223	KOR-22-MGE-S212	KOR-9-MGE-S228	KUB-18-MGE-S210	MAR-22-MGE-S213	MAR-46-MGE-S222	OPH-50-MGE-S225	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	3	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	341	388
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	26	0	0	0	0	6	35	12	0	0	17	11	44	34	2	14	8	24	14	27	40	27	36	2	379
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	11	19	0	5	15	22	13	5	16	13	20	18	19	22	8	21	11	23	8	21	8	14	10	1	323
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	27	0	0	0	0	10	21	0	0	13	31	7	3	20	41	44	6	1	40	6	0	0	38	308
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	2	0	0	0	0	6	0	0	0	0	0	0	4	243	47	0	0	0	0	0	0	0	0	302
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	1	1	0	41	0	1	9	119	17	4	13	2	2	13	7	1	1	5	1	29	13	1	12	1	294
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	2	0	0	19	1	1	12	85	30	0	9	10	3	4	10	4	5	0	2	47	30	0	1	8	283
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	68	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	8	0	275
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	52	0	0	0	0	2	38	1	0	15	19	2	0	40	3	46	0	0	1	5	0	0	50	274
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	0	33	0	0	0	0	38	4	0	0	8	16	21	18	10	11	49	0	0	3	1	6	2	0	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	114	0	1	0	1	1	4	1	0	10	6	0	0	6	58	7	0	2	3	3	0	0	3	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	80	0	0	2	0	9	13	3	1	5	7	5	0	5	0	79	0	0	1	4	0	0	5	219
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	3	2	0	1	5	10	10	16	2	5	18	13	20	23	8	14	8	17	5	14	11	2	2	5	214
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	2	15	0	2	3	2	2	6	8	2	11	8	10	2	12	78	15	0	3	14	6	1	0	5	207
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	4	0	0	8	11	4	20	3	11	29	14	2	19	10	5	8	0	6	1	11	6	5	8	1	186
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	0	2	0	13	2	1	5	65	5	3	5	5	1	15	5	0	6	0	1	23	7	3	5	1	173
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	1	1	0	8	7	6	25	5	15	15	7	1	12	6	2	7	0	3	3	7	2	5	8	1	147
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	6	0	0	3	1	4	8	20	4	4	11	2	4	6	6	16	5	9	9	11	10	1	3	4	147
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	0	0	0	0	0	10	23	1	0	0	3	12	2	55	0	1	13	4	4	3	2	0	1	8	142
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	0	0	4	0	2	1	1	0	4	16	0	1	0	0	1	4	6	0	0	0	0	102	142
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	0	111	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	17	0	0	0	136
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	9	18	0	7	1	0	0	31	8	0	6	6	6	0	0	0	4	3	6	13	3	7	2	2	132
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	3	0	0	0	0	10	0	3	0	0	10	7	4	3	2	1	28	4	1	10	31	5	2	1	125
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	0	4	3	10	3	5	7	5	1	2	12	1	3	3	4	6	17	31	4	1	0	122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	6	0	0	6	0	2	1	3	0	4	4	6	1	10	51	15	0	1	1	2	1	0	4	118
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	12	0	2	5	2	2	2	0	1	8	5	2	3	17	27	12	2	0	3	5	0	0	0	110
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	9	0	87	0	0	0	0	1	0	2	0	0	0	2	2	1	0	0	0	4	0	0	0	108
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	1	7	0	1	2	4	9	5	1	2	9	3	3	3	1	6	7	2	6	16	13	2	1	1	105
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	1	0	0	0	9	6	4	0	0	3	7	1	39	0	0	10	2	0	10	1	0	0	4	97
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	19	0	0	0	0	1	1	0	1	3	0	2	2	1	9	11	7	12	17	10	0	0	1	97
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	11	0	0	6	0	16	0	0	0	0	1	0	0	16	1	19	0	0	0	8	2	0	15	95
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	1	10	0	2	3	3	1	1	3	0	2	8	5	0	7	12	14	1	2	2	4	0	0	0	81
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	57	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	0	5	0	0	0	1	0	1	2	0	4	2	3	4	5	14	2	0	2	13	10	0	0	3	71
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	2	0	2	1	0	4	7	0	0	0	12	4	0	1	2	31	0	0	0	0	0	0	1	67
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	2	0	0	0	4	1	0	3	0	5	2	4	0	3	16	3	3	2	6	2	2	3	3	64
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	2	0	0	3	11	2	3	1	4	3	1	1	0	6	2	8	2	0	2	3	6	0	0	1	61
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	2	0	0	0	0	0	2	0	0	0	1	0	0	53	1	1	0	0	0	0	0	0	1	61
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	30	2	0	0	7	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	0	3	0	0	0	1	4	0	0	0	0	0	0	2	1	1	31	0	0	4	4	0	0	3	54
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	1	1	0	0	4	4	2	2	1	2	1	2	3	3	0	7	0	4	2	7	1	5	1	1	54
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	0	0	0	2	2	3	0	0	6	4	5	3	0	0	0	3	2	8	12	1	0	2	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	4	0	1	2	0	4	1	2	1	1	2	1	1	7	13	5	0	0	1	3	0	0	2	51
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	2	0	1	0	1	1	8	0	1	0	6	0	1	9	2	1	0	0	3	7	2	3	2	50
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	40	47
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	29	1	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	0	2	0	0	1	1	1	0	0	1	1	2	4	2	1	5	0	1	5	4	10	0	0	2	43
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	4	0	0	5	0	6	3	0	0	0	3	3	0	0	0	0	2	12	1	3	0	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	0	5	0	1	1	0	2	5	0	0	0	0	1	1	12	3	4	1	2	1	0	2	0	1	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	0	1	1	4	2	1	4	4	1	0	2	2	2	1	3	1	3	8	1	0	0	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	1	0	2	1	3	1	0	2	0	1	1	3	0	5	5	0	1	2	6	1	3	2	0	40
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	0	0	0	4	3	0	0	4	7	1	2	0	0	5	0	2	8	2	0	0	0	38
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	2	0	0	1	2	0	0	17	1	10	0	0	0	0	0	0	2	35
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	0	5	0	0	0	0	0	0	0	0	1	1	2	24	0	0	0	0	0	0	1	0	34
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	27	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	8	0	0	0	0	0	2	0	0	0	1	0	0	4	5	2	4	1	0	2	0	0	1	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	3	0	3	0	0	2	1	0	1	0	0	1	3	0	7	1	1	2	4	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	13	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	0	0	0	2	1	1	0	1	0	1	0	5	10	3	0	0	1	1	1	0	1	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	5	1	0	0	0	0	0	5	0	0	0	0	3	10	0	0	0	0	0	2	1	0	0	0	27
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	5	0	0	0	0	0	0	0	0	0	1	0	1	6	11	2	0	0	0	0	1	0	0	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	1	0	0	0	4	5	0	0	0	1	0	0	5	0	1	2	1	1	2	0	0	0	4	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	2	0	0	1	0	2	1	1	0	0	5	0	0	6	2	2	0	0	0	1	0	0	2	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	3	0	0	0	3	0	1	0	0	0	2	0	1	3	0	1	0	2	6	1	0	0	1	24
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	0	2	0	9	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	6	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	0	0	0	0	1	0	2	0	0	2	3	0	0	1	8	1	0	1	0	3	0	0	1	23
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	18	23
