"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0.0015	0.00025	0.00525	5e-04	0.00125	0.0105	0	0.02675	5e-04	0	0.00075	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	5e-04	0	0	0	5e-04	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0.00175	0	0	0	0	0.00025	0	0	0	5e-04	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0	0.00025	0	0	0	0.002	0.00075	0.0025	0	0	0	0.00275	0	0	0.00125	0.00075	0.00125	0	0.00075	0	0.0015	0	0	0.00575	0.00025	0	0	0	5e-04	0	0.001	0	0.001	0.00025	0.00075	0	0	0.00075	0.00425	0	0.00075	5e-04	0.00075	0	0.00075	0.00225	0	0.00025	0.00175	0.00025	0.00125	0.00025	5e-04	0.00175	0	0.00025	0.001	0	0	0.00025	5e-04	0.00025	0.00075	0	0	0.0015
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0.00025	0	0	0	0.0065	0	0.00275	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.0015	0	0	0.00275	0	0.003	5e-04	0	0	0	0.00075	0	0.003	0	0	5e-04	0	0	0	0	0	0	0	0	0.00175	0	5e-04	0	0.00125	0	0.00025	0	0	0	0	0.0025	0	0	0	0	0	0	0.00225	0.001	0	0.00025
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.00075	5e-04	0.00025	0	0	0.00025	0.00025	0.00075	5e-04	5e-04	0	0	0	0	0.00025	0.00025	0.00025	0.00025	0.00025	0	0.00025	0.000375	0	0.00075	0	0.00275	0.00025	0.001	0	0.0015	0.0015	0.00075	0.00125	0.00025	5e-04	0.00125	0	0	0	5e-04	5e-04	0.00025	0.001	5e-04	0	5e-04	0.00025	0	0	5e-04	0.00025	0.00075	0.00025	0	0.001	0	0.00025	0	5e-04	0.00025	5e-04	5e-04	0.00025	0.00225	0.00025	0.00025	0.00125
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae"	0	0	0	0	0	0	0.001	0.00025	0.00125	0.00025	0	0	5e-04	0	0.00025	0	0	0.001	0	0	0.00025	0.00125	0	0.00025	0	0.00025	0	0	0	0.00025	0	0.001	0	0.00125	0	0	0	5e-04	0.00025	0.00025	0	0	0	0.00175	0	0.00125	0.00025	0	0	0.0015	5e-04	0.0015	0	0	0.00125	0.00025	5e-04	5e-04	0	0	0	0	0	0.001	0	0	0.00075
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	5e-04	0	0.00025	0	0	0	0	0	0	0	0	5e-04	0	0	0.00075	0.001	0	0	0	0	5e-04	0.00075	0	0.0015	0.00175	0.0015	0	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0.00075	0	0.00025	5e-04	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0.00475	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0.0015	0	0.00125	0	0	0	0	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0.00025	0	0	0.00025	5e-04	0.00025	0	0.0025	0.00025	0.00025	0.00025	0	0	0	0	0	0	0	0	5e-04	0.001875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0.0015	0	0	0.00125	0	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0.00025	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125	0	0.00375	0.00175	0.00125	0	0	0	0.00025	5e-04	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae"	0	0.00025	0	0	0	0.001	0.00025	0	0	0.00075	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.003375	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.0025	0	0	0.00025	0	0	0	0	0.00025	0	0.00025	0
