"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9","ophelia_9"
"iris_14",11.0750763977666,9.17798241817443,10.2589011961592,9.92083953881302,10.3155727956797,8.30730136566081,10.5874612495343,9.27040497188391,11.1050072626468,10.7374740656411,0,7.2470981778115,10.4366720255148,4.4929220137634,12.1734358702508,11.8274915863036,5.73447928517698,13.7376610430299,10.4123882671723,16.8292350175502,10.3837572334419,8.42409779218504,9.36276639904265,10.8852065695448,10.8616882316676,9.08641715316027,8.24229487975829,10.7048238677369,11.9767834766238,9.78553741378581,10.9106938052017,7.01310034484376,8.91404751193011,9.09738742885725
"jarjarbinks_14",5.99627565386605,4.70366966658792,5.55814903338239,5.29675930235597,6.03012749828193,3.98235037513463,5.55295116032968,5.71517119060289,6.89798972189857,6.08695237142013,7.2470981778115,0,6.51571627505997,4.1495640923965,8.14236046895885,7.27395538409998,5.17216626873758,9.66790739106931,4.80141559128676,13.6380779830035,7.4281033850482,2.74286854929329,7.09200537988708,6.70074466168115,5.70791865404546,3.74888536956189,7.14851125859936,6.98197645117905,7.88791124265117,4.36581869724162,6.71593469911694,3.30609156953932,3.90164861287733,3.6740219142627
"kubo_14",8.34730438403524,7.66160787670331,4.14276301110744,7.38057770873445,6.58697898165219,4.23382782239091,5.53470700978329,6.68387116310245,9.32311092167279,7.66350280522539,10.4366720255148,6.51571627505997,0,8.11967376561571,3.42908345920138,8.339808046124,8.57545977951224,9.96098686254767,7.40319978560756,11.0390358624928,4.61604772183934,6.49660621669257,5.17783633821744,2.52486983841328,8.17272545770253,6.71122123438374,5.78424511814644,5.30629391593785,2.93085651484682,5.50971545376288,3.2760957328635,4.90264689730892,7.30593555857153,7.59387837289364
"wolverine_14",6.8757596694246,5.10485686955153,6.84020729450887,6.31185369502071,6.30335348665706,5.3565611286105,6.6928414399221,6.1362001106648,6.9730604666178,6.59799190754634,4.4929220137634,4.1495640923965,8.11967376561571,0,9.99329643891616,9.95813440139624,5.21639115936966,12.3070378942869,6.45915549308954,15.454264726986,9.11605846359009,5.21950443683942,8.57176454394676,8.24054542728158,6.65536571116083,5.52159952135713,8.0030874305673,8.0396395698927,9.3986266732607,6.42688780990851,7.99489370954204,4.97375305697476,5.74752217618873,5.01308158222451
"ginger_2",9.47327556271936,9.12091033240493,5.14626413225523,8.9755469749209,8.37393082241622,6.67929382946751,6.74748802625702,8.22969633773362,11.0536955618089,9.28615628022498,12.1734358702508,8.14236046895885,3.42908345920138,9.99329643891616,0,8.12603735414021,10.0854370751834,9.19601893556811,8.55170471440664,9.83888657200234,3.4166964358306,8.02966769018998,4.84663639488897,3.18642867307315,9.34289504965014,7.87767183958787,5.92281335401442,6.0438701378839,2.33114201533629,6.46311578993105,4.48149435944994,6.48222173303942,8.60946789103397,9.03218257432865
"hera_2",9.6590385217355,9.74059991433301,8.71447159052534,8.75763551067919,10.5787060090567,7.99176609821309,8.87824814714679,9.64469776304652,11.372097343794,10.5411651510679,11.8274915863036,7.27395538409998,8.339808046124,9.95813440139624,8.12603735414021,0,9.73801221114743,2.7410489889583,7.68869668681292,11.8113034307573,7.05837282906699,6.02782449897595,7.45819040764663,8.90607832431701,9.30169344361626,6.41982575210654,8.23189878048747,9.78472424879613,9.18452937163381,5.72742257678528,8.79257014147595,7.27501600106311,7.99330970656122,8.67723297999206
"jarjarbinks_2",9.94679670222385,7.83086131835291,8.69543693404195,8.92126482092019,9.20372498838799,6.81671568880286,9.08686348245692,8.20541295957147,10.0432517954221,9.7234439942967,5.73447928517698,5.17216626873758,8.57545977951224,5.21639115936966,10.0854370751834,9.73801221114743,0,11.4849935206103,8.87277910495038,14.8345429263104,8.58330079739276,6.28805506987698,7.6294086094122,8.69311925136753,9.68175163764147,7.33626594466952,7.10618856565544,9.30182153375336,10.1060137179024,8.09558800132226,9.31072038116398,5.06147299064442,5.90200415054765,7.93377403683593
"lambchop_2",12.0732572222891,12.1681052420382,10.7697031802067,11.1834350307888,12.9450180781663,10.2317409484138,11.1018447367327,11.827388885928,13.7850321615469,12.9259066047331,13.7376610430299,9.66790739106931,9.96098686254767,12.3070378942869,9.19601893556811,2.7410489889583,11.4849935206103,0,10.1194071416149,11.7611415499359,7.96361904290413,8.48365005438522,8.40404303397908,10.4792364807933,11.7341762231078,8.82834169793957,9.32276302515497,11.5444421763509,10.5932715362639,8.0876145114313,10.6368468865294,9.26875567557822,10.0403134084143,11.2216486294882
"jarjarbinks_3",2.67575251966574,3.75956361498996,4.98063305674239,4.2192117027485,4.53720052278316,5.35049474874592,3.28609357133047,5.86862635306733,4.12347969760769,3.8959080155441,10.4123882671723,4.80141559128676,7.40319978560756,6.45915549308954,8.55170471440664,7.68869668681292,8.87277910495038,10.1194071416149,0,14.1697439257623,9.00413319194923,3.80273949926653,9.32901164543007,7.06731994520552,2.33132041913263,2.64972136321562,9.61950347391942,7.36314705060737,7.87292820212734,3.30254992320968,6.59825050705171,6.70784429955167,4.57721469595952,2.77478331929958
"goose_4",15.1951983548523,15.0249724325222,12.3902933367353,14.758202911961,14.8374716077048,12.9908963954186,13.3563210945838,14.4053102260276,16.6363191462259,15.3446507675121,16.8292350175502,13.6380779830035,11.0390358624928,15.454264726986,9.83888657200234,11.8113034307573,14.8345429263104,11.7611415499359,14.1697439257623,0,9.84340651546851,13.4414655623899,10.5713237148738,11.3030182886349,15.0527027571045,13.5999371260332,11.295814783395,12.0427823377757,10.746240648154,12.3905103212904,11.9565653332437,12.3488799534108,14.2535824884329,14.6767421213142
