"","buddy_16","buddy_17","ivy_17","padme_17","buddy_18","ginger_18","ivy_18","franc_19","ivy_19","ginger_20","buddy_21","joans_21","franc_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","henry_24","ivy_24","marshmallow_24","henry_25","ophelia_43","goose_44","iris_44","jarjarbinks_44","lambchop_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","goose_46","hamlet_46","iris_46","lambchop_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","lambchop_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","lambchop_50","ophelia_50","wolverine_50","lambchop_51","goose_52","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","lambchop_55","ophelia_55"
"buddy_21",21.8393979247619,11.8641140881568,17.8207291996209,29.4947882885851,20.2846371746181,15.6412392889888,22.2223216148554,17.9583868298142,21.5645350250158,15.2282835772632,0,17.4200610488481,18.2843467710764,16.6272442764656,17.9205768057136,19.4074812206653,14.1535115533067,18.4055126086461,15.3038774378667,18.1383982640353,23.1417448255606,17.1769815597849,19.0154957708532,21.6309660645151,17.6152357246506,20.505434605944,20.2933194403375,14.0177650236773,18.0165733070237,19.5444602919985,23.920912421109,19.1753499006591,21.3294537787083,15.0706695110829,18.4996913485579,21.4764374799518,14.2235503729679,18.6522121813601,19.896485889766,21.9221670627946,18.3597160937305,18.9727925937847,17.2390611219029,15.5180265647604,21.42541432427,20.817452128236,19.6539542417573,19.052015334184,16.5104449190979,22.725791025155,20.8409142881748,17.8192103804567,17.142016195166,18.2839455586449,15.6820419028686,25.0893539543593,19.1771107616174,14.3245744072932,14.9618858504257,16.0671773853216,20.4357459272898,17.0002441174188,17.6223664230742,19.3463333830846,14.5915198061068,22.854180219759
"joans_21",24.4701576818089,20.5003496861223,19.1553354443638,27.5943911084216,16.4958681549633,21.431374916906,26.1702534390966,20.3010421256622,25.4985894979614,21.4464487032961,17.4200610488481,0,19.2791470631325,16.9527635300492,23.1001866304421,24.6436457290799,18.5688642786039,20.5066104268514,19.1691225605805,23.2003279871116,27.485084110308,19.1578328910381,23.9128081935185,25.16615259219,21.3635053960922,20.71263724935,21.934427669968,17.7435728989878,24.7486315403088,25.90542190548,25.3579553147261,23.572698639599,24.6739482332982,18.2119334350434,24.2971236956224,21.7433063846111,17.1113792264439,24.6580505840982,25.1231396223853,21.6125293881646,22.3500086459169,23.3540019596232,22.2062793476055,18.5944850813044,25.9701735562989,21.563233004124,20.7697786531546,22.7754964104377,21.6243339042799,26.2598955307858,21.7127842475203,22.82451337408,21.3147074790664,23.3860047286574,18.6404192438044,26.1009026152034,20.9229707644839,18.9647659724926,18.195878140893,21.5110413219033,23.7767348346703,23.5062839569115,23.4300397617796,20.6653328668366,18.0116718912573,25.8779381951404
"franc_22",24.3890670377947,17.0688988539482,9.36078614855907,30.2173131238828,22.7360004630753,18.8576815685207,24.2459215253917,9.91225872357236,22.4979495155575,17.3135259172187,18.2843467710764,19.2791470631325,0,18.6947949280479,17.0969267567975,18.9590436293371,15.9506025459998,10.0988915562534,13.8320807496008,17.2897840027795,21.8399945984672,17.9407793955985,19.1410535324331,20.5203566897124,15.4283012262923,16.2726499849293,23.2778935519903,15.43799445903,20.6657800593963,20.8746129908323,23.0331081260012,16.5340065205354,20.0780368804433,15.254584802381,18.7462051564934,16.2638985621718,16.1330637236881,18.4007575731707,18.0680769401208,16.3494091844134,16.6150310605445,16.042958923117,15.8126479334015,14.8610806039104,21.9197058511393,16.4231157718201,14.6482280272254,14.3094678293386,14.7334418380843,21.1108978974681,15.6597329499226,15.1294881213785,14.722124991123,14.6720197032094,17.3012157142014,24.2282988459204,15.9193048253629,16.178020018506,15.5153755522896,14.4180193248349,16.6904347352988,17.8805204390809,16.2220982329268,14.8466761371,16.0836433859358,21.3937329079655
"grogu_22",21.4475242403743,18.6266919376391,18.2216860189293,24.2442024958467,15.7371565728923,18.6935682157983,22.0153416801056,18.7333908975896,21.7111968028527,17.2056111515215,16.6272442764656,16.9527635300492,18.6947949280479,0,18.8384860099179,20.1486684715564,13.8966216262537,19.008760250115,15.0316725018776,19.7639361909007,24.630455507961,7.9947393436157,20.723483384648,21.2002714300343,18.2184578383266,21.4900675629354,17.5505655548726,14.2580620859839,20.1279183642278,21.0555891575992,21.4289323074762,20.4977746339324,21.1390317606619,17.7179136535736,19.6647630120785,22.136751213696,14.4049596719903,18.9575668910701,19.4322583012692,22.098445461171,18.9039026806776,20.0926867718672,19.1605165671734,16.1839592075291,21.3299040664999,20.7491590022663,20.5622861656493,18.7065269156009,18.152951095778,21.1479185510497,21.3557217229744,18.0778434408999,17.9467827339723,19.4437971041682,15.2580552255611,21.349211628603,19.1155826070436,14.8199329118307,15.9818797129163,17.0092192650242,20.645826221191,18.8964329907778,19.6742034412007,20.440870524687,14.3700977165657,22.1595258573904
"henry_22",21.6364576025459,16.0028632406255,15.4974798627759,28.2066090616119,21.5479519204146,14.7728067736758,22.5797897035112,16.3037108376203,22.1520956938773,11.1369659114603,17.9205768057136,23.1001866304421,17.0969267567975,18.8384860099179,0,15.7944847435338,16.2502550553306,16.8365041289329,12.9274694139116,7.31205805841628,23.5319932590187,19.6140233672125,8.48144173531971,18.5322328088905,17.0598538739297,21.4197645217128,19.6188274600413,17.4283847606887,16.8504685382518,18.0246598962448,21.5475898866009,11.988337935064,18.4142762049442,16.8957562416321,15.3654604160859,20.8792230202711,17.0984116115965,16.2430794829879,16.0420923772577,22.1752712242165,13.3011979668863,11.718324900615,18.0920842650327,17.0987940611712,18.5285168237577,18.9611021312351,19.7834080950832,14.8811583241514,16.5317454413607,16.9938217809271,18.8609992556276,15.4754684069795,11.2624758160134,17.3416969212327,18.6183693015699,19.2497541090331,16.9967309601146,17.8885138181315,17.514183902385,13.6890772440982,12.0378500894018,14.8760016335513,18.3233925171732,20.7138372574903,15.7027377863523,17.5774396923922
"joans_22",25.229944787447,17.0686180534817,18.28502704394,28.795605561716,22.3189901032412,19.475596281395,22.0306802266002,18.4738790662229,21.7033299042982,17.1909738927731,19.4074812206653,24.6436457290799,18.9590436293371,20.1486684715564,15.7944847435338,0,19.4102382905375,18.6179193574382,18.5915055683209,16.6811217259392,22.5885373446543,19.8771222391909,15.6889795169606,16.165672908436,19.8965242888265,22.1374089044496,23.56734640212,20.6228889714227,14.0274541351663,14.2062531781324,19.9930958209751,16.6341014550885,16.7093937012756,21.3704719064972,13.7111307951862,20.0362223644494,20.372798472539,12.695200007825,11.685667374773,22.1906378237833,17.0555665075245,16.6075456685046,18.7965086487366,20.4330228647862,17.4046960902816,17.1102080660202,21.0088331302316,18.8181878742795,17.7310395908964,15.577924262885,17.4830850428384,18.6534778529725,16.7502146020738,17.9318858260099,21.4615728500937,17.3612594925581,15.41309359088,20.5310694089513,20.6876416906941,17.6030433342741,15.2070611280076,12.8323488336752,17.4706500870872,20.2139204106739,19.3383340953387,16.3838181388764
"marshmallow_22",19.7245311417182,16.6073749019995,15.789579350806,28.5304604232406,19.4855386651421,15.0300287520777,24.2113144391688,16.205506712759,22.600167190174,14.6438669517514,14.1535115533067,18.5688642786039,15.9506025459998,13.8966216262537,16.2502550553306,19.4102382905375,0,17.1928017019059,12.5020687918683,16.1295877020424,24.2908900657474,14.5352361879319,18.1565314588219,21.5589551937305,13.8264593049192,20.7014444983104,17.208327759704,13.2066709277358,18.9027565069503,20.4425110820278,23.1043821498166,14.9222520469197,20.8630115353894,13.590759746422,17.0301382936981,21.3944622959839,14.1558006049483,16.9588693791124,18.1587380416442,20.8609977546618,14.3161737359667,14.5755248205697,17.9854478481736,10.5098753968218,21.7540867653036,20.4367633463633,17.4764834307582,14.0541479689329,15.5669798919128,21.4153001678674,20.4646389749253,12.0751395328018,11.1167260579283,16.6711945112236,14.3804625561669,24.3138195384477,18.1477019485822,12.1696068132586,9.58566966256569,10.0586366789744,17.0378758346059,17.0588170214619,17.8546351677996,19.1389180235634,14.1498012647556,22.7505476807649
"franc_24",24.9877922162336,16.2781614850689,9.56001053826191,29.916614689214,22.743870807029,19.4915426321873,22.676967791149,8.63367430790658,21.5619437868792,17.9558752261113,18.4055126086461,20.5066104268514,10.0988915562534,19.008760250115,16.8365041289329,18.6179193574382,17.1928017019059,0,14.7036404919569,17.3026296639967,21.5785216720617,18.9707098396603,18.6609689915859,19.0127465064485,18.0728723921937,15.749948882202,23.0133825502827,16.6647572840536,20.1784058095227,20.8474888906598,22.5617566343047,16.9893980256096,19.595668641603,17.4568226130262,18.9884256267125,16.1300079509349,16.017758412389,17.8817037156593,17.138590630283,16.8944137813391,16.8433608137982,16.3306975320971,15.2118108238165,17.2336454223294,21.1514623620521,15.9410463530551,15.5745862708829,16.7966740059695,13.632610644916,20.5630907194385,16.0603903987652,17.4653240195316,15.761078806978,15.018973861403,17.9224987333846,22.9708294228362,15.7553980676673,16.9323219897761,17.6811921925103,15.9867553109133,15.6235251442134,18.011794008845,15.6342367986922,14.6030232278297,15.7223482940278,20.9228508198459
"ginger_24",20.0933958494186,16.3098190808013,14.6904262486166,27.888953763149,21.2147317413092,12.2586203806648,20.4335150184571,14.4295189130415,19.0247359680261,11.1303904868864,15.3038774378667,19.1691225605805,13.8320807496008,15.0316725018776,12.9274694139116,18.5915055683209,12.5020687918683,14.7036404919569,0,13.4274574812999,21.0691858756357,16.010536329049,15.9139998707196,19.8334214860273,16.4016952703161,17.9654695471293,19.8057517814975,12.3862979796,17.9650147494502,19.3485735123019,21.4959567419009,16.1465811533694,19.1024146952164,15.51705325048,16.5101689513299,18.6764000891171,12.4522699999589,16.7716091531475,17.5371848564941,18.6058688344306,17.0320788230371,15.5951352581925,14.0512118807132,14.6726832158908,19.8176623687791,17.8254813828276,15.5802209248518,16.151329643741,11.9858146089877,19.9927066148435,17.3416737423964,15.6819377506051,12.3017483742402,13.539334022583,13.6502802879382,22.8882217133959,15.6303015786534,12.0218484157758,14.5388974333186,12.7917641708642,16.5545549625254,16.5841745489885,14.9701096709755,16.7876818020641,12.6119076342465,20.9903919517351
"henry_24",21.7896457283195,16.3994547583295,15.8239486766334,28.5184344117955,21.6348260087084,13.7002793088894,23.4684159597761,16.655207724253,22.0725840739794,10.9752751744518,18.1383982640353,23.2003279871116,17.2897840027795,19.7639361909007,7.31205805841628,16.6811217259392,16.1295877020424,17.3026296639967,13.4274574812999,0,23.133799028676,20.3172259647889,8.55869993450284,19.4337618496537,16.2436561769181,21.4852294491868,20.2049882839373,17.0830662621791,17.6592071789187,18.7279614040242,22.4201376586507,11.6550579651941,19.2254626500832,17.0589628071288,16.2449995559046,21.1265508312142,17.1333287875475,17.2622513995067,17.1216176975126,22.5886510772073,13.8637268445965,11.0879014699635,19.1533706236876,16.7147275065114,20.026867733258,19.1222907954859,19.4255121171851,15.2983577536178,17.1700125864797,18.4322006905455,19.1416255172427,15.269104695428,11.3965407773465,17.4777205618347,17.9479797498647,20.0106743426043,17.0545457453656,17.1462668630108,17.1066968341649,13.6696665532111,12.6750135756122,15.0314522953861,18.3568819359772,20.7927197891594,15.4613453001991,18.7262916322571
