"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"txid470145"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
"txid387090"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"txid357276"	3	1	95	2	5	3	4	0	0	0	2	211	0	1	139	1	18	6	1	0	3	5	1	5	2	6	1	6	2	4	369	10	14	1	7	0	4	7	10	6	3	2	2	0	3	8	9	8	3	2	2	531	11	3	163	11	1	9	8	4	7	3	8	4	5	66	7	6	17	4	8	24	6	3	1	2	5	102	15	3	153	15	3	97	11	1	2	37	9	2	13	39	5	2	0	3	51	10	3	2	3	5	2	79	8	14	1	3	46	3	4	3	9	1	2	52	16	14	1	5	40	8	1	4	1	5	8	2	13	1	0	1	0	23	43	3	1	0	11	25	2	5	6	47
"txid2786956"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	1	0	0	4	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid2739389"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid204516"	0	0	12	1	0	0	7	0	0	0	2	222	0	9	82	0	16	4	0	1	0	7	0	29	3	1	0	67	7	0	136	33	3	6	3	0	59	1	3	45	0	1	0	0	1	0	1	1	0	0	119	213	27	0	36	3	0	5	1	13	1	0	5	0	4	6	0	0	1	1	3	4	0	25	0	7	0	44	1	0	1	5	1	74	0	0	0	1	8	0	0	37	0	0	0	0	1	1	1	1	1	1	14	2	13	0	8	0	4	0	0	4	0	7	2	2	5	53	17	0	43	4	0	0	0	2	1	2	0	0	0	0	0	13	17	6	0	1	0	7	0	91	59	273
"txid1236498"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid484018"	0	1	0	56	52	1	1	0	1	0	90	13	0	0	7	69	776	220	2	4	0	3	1	91	176	398	1	2	25	78	11	121	136	10	125	5	34	95	216	1	0	35	2	1	34	13	4	154	1	0	15	2	0	3	4	3	0	2	4	0	1	4	2	1	2	9	3	21	5	2	5	2	2	1	0	0	0	3	0	0	0	5	26	5	7	1	2	0	2	0	3	5	3	0	0	2	0	2	0	7	1	3	0	0	0	6	0	1	0	0	2	61	1	0	24	0	10	6	1	2	10	97	2	1	1	11	0	4	88	0	3	0	2	297	3	1	3	0	1	0	0	2	385	34
"txid1236538"	9	24	0	26	62	16	100	0	0	2	44	219	0	48	113	43	32	52	128	13	41	90	119	17	133	131	17	100	51	89	190	10	147	47	117	14	42	12	77	77	54	4	53	0	7	68	65	180	47	21	21	128	53	96	259	159	14	113	96	23	64	77	180	36	85	552	154	13	155	19	227	79	127	54	36	93	61	217	16	25	0	161	20	147	80	39	36	0	135	26	152	137	77	40	0	6	0	179	49	13	97	185	23	0	159	248	20	71	0	93	75	20	119	99	11	36	154	416	92	35	319	20	70	56	51	41	35	56	130	0	18	11	5	208	53	31	19	1	18	0	2	120	51	57
"txid435590"	57	9	56	61	28	160	51	0	1	21	19	269	0	45	132	13	43	57	12	130	8	56	8	5	34	130	5	145	37	33	130	5	61	9	66	60	77	11	102	64	10	4	9	0	11	23	24	75	6	9	105	749	49	142	421	40	2	44	11	17	17	13	70	11	23	309	22	13	46	7	34	87	24	63	7	74	19	553	16	9	34	85	9	593	34	5	11	6	57	13	42	404	9	9	76	45	14	67	14	9	34	31	33	41	85	40	8	29	74	17	6	16	39	35	7	178	56	445	33	13	309	31	8	29	13	13	8	5	50	128	5	8	3	209	137	24	6	131	243	12	4	348	244	142
