"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"txid1469948"	0	1	2	0	1	1	0	0	3	0	1	6	0	0	1	1	2	1	0	3	0	0	0	4	2	2	0	0	5	2	1	2	0	0	3	0	1	2	7	0	4	2	1	1	3	0	0	1	2	0	1	1	1	2	2	0	3	0	3	0	1	0	1	3	3	0	1	0	3	0	2	2	1	1	3	2	9	1	1	2	0	1	1	4	0	1	2	0	1	1	2	2	1	0	3	0	2	1	2	1	1	3	2	2	2	2	7	0	0	1	1
"txid29364"	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	4	0	1	4	0	1	4	0	0	0	3	1	0	0	1	1	1	0	0	0	2	0	1	0	1	2	1	0	0	0	1	0	0	1	2	1	1	3	6	1	0	0	0	2	0	0	0	0	3	1	2	0	0	1	0	1	1	0	0	1	2	1	0	2	0	0	3	0	6	0	0	1	0
"txid1512"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0
"txid1926283"	1	3	6	3	4	1	3	2	2	0	0	4	0	0	0	1	7	1	0	0	0	0	0	1	4	1	0	0	0	0	1	1	0	0	2	0	0	0	1	0	2	0	0	4	0	0	0	2	2	0	0	1	6	0	3	0	0	0	1	1	2	2	1	0	1	0	2	0	0	0	4	0	0	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	2	17	1	0	0	1	2	0	5	2	1	2	1	4	0	0	1	3
"txid1871021"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
"txid1852382"	2	6	2	4	1	1	3	6	3	0	4	5	0	0	4	7	11	3	0	2	0	0	0	3	4	6	1	0	3	4	0	4	2	0	1	2	2	3	5	0	4	3	0	6	3	0	0	2	3	1	0	4	5	6	10	0	0	1	4	4	4	2	2	2	2	0	2	3	7	0	3	8	2	0	5	3	4	1	1	1	0	0	0	5	0	4	3	0	7	3	4	3	0	2	14	0	2	2	4	7	0	8	3	2	2	2	12	0	0	0	6
"txid253257"	2	1	7	1	1	5	2	8	2	0	1	3	0	0	0	3	6	2	0	2	2	1	0	2	3	0	0	1	6	2	0	1	1	0	4	1	0	3	4	1	3	1	0	8	2	0	1	2	2	1	0	0	6	2	8	0	0	0	3	1	7	2	2	2	4	0	2	1	2	0	4	4	0	0	4	4	5	0	1	0	2	4	0	0	0	2	1	2	3	0	3	2	0	1	13	1	1	0	0	2	0	17	8	2	2	2	11	1	1	0	0
"txid1286362"	30	15	25	38	16	12	26	37	38	0	5	70	0	0	1	16	44	1	0	6	1	0	0	5	42	13	2	2	6	8	2	1	6	5	13	23	3	6	5	1	23	3	1	34	4	0	1	9	2	1	0	14	40	3	12	0	0	1	8	1	14	6	3	5	8	0	6	2	4	0	40	7	6	1	6	9	6	2	0	1	1	1	0	8	0	7	1	1	2	6	34	17	0	0	52	4	4	0	2	29	1	22	15	5	4	12	19	4	0	1	7
"txid69825"	4	3	13	7	7	9	4	15	6	0	0	8	0	0	0	6	5	1	0	0	0	0	0	0	10	2	1	1	3	2	1	0	1	3	3	4	1	2	6	1	4	2	1	13	0	0	1	4	2	1	0	1	23	4	5	0	0	0	4	0	7	4	2	1	1	0	2	3	4	0	9	7	2	0	3	1	6	0	1	0	0	1	0	4	0	2	0	0	1	0	2	4	0	1	25	1	1	1	2	6	0	7	4	2	3	1	13	1	0	1	1
"txid84030"	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0
