"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9"
"jarjarbinks_2",3.65946856549668,2.72329628695316,4.88558295004156,3.23277361829439,4.01540186310587,4.03639179710278,3.89749522180113,4.03300506088316,4.03914484271718,3.84713320457891,2.70683512864283,2.46951603957809,6.50939761335876,2.28776480569973,6.63280054069602,3.22544698042448,0,3.25847325427861,3.05207023683193,7.14512384210888,6.42561883982534,2.69975297030761,6.28232543055971,6.73201278891456,3.60683250104687,3.28743392818999,6.49445332204819,6.25320775104662,7.161520829952,3.3331731452681,5.6483839372666,4.43709075701443,2.1828275519309
"lambchop_2",1.48097943075677,1.83794749793645,5.30534544108084,1.83106212429558,4.04598449416339,4.33011833499858,3.59649950529206,4.16004404355798,2.3812172192787,2.62272597951946,5.41091986154001,3.07333371831291,7.21312598698376,3.87137621169028,7.39184170721542,2.39213137358863,3.25847325427861,0,1.34096029911191,7.8614616648896,7.17398564242406,1.89613992119412,7.08560475355475,7.48207200115833,1.2761225131583,2.2466678178051,7.43327243407651,6.98636650288005,7.92797701722613,2.17268814057393,6.18503635499872,5.14847715394128,2.21879125998005
"jarjarbinks_3",0.934684188950912,0.781623965352221,4.81129788595476,0.685137064883899,3.24338588635338,3.74311693237818,3.03236510863655,3.49477863678862,1.64140728724581,2.05641431487724,4.8756614709327,2.22419188975192,6.76775641903038,2.99285434346,7.02506813823553,2.64177347250412,3.05207023683193,1.34096029911191,0,7.46618943855099,6.72568859511322,1.05271623561046,6.61020274057811,7.0613179354839,0.98588123493165,1.88852525395566,6.97218818562674,6.46511129057824,7.49932881240514,1.18309950066948,5.75210450287869,4.68232275231645,1.7169241929557
"goose_4",8.08461917879653,7.72439025911741,2.88023463642668,7.39858145140971,4.60778609123802,3.78478340590673,4.72807334144608,4.27221903557945,8.45848805179859,6.40864498330789,7.01963784026176,6.02938911476164,0.840924033084506,6.9432158872739,0.758818300884995,8.20889849319536,7.14512384210888,7.8614616648896,7.46618943855099,0,1.03422566881606,7.07838783273005,1.19406376441223,0.686626671540718,8.23663579683046,8.27493222836456,1.29238141200158,1.54680752099598,0.447292036790809,6.5267001960585,1.87270863564703,2.98139579111443,6.41826571329287
"padme_5",7.33270196986068,6.96767259481719,2.10654251133641,6.66667382783982,3.81368643703731,3.03544797328141,3.91443321588693,3.45263369885057,7.68286606818863,5.65586135967381,6.27947905524081,5.27010265096071,0.44895506245275,6.12900155964247,0.858465732210211,7.47624919258921,6.42561883982534,7.17398564242406,6.72568859511322,1.03422566881606,0,6.3416365278564,0.313905570515699,0.727192463712782,7.48933180006596,7.43221872657506,0.594620574120512,0.948971848576776,0.92946618511377,5.77085625315581,1.2262094645685,2.18349969231367,5.67184661259432
"korra_6",1.7662928226744,1.27212586743867,4.59031564803521,0.862358500413449,3.05196684425358,3.41426685846742,2.94908490071872,3.25336262715334,2.52284252736038,2.34357708130985,4.11958386121872,1.68042085478198,6.39014730409413,2.29121333603897,6.68360131640605,3.13247612055381,2.69975297030761,1.89613992119412,1.05271623561046,7.07838783273005,6.3416365278564,0,6.23259910504774,6.71758363962037,1.85798849491229,2.04180191280355,6.57461229063087,6.09673909870282,7.12258445884225,1.52763932905326,5.47686203832944,4.38453247889661,1.72218334492023
"padme_6",7.2150766811817,6.82987199794295,1.97222128771356,6.55554561226093,3.66582851154185,2.92087656833041,3.80466128542215,3.31588994921599,7.5391211394297,5.53670451990035,6.13760038237959,5.12463855850683,0.559086946588882,5.9720813324937,0.974246725095425,7.33753215609191,6.28232543055971,7.08560475355475,6.61020274057811,1.19406376441223,0.313905570515699,6.23259910504774,0,0.779617644529367,7.37397938141709,7.31928234238564,0.594188412585747,0.878175978097383,1.0721968657652,5.64724924903198,1.12543857163679,2.04738084761928,5.53016692377386
"ginger_7",7.66262649183101,7.29512632143273,2.36781126862553,7.02417415279728,4.14712726637057,3.37503096415724,4.30143986384802,3.82894086863784,7.99136984115078,5.96582794621125,6.70392244055266,5.6083451116893,0.502033677494539,6.55431228593103,0.465594494900746,7.71740246180702,6.73201278891456,7.48207200115833,7.0613179354839,0.686626671540718,0.727192463712782,6.71758363962037,0.779617644529367,0,7.81653405137114,7.88811905283752,1.04194004493955,1.19016000895349,0.545691204904768,6.10661374862017,1.35746678647851,2.50340495750003,5.95546293023019
"hera_7",0.349802377344397,1.3061878608059,5.52640262822233,1.48924091321354,3.96229895687001,4.5497439674806,3.70855388022526,4.23310369029198,1.26139631141896,2.44936229718291,5.53548367945124,3.02061166620129,7.5392108355651,3.64914214861533,7.78878423431491,2.30188979732966,3.60683250104687,1.2761225131583,0.98588123493165,8.23663579683046,7.48933180006596,1.85798849491229,7.37397938141709,7.81653405137114,0,1.93576072065427,7.7391025514258,7.22718180773035,8.26657223246632,1.91452661311191,6.48955790097072,5.4510137828865,2.30210307705156
"iris_7",2.01924781775657,1.92761214756733,5.6894385045367,2.0381704819123,4.22982851932742,4.69064665550349,3.79291746863394,4.30829357554667,2.37662019811598,3.11716266419824,4.66548587705099,3.2034815987283,7.57225912892941,3.06461141587877,7.84682759337749,3.23505538011685,3.28743392818999,2.2466678178051,1.88852525395566,8.27493222836456,7.43221872657506,2.04180191280355,7.31928234238564,7.88811905283752,1.93576072065427,0,7.56894662084646,7.2417227832537,8.29662708141618,2.48019039800955,6.62555337692629,5.45517818757871,2.84173219944592
