task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
33	60/d26fed	2136009	minimap_pipeline:minimap (WOL-58-MGE-S153)	COMPLETED	0	2025-03-24 13:05:36.086	24.3s	24s	2502.5%	943.7 MB	6.9 GB	633 MB	105.4 MB
32	74/7d48de	2137422	minimap_pipeline:minimap (BUD-52-MGE-S144)	COMPLETED	0	2025-03-24 13:06:00.427	17.2s	16.8s	2278.2%	795.9 MB	6.7 GB	608.7 MB	82.9 MB
31	b5/ff4f44	2138482	minimap_pipeline:minimap (HAM-18-MGE-S157)	COMPLETED	0	2025-03-24 13:06:17.642	16.8s	16.5s	2246.0%	932.6 MB	6.9 GB	610.2 MB	84.1 MB
29	79/ae3e30	2139790	minimap_pipeline:minimap (HER-53-MGE-S146)	COMPLETED	0	2025-03-24 13:06:34.472	14.7s	14.4s	2135.3%	922.9 MB	6.9 GB	594.5 MB	69.8 MB
34	fe/bc6c98	2140835	minimap_pipeline:minimap (CHA-55-MGE-S150)	COMPLETED	0	2025-03-24 13:06:49.176	19.6s	19.2s	2316.4%	939.7 MB	6.9 GB	634.6 MB	106.7 MB
35	e8/f6c34e	2142014	minimap_pipeline:minimap (GOO-22-MGE-S139)	COMPLETED	0	2025-03-24 13:07:08.794	22.1s	21.8s	2445.5%	930.9 MB	6.9 GB	623.9 MB	96.8 MB
36	01/1414f9	2143137	minimap_pipeline:minimap (LAM-17-MGE-S156)	COMPLETED	0	2025-03-24 13:07:30.953	41.7s	41.4s	2767.0%	947.9 MB	6.9 GB	647.1 MB	119.1 MB
37	8a/ac3079	2144716	minimap_pipeline:minimap (LAM-55-MGE-S149)	COMPLETED	0	2025-03-24 13:08:12.670	18s	17.6s	2266.4%	922.4 MB	6.9 GB	617.8 MB	91.2 MB
38	d3/764790	2146206	minimap_pipeline:minimap (HAM-23-MGE-S140)	COMPLETED	0	2025-03-24 13:08:30.685	15.8s	15.4s	2161.3%	929.2 MB	6.9 GB	601.9 MB	76.5 MB
39	08/5532c0	2147513	minimap_pipeline:minimap (OPH-19-MGE-S159)	COMPLETED	0	2025-03-24 13:08:46.501	19.7s	19.4s	2354.9%	911.2 MB	6.8 GB	635.6 MB	107.3 MB
40	87/d4d2e5	2148666	minimap_pipeline:minimap (FRA-53-MGE-S147)	COMPLETED	0	2025-03-24 13:09:06.232	17.1s	16.7s	2211.4%	880.6 MB	6.8 GB	616.6 MB	90.1 MB
41	3d/932350	2149948	minimap_pipeline:minimap (FRA-19-MGE-S160)	COMPLETED	0	2025-03-24 13:09:23.357	22.9s	22.6s	2414.0%	993.5 MB	30.4 GB	638.9 MB	110.4 MB
42	07/dfa310	2151232	minimap_pipeline:minimap (GIN-52-MGE-S145)	COMPLETED	0	2025-03-24 13:09:46.318	19.4s	19s	2321.1%	922.9 MB	6.8 GB	632.3 MB	104.6 MB
43	8a/07773a	2152566	minimap_pipeline:minimap (JOA-24-MGE-S143)	COMPLETED	0	2025-03-24 13:10:05.725	10.1s	9.8s	1798.2%	840 MB	6.8 GB	560.2 MB	38.5 MB
44	86/cd6097	2153774	minimap_pipeline:minimap (CM-NTC-008)	COMPLETED	0	2025-03-24 13:10:15.859	5.4s	5.1s	318.8%	781 MB	4.6 GB	523.3 MB	4.7 MB
45	81/ec908d	2154649	minimap_pipeline:minimap (MAR-53-MGE-S148)	COMPLETED	0	2025-03-24 13:10:21.280	23.5s	23.2s	2464.7%	795.4 MB	6.7 GB	630.5 MB	103.5 MB
