"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"Genetic Information Processing|Translation"	0.0202091938375725	0.0155566191487534	0.0199975562596132	0.0174530055753437	0.0185045214115769	0.0182183673872889	0.0210115893880523	0.0178715608032564	0.0179630189941031	0.0145394053107945	0.0178652864936466	0.0157314126388507	0.019044568354038	0.0138454623195145	0.0177583688410861	0.0200919058825657	0.0177098075292617	0.0168994116382446	0.0132482706171858	0.0174303530389729	0.0140336269945328	0.0190316940001743	0.0165443759072693	0.016915033049746	0.0134773308253732	0.0162418856923863	0.0178054960554887	0.0182574895553171	0.0199782128890796	0.0167319852277951
"Genetic Information Processing|Replication and repair"	0.0183819250024311	0.0160564175342496	0.0180809674444956	0.0171178906754695	0.0175923790492049	0.0173671596543687	0.0182021282020194	0.0167050186675502	0.0177595866158058	0.0156088107222628	0.0171057197543884	0.0161597783379588	0.0184088610454814	0.0152609072604093	0.0172635018860529	0.0183602162941803	0.0174830259526321	0.0166064633968466	0.0152080903630738	0.0171297513611302	0.015518680402023	0.0179239228831567	0.0163829017470073	0.0169817525756798	0.0145762982499285	0.0167487312931679	0.0172038807113335	0.0179613771649902	0.0176530837007136	0.0161991445020699
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0161247916168187	0.0154123020504184	0.0129309467305528	0.0145786172378241	0.0133657372015369	0.0137370174161863	0.0130741800529208	0.0160474434530729	0.0136084859266201	0.0174194147540559	0.0140904444529689	0.0162444476859431	0.0102596974494125	0.0169538279177221	0.0161208452835424	0.0130867582652353	0.0102295675418769	0.0150500496382771	0.0185536490433989	0.0172586006401974	0.0182092081645552	0.0164803084834786	0.0161129947392754	0.0150942671655983	0.0172075782001485	0.0117829425693473	0.0154962786687185	0.0107074770639449	0.0139664903497536	0.0174121691521527
"Metabolism|Glycan biosynthesis and metabolism"	0.0129643349864828	0.0128840522829603	0.0148557411528455	0.013939329596845	0.0170231704650625	0.014316514655923	0.0130271835375595	0.0127690228995158	0.0159405771022516	0.0112939824328293	0.0142544331291519	0.01142859461637	0.018585245243946	0.0116854012714345	0.0128387089682311	0.0149449624296359	0.0258521972974852	0.015656887924697	0.0110149927460868	0.0119536654405169	0.0112395747972834	0.0124883246980565	0.01323784941172	0.014495043381087	0.0110141280840139	0.0180986552077107	0.0135525205100237	0.0234110604930329	0.0123404228796924	0.0120304649389089
"Metabolism|Metabolism of other amino acids"	0.0144253140804875	0.0144383732191182	0.0134964307158403	0.0141578511467892	0.0132439755470848	0.0136198152343504	0.0136545436141176	0.0127901843968452	0.0133638869962543	0.0151194810102509	0.0132416313088244	0.0146083725234071	0.0124249582685307	0.0150675735690619	0.0143121416420708	0.0137315785814866	0.0122061698433557	0.0128844353699327	0.0154142334576741	0.0149621195996676	0.0150270962560182	0.0145994278159518	0.01353440683546	0.012992673071643	0.0151352457158122	0.012151513229015	0.0143978747451835	0.0122040625991705	0.0134658290553308	0.014505395437201
"Human Diseases|Drug resistance: Antimicrobial"	0.0105756658173584	0.0144397066601985	0.0108962320316464	0.0130710536374068	0.0114988183298148	0.0116475935315099	0.0107863689096856	0.0120105798805186	0.0117370280653869	0.0149651979008304	0.0112016786590034	0.0138512684879958	0.0129289532872038	0.0157768088797369	0.0119257592111115	0.0112432222268469	0.0126509644432607	0.0135761467489712	0.0164736774668603	0.012971951051979	0.0155641391803488	0.0113787903169086	0.0135977415803903	0.0120808943986394	0.0171495927741257	0.0131093583988716	0.0128432956120747	0.0131925196388478	0.0109583447544155	0.0128237712988191
"Metabolism|Biosynthesis of other secondary metabolites"	0.012657984080632	0.0115681021040901	0.0120652927565127	0.012282557905456	0.0136450591395669	0.012330137978711	0.0117186981772003	0.0116414368301675	0.013603445124326	0.0109388777960757	0.012600657191268	0.0112899534397769	0.0147072255972852	0.0109082024912565	0.0124440039253663	0.0127591412766007	0.0154676961504692	0.0125705768487327	0.0102506016582523	0.0119415065877474	0.0106453077395716	0.0126216507461539	0.0113922269729659	0.0132533532939108	0.0114591713988588	0.0141510793619791	0.0121401055887465	0.0142781108988932	0.0116134969097531	0.0116504322181098
"Genetic Information Processing|Folding, sorting and degradation"	0.0109116805703009	0.00977463162333163	0.0107858133726519	0.010193131932894	0.0107293753880264	0.0102998392766063	0.0110943772685249	0.00979095566347264	0.0102588728021952	0.00952586580443234	0.0101742120405051	0.0097133266663695	0.0103618718140597	0.00939513947497676	0.0101918364102503	0.0109065992287987	0.0111224791400864	0.00983288062859911	0.00919595590548573	0.010297153089467	0.00929469473662328	0.0106192497258185	0.00980110024613353	0.00959152820240202	0.00922037796153792	0.00941005195007541	0.0103459274137442	0.0110750574690561	0.0106727426038977	0.00991727976818152
"Metabolism|Metabolism of terpenoids and polyketides"	0.00972153802771097	0.0103165296838103	0.00878004788156161	0.00974793561161533	0.00890127363345361	0.00890993707501412	0.00903211634588684	0.00894286903024782	0.00918602204726904	0.0108579892833407	0.00934667864315858	0.010343361505969	0.00860727819592181	0.0110123664270795	0.0100645643595209	0.00896659788921107	0.00821416992863498	0.00882314193427662	0.00962191222377898	0.0104541046831432	0.00955577447439882	0.0100028924396658	0.00924831948375146	0.00901404940296375	0.00959583712504568	0.00859157485612094	0.00919065376397444	0.00812763824282758	0.00904293558776848	0.00958438483112314
"Cellular Processes|Cell growth and death"	0.00557614010598303	0.00552925374717096	0.00619871038324617	0.00623216681378042	0.00732797059807403	0.00640351261520627	0.00543319888105465	0.00630742157552237	0.00791694006017998	0.00452171326632159	0.00686668786552716	0.0048803079152117	0.00992317302631793	0.00473047066409005	0.00594921338420235	0.00663327251768861	0.00937302755264677	0.0073955289642379	0.00447695635820634	0.00473875764527141	0.00485187836386389	0.00533382464062111	0.00579031934407436	0.00767576434020121	0.00555098007493719	0.00952103670007966	0.00583085004792731	0.00951036677744263	0.00555450902170066	0.00588802685294066
"Cellular Processes|Cell motility"	0.00130373514780677	0.00805805506258368	0.00174636236405853	0.00535416217322063	0.00328528882606281	0.00397132719478808	0.000933523914032424	0.00490344538103122	0.00387349650570385	0.00949267485347021	0.0039129581790981	0.00793724153269085	0.00380612752047698	0.0105268004852826	0.00436166087187057	0.00185896969197866	0.00368181081835819	0.00651807695062502	0.0117268245755661	0.00575915209510249	0.0104767673730013	0.00301960758673611	0.00711736709317164	0.00584698409052527	0.0132578297657962	0.0063029217048854	0.00535153505918412	0.0043230355087436	0.00219869776713757	0.00691203234716043
"Human Diseases|Infectious diseases: Bacterial"	0.00384832741676765	0.00661579078127009	0.00397531328946918	0.00588422769747163	0.00457950150053591	0.00462050837883835	0.00358807203028483	0.0042301835186261	0.00498439331604018	0.00687867116675471	0.00413439275336699	0.00581414439688613	0.00653613333936105	0.00749794101304096	0.00479376254985547	0.00460563856489783	0.00555433440803094	0.00560992634451927	0.00725968978681472	0.00530083604797661	0.00668309841350895	0.00423062156093285	0.0055025634604217	0.00485630283567365	0.00686973169242108	0.00596465562142571	0.00504274130904896	0.00609906092071201	0.0035838350970369	0.00521996018132311
"Organismal Systems|Endocrine system"	0.00414397089084565	0.00367935761030138	0.0042786451467682	0.00393470894440285	0.00441734161616029	0.00407395113839839	0.00402400869877688	0.00406059850920576	0.00423943474843456	0.00345945214974347	0.004192331725513	0.00354751563460103	0.0045660029195383	0.0034280880453093	0.00399204479314313	0.00424038623979278	0.00527946569274801	0.00424292431534981	0.00327604566069597	0.00379433389852771	0.00341145413707598	0.00399573283154949	0.0039358522603741	0.00419906780150949	0.00320275245174552	0.00438243122242475	0.00392805557315676	0.00543192676943198	0.00395285272945159	0.00409949592511256
"Human Diseases|Cancers: Overview"	0.00252632931132278	0.0033485740523365	0.00255339703822506	0.00308476807135462	0.00274401323426528	0.00267672450913397	0.00237717027414992	0.00267140592160402	0.00269262855876141	0.00349034400746543	0.00247687166868916	0.00316079130083293	0.0032140067054569	0.00367174273750404	0.0027879987888036	0.00268087613457982	0.00339418633868952	0.00323900121247905	0.00380906381319587	0.0031340910783175	0.00359629372814424	0.0027423673440877	0.0031564652994732	0.00275007551388783	0.00385730287577871	0.00295938083568192	0.00307274999847237	0.00354600963792972	0.00235077394852461	0.0030800808627968
"Cellular Processes|Transport and catabolism"	0.000877763010371533	0.00184522629219272	0.00163318571688408	0.00188271493233901	0.00266616339367938	0.00181830647415647	0.000769302390033869	0.00164283148182754	0.00246291199707345	0.00140088815305922	0.0018821523301007	0.00122439559406433	0.00389268443413094	0.00169534500335574	0.00134347164806543	0.00173908734960797	0.00560511105423281	0.00289202857143567	0.00155426584192397	0.00103955127997862	0.00154320135988308	0.000909641841641314	0.00197591908433143	0.0023563781228011	0.00177277092585706	0.00380430878725999	0.00161387031888225	0.0053198369058415	0.000802984108483821	0.00152841785862078
"Organismal Systems|Aging"	0.00137056849284143	0.00213313411675988	0.00139629340539404	0.00191513773852591	0.00172762123922844	0.00158864375959706	0.00129197889850818	0.00153244412423334	0.00168230775610246	0.00220084095865163	0.00151811962960631	0.00193957789166568	0.00214234923663481	0.00236866072657189	0.00162303999219542	0.00154145872407117	0.00214948879175877	0.00195545508833816	0.0024301502404686	0.00182755956823845	0.00226139181853153	0.00149847606534575	0.00190979344985586	0.0016654410312045	0.00249639627700048	0.00197365965145783	0.00179781550178006	0.00226949432660963	0.00131091326113947	0.00187470507266541
"Human Diseases|Drug resistance: Antineoplastic"	0.00189943499593433	0.00172451508619712	0.00194583323960068	0.00178640867668995	0.00177744226245292	0.00181675937138029	0.00202906825201829	0.00174991503444448	0.00171699327664991	0.00169438725425771	0.00175762619920321	0.00173602853504124	0.00171191654343015	0.00166983622255826	0.00176736300315386	0.00191105650525934	0.001717211435626	0.00170999111283472	0.00170386468614438	0.00181420065654696	0.00170582614148569	0.00185352707687402	0.00175019484525668	0.00163214772152664	0.00178907045432429	0.00156347360982183	0.00186667398113064	0.00178510739705087	0.00194754523277126	0.0019193737815647
"Organismal Systems|Immune system"	0.0015774450103014	0.00139702306407765	0.00175763506542568	0.00157894177762317	0.00197862688484713	0.00168777563959581	0.00150984933867803	0.00170703581684098	0.00197275398352402	0.00116957902902562	0.00179522171124976	0.00125815431989198	0.00232436461939845	0.00118335455214994	0.00156787390312997	0.00178016439305733	0.00270527053740931	0.00196866607536367	0.00111393138432612	0.00134074037755888	0.00122276396719114	0.00149987056785286	0.0016182800736714	0.00196516231362459	0.00129997320895783	0.00230328046704622	0.00156657513454557	0.00264968052787977	0.00151671278765299	0.00148434345258744
"Human Diseases|Endocrine and metabolic diseases"	0.00183771718195143	0.00155000478565805	0.00163438946012052	0.00163937846580654	0.00164923637563308	0.00156701275430862	0.00167626397361962	0.00160199891340259	0.00163153967585481	0.00153582281036911	0.00155207525786056	0.00153306223998257	0.00171486472493694	0.0015136706984893	0.00169528136237671	0.00172966672586951	0.00169976136506138	0.00165603334369564	0.00156568097737849	0.00174438579337569	0.00158224732345533	0.00182675926007694	0.00157261612024433	0.0016315381308878	0.0013672892567858	0.00153853605029647	0.00164924736454944	0.00178343471168684	0.00162058379139531	0.00159145520181621
"Human Diseases|Cardiovascular diseases"	0.000890508924850064	0.00115406158024218	0.00109059845305824	0.00117565196236558	0.00137964067679005	0.00111078510575953	0.000802627188110995	0.00102786058429354	0.00131864987631431	0.00103297241375957	0.00111554959020892	0.000957721694583501	0.00178669187772034	0.00112545937964568	0.00101865417390239	0.00113267822795683	0.00225704715716562	0.00146035376865896	0.00113480768159619	0.000961740802670816	0.00111619392287309	0.000913115631200912	0.00117349491484948	0.00128294592740445	0.00131963430117565	0.00167655032133507	0.00115939313523487	0.00223278162719996	0.000797601590151794	0.00115658293949312
"Organismal Systems|Environmental adaptation"	0.000748028922975623	0.0011687091013226	0.000905806164158105	0.00111006761428682	0.00125672912213848	0.00103804681563923	0.000626197087054409	0.000983255777721332	0.00126500133761289	0.00109522349393144	0.00110575459090177	0.000999433990886352	0.00166665936608581	0.0012011457307826	0.000983866584380373	0.000978577678632678	0.0019213060560547	0.0013444144063515	0.00108470647333819	0.000899198906032032	0.00106905473270239	0.000792386875712682	0.00113195832631889	0.00127305476845429	0.00115697596022572	0.00158846877111045	0.000982275650650184	0.00202819748057482	0.000686962230759732	0.00118581321207897
"Genetic Information Processing|Transcription"	0.00129134302152422	0.000931167197150107	0.00128027298290852	0.00105037171472359	0.00107755231189471	0.00113217930359739	0.0014685510070359	0.00114291910054818	0.00104992710639825	0.000863637895864495	0.00112376010433403	0.000989248091860212	0.00100077427127213	0.000805523734764333	0.00108978187594485	0.00125922742645363	0.000780664242120956	0.000954625602927055	0.000760054045725811	0.00107288476943197	0.000818120046828375	0.00119737533230281	0.000992903080247391	0.000969524533219464	0.000785894024675527	0.000872257529583142	0.00108061533706947	0.000851491015619416	0.00139030228088943	0.00104660879000966
"Organismal Systems|Nervous system"	0.000545985434065471	0.00109564187701332	0.000801098204694144	0.00100156330725644	0.00111513168924596	0.000907762767320958	0.000504519989772376	0.000772679249848014	0.0010047999239559	0.00103517719018081	0.000839056925943179	0.000901241784908607	0.00154859426614094	0.00116401600145951	0.000752975059481946	0.00083660997687938	0.00197473076022488	0.00122137039328714	0.00128531708615237	0.000774825424858169	0.00118939817396942	0.000626620918960588	0.00102920781518101	0.000986310309184262	0.00104678222824777	0.00132645479334676	0.000933700697188246	0.00205278338428531	0.000516249819952112	0.00101840421216645
"Human Diseases|Cancers: Specific types"	0.000757644471076053	0.000914259268508582	0.00054851038863339	0.000803354759108657	0.000646012334963469	0.000647653068728364	0.000539956164132885	0.00061250842089854	0.000664545769104611	0.00104653364567331	0.000621982456003888	0.000910694736609652	0.000602262586137554	0.00107168615426796	0.000820294264284422	0.000620179607804235	0.000550703629340478	0.000718979043282295	0.00116900197877067	0.000963805112168563	0.00108829374591922	0.000846060915773763	0.000792065509553371	0.00069869369463276	0.00117007348325501	0.000585955828685652	0.000836771659772717	0.000584745879686388	0.000561167435270788	0.000908862976935903
