"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"fpt11"	32.02	45.65	32.05	56.57	45.64	30.82	60.59	38.66	30.02	29.77	52.69	52.25	75.66	99.55	71.33	43.69	54.27	58.04	52.68	46.09	17.28	58.18	68.08	55.1	54.62	39.65	53.99	50.18	36.96	55.49	92.1	62.4	35.65	51.63	36.33	52.89	55.43	43.59	35.56	53.33	45.67	58.36	94	40.33	58.1	96.03	38.87	61.58	97.04	94.28	35.24	54.73	80.33	42.06	66.82	46.29	52.33	43.08	38.61	44.62	48.42	42.43	45.2	40.25	73.87	57.68	52.23	53.49	26.03	40.12	77.09	45.31	94.15	50.13	46.03	64.2	49.89	47.97	44.98	53.85	74.99	79.64	45.2	85.88	47.76	32.99	46.26	33.4	57.5	50.17	88.85	55.09	53.6	55.06	45.66	21.75	71.78	39.57	90.17	65.72	57.75	59.02	60.5	68.35	59.8	28.67	44.12	47.31	35.54	52.93	73.04	18.8	81.94	39.9
"fpt12"	2.15	1.98	0.65	1.03	0.95	2.1	1.6	1.1	0.75	13.31	4.25	0.75	1.73	2.76	2.53	2.1	1.05	1.98	3.4	1.33	18.78	11.67	6.38	3.2	1	1.53	2.3	1.28	2.78	1.63	0.12	3.45	0.63	0.68	3.7	2.13	1.53	1.18	3.1	1.62	2.17	2.49	0.25	1.25	2.5	0.22	1.73	2.83	0.92	0.32	2.18	2.98	0.8	2.53	0.65	9.06	1.15	2.3	15.14	1.18	2.43	4.01	0.8	1.53	0.53	1.88	6	2.05	4.75	1.8	1.83	2.8	0.3	1.18	1.7	2.92	1.9	3.1	1.9	2.3	0.88	1.05	2.73	0.2	3.2	2.75	3.4	1.93	0.9	2.67	0.4	1.68	1.73	0.98	1.95	3.1	1.15	2.95	0.17	1.75	3.63	2.55	3.02	0.93	2.28	0.38	2.67	6.23	3.08	2.21	1.08	10.32	0.88	1.48
"fpt13"	0.03	0	0.03	0	0	0	0	0.08	0	0	0	0	0	1.3	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt14"	0.03	0	0.03	0	0	0	0	0.08	0	0	0	0	0	1.3	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt15"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt16"	0.05	10.53	3.33	4.23	4.56	0.18	0	0.08	0.2	0	2.48	0	31.1	5.32	3.75	0.03	0	1.05	12.83	2.88	0.03	0	0.1	0.03	0.05	0	0	1.38	0.68	8.73	0	0	0	0	1.4	1.18	5.86	0.03	3.23	4.12	0.22	7.84	0	0.03	1.9	0	0	3.5	39.47	0	0.28	0.68	0.38	0.2	0	0	1.28	0	0.38	0.1	0.03	1.3	0.15	0.05	0.6	0	0.03	0.18	0.18	0.07	0	0	0	0.33	0	15.28	0.13	0	0	2.43	26.24	2.1	0	0	1.28	0.25	0	0	0	0.03	0	0.38	0	0.5	0	0.75	3.5	0	0	0	4.55	0.98	0	24.3	0	0	3.6	3.18	0	0	28.18	6.95	39.19	1.02
"fpt17"	0.03	0	0.05	0	0.83	0	0	0.08	0	0	0	0	1.38	0	0	0.03	0	0	0.78	0.03	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0.03	1.8	0	0	0.03	0	0	0.03	0	0	0	0.04	0	0	0	0	0.13	0	9.94	0.03	0	0	0.05	0	0	0	0	0.08	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.5	0.03	0	0	0	0.48	0.03	0	0.1	0	0	0.03	0.03	0	0	0.05	0.03	0.15	0
"fpt18"	0.15	19.03	7.33	9.66	9.04	3.68	0	1.45	2.33	0	4.43	0	69.7	76.98	6.48	0.13	0	1.75	30.62	8.35	0.05	0.05	0.38	0.05	0.68	0	0	2.35	1.43	15.63	0.03	0.05	0	0	4.13	2.2	10.76	0.1	4.18	6.65	0.38	13.72	0	0.05	3.8	0	0.08	6.03	72.33	0	2.73	1.23	0.68	0.25	0	11	2.43	0	0.58	0.18	0.03	3.28	0.3	0.5	1.23	0	0.03	2.95	0.38	0.07	0.25	0	0	2.1	0	23	0.2	0	0.03	3.6	47.17	28.79	0	0	1.78	0.65	0	0.15	0.08	0.07	0	0.53	0	0.95	0	1.32	38.05	0.03	0	0.1	8.5	1.88	0	45.3	0.05	0.03	6.95	4.63	0.05	0	51.99	10.88	69.66	2.08
"fpt19"	0.6	8.55	5.15	7.41	5.68	0.9	29.63	6.26	4.03	2.31	4.55	5.78	39.81	90.25	2.5	1.18	8.16	2.43	18.68	6.18	1.2	10.41	0.78	0.6	1.88	2.95	1.08	3.38	1.1	6.98	0.2	0.03	1.7	0.8	4.43	1.95	5.18	1.08	2.75	4.4	1.5	7.41	0.3	2.33	2.2	0.22	5	2.85	25.18	0.12	4.65	1.05	0.6	0.43	1.45	1.54	1.15	5.78	3	0.3	0.5	2.85	2.78	4.25	65.15	1.6	1.13	7.15	0.53	0.82	0.58	1.55	0.28	4.4	4.2	12.35	0.45	1.3	1.3	5.06	19.73	1.9	0.4	0.22	4.15	0.5	1.18	0.15	1	0.45	0.48	4.55	1.48	1.33	1.83	1.32	2.65	2.63	0.58	0.78	4.38	1.48	3.25	21.22	12.15	0.73	3.72	4.16	0.55	1.25	25.68	4.32	26.74	1.98
"fpt20"	0.68	21.06	9.53	14.01	12.09	4.45	29.63	7.71	6.32	2.31	7.63	5.78	69.7	96.97	6.98	1.3	8.16	3.73	31.04	9.05	1.25	10.46	0.95	0.6	2.55	2.95	1.08	5.05	1.83	17.15	0.2	0.07	1.7	0.8	5.85	3.33	12.51	1.18	4.18	9.1	1.77	17.35	0.3	2.35	4.62	0.22	5.08	7.08	75.99	0.12	5.33	1.9	1.05	0.5	1.45	11.88	2.78	5.78	3.48	0.38	0.53	4.23	2.98	4.4	66.17	1.6	1.15	9.98	0.75	0.9	0.6	1.55	0.28	4.95	4.2	29.15	0.55	1.3	1.33	7.81	51.98	29.67	0.4	0.22	5.48	0.83	1.18	0.28	1.05	0.52	0.48	4.98	1.48	2.03	1.83	1.6	38.38	2.65	0.58	0.8	9.68	2.58	3.25	51.92	12.2	0.75	8.5	7.93	0.6	1.25	59.19	11.85	75.04	3.17
"fpt21"	0.6	8.55	5.15	7.41	5.68	0.9	29.63	6.26	4.03	2.31	4.55	5.78	39.81	90.25	2.5	1.18	8.16	2.43	18.68	6.18	1.2	10.41	0.78	0.6	1.88	2.95	1.08	3.38	1.1	6.98	0.2	0.03	1.7	0.8	4.43	1.95	5.18	1.08	2.75	4.4	1.5	7.41	0.3	2.33	2.2	0.22	5	2.85	25.18	0.12	4.65	1.05	0.6	0.43	1.45	1.54	1.15	5.78	3	0.3	0.5	2.85	2.78	4.25	65.15	1.6	1.13	7.15	0.53	0.82	0.58	1.55	0.28	4.4	4.2	12.35	0.45	1.3	1.3	5.06	19.73	1.9	0.4	0.22	4.15	0.5	1.18	0.15	1	0.45	0.48	4.55	1.48	1.33	1.83	1.32	2.65	2.63	0.58	0.78	4.38	1.48	3.25	21.22	12.15	0.73	3.72	4.16	0.55	1.25	25.68	4.32	26.74	1.98
"fpt22"	3.45	23.01	9.96	14.59	12.67	5.6	30.56	10.41	8.07	16.62	7.96	6.58	69.83	97.39	7.28	3.03	9.48	5.88	31.12	9.25	14.2	12.28	6.2	3.17	3.67	3.63	2.08	6.95	2.31	18.38	0.55	0.78	2.45	2.75	6.18	5.18	14.39	4.33	4.28	10.75	3.3	19.46	1.07	2.45	6.95	1.2	8.48	9.3	78.15	0.55	8.71	4.28	2.12	0.5	3.8	11.98	3.41	8.14	18.34	0.53	4.48	4.98	3.95	8.8	66.68	6.68	6.28	12.18	0.83	0.95	1.6	2.55	1.05	7.68	6.73	31.6	2.48	2.08	2.38	9.16	59.03	30.47	1.08	0.72	7.23	1	2.15	0.35	2.63	3	1.43	6.35	1.95	3.18	2.85	1.65	39.8	2.7	1.23	3.25	11.06	4.1	4.35	53.95	15.53	1.23	8.88	10.04	3.25	3.3	61.54	14.55	75.06	3.2
