"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ophelia_57",2.94556914004007,1.79547069283751,3.88746141935464,1.7262049741765,4.47744581364387,1.99445225899767,2.6988487173803,4.55850614898226,4.75132628949295,2.36672512216154,2.33749509399033,3.25577577735584,3.7054522462605,2.76914984536956,2.26182543248837,0,4.75218607329535,2.36739932543864,3.78226758517501,2.70128780374759,1.20844814000456,3.30828409053846,3.48645804993425,2.69035458038655,2.04508977206649,1.77455405584504,3.42911230366311,1.95922777030339
"wolverine_57",6.13557712654972,3.62853229477185,6.48853959022117,4.18835781504255,6.67240392779295,5.0296728597587,6.05461118235463,6.69966252250277,6.85096402779146,3.35040712451936,5.97053374890058,3.55042250512828,5.81367747132394,6.0735634972852,6.17398227982206,4.75218607329535,0,3.54850814401971,1.3813250089339,4.95004284288032,3.94920062079877,6.43182109987975,3.71737217198908,6.30384258374503,3.87411947454145,5.7965314779566,6.25939777048827,3.96395297884924
"goose_58",3.30991077578631,1.32055029177319,3.86654509167154,1.21996975354274,4.31939588734512,2.24034886820289,3.29709218157532,4.38012622712039,4.50611973338523,0.914654708976481,3.59226971054325,2.67042784044303,3.38743658248633,3.2803975502892,3.58258376382022,2.36739932543864,3.54850814401971,0,2.67097281668112,2.22834840471781,1.58197006140512,3.93268253477086,3.38499931288121,4.15306334673944,1.85411446758762,3.22133049569998,3.63714491873626,1.05219495360503
"wolverine_58",4.89915454830311,2.86929838116563,5.29735864237166,3.22233882354587,5.56109475861191,3.87211268682761,4.8304240296864,5.5946692549524,5.73923642583242,2.55173363702011,4.91969800438933,3.44633675356999,4.69720818172319,4.86510998029349,5.11621933871924,3.78226758517501,1.3813250089339,2.67097281668112,0,3.81861929894776,2.96318855626867,5.36569233222743,3.68730931191805,5.41941475650519,2.76781510066522,4.75808966679576,4.96916849730752,3.05776598547866
"goose_59",1.54759836027758,2.8910668153414,1.74914676930103,2.02237287187983,2.35617217886266,0.932475226475322,1.61749839900513,2.40745216810559,2.53269222501181,2.37609548210104,3.03379318304315,4.59658168693583,1.44954022741498,1.89952725393083,2.75928614632832,2.70128780374759,4.95004284288032,2.22834840471781,3.81861929894776,0,2.39865103717794,2.49857777438341,5.11551536857248,3.66209502774061,2.15638610105254,2.91992733052475,1.92133342000687,2.02652124272805
"hamlet_59",3.00413961634885,1.11128339480213,3.80905452719126,1.25531608240452,4.25045220622995,1.86730249691782,2.87306809512581,4.32937594853394,4.50600051751609,1.59152177005019,3.05527346882019,2.73566038181412,3.39292213219954,2.96199984254317,2.96704448206092,1.20844814000456,3.94920062079877,1.58197006140512,2.96318855626867,2.39865103717794,0,3.6800664126314,3.05516916822567,3.41357686681582,1.86715311368629,2.63253551615161,3.35196451076837,1.49843684019913
"iris_59",2.51754906878176,4.30623892530722,2.55239115788137,3.62255269039181,3.36804803248269,2.57625827870726,1.77782859911529,3.4087063749347,3.53858699364513,4.08233278718591,3.45497401712143,5.82733356723327,3.05842966889567,2.74324602554546,1.48338895844673,3.30828409053846,6.43182109987975,3.93268253477086,5.36569233222743,2.49857777438341,3.6800664126314,0,6.09573065763155,2.12510885707608,3.21341911510445,3.24938782318111,2.91196853099273,3.66701108150597
"ophelia_59",5.88039364621922,2.60236286131189,6.61054511204008,3.54359278399532,6.93264033161233,4.77608756551139,5.71401982189957,7.00806690449201,7.17600820941654,3.16927679290691,5.44072263425546,1.58951582541092,6.09529716678265,5.80642546131084,5.27493211312503,3.48645804993425,3.71737217198908,3.38499931288121,3.68730931191805,5.11551536857248,3.05516916822567,6.09573065763155,0,5.16304749995436,3.8709622788076,4.91995751502149,6.26297711390326,3.51828601217319
"iris_60",3.69376307523176,4.01631878633798,4.20236966884931,3.76235472649607,4.86560662882316,3.28867718107895,2.9577880571269,4.93014627036414,5.12134203056603,4.22541909137157,3.54089152076758,5.16550913586742,4.4287136852255,3.68295890148152,1.31262695591207,2.69035458038655,6.30384258374503,4.15306334673944,5.41941475650519,3.66209502774061,3.41357686681582,2.12510885707608,5.16304749995436,0,3.44079163280011,3.10115547672651,4.19348137843182,3.87336844912312
"wolverine_60",2.98110193738662,2.01279530054852,3.60949098097043,1.57872913089734,4.28953407743302,2.09963194533106,2.80621108510148,4.3496578291701,4.47450234593317,1.7281968011756,3.0570932454793,3.45858626774233,3.41947560516397,2.78053804915745,2.80877807483125,2.04508977206649,3.87411947454145,1.85411446758762,2.76781510066522,2.15638610105254,1.86715311368629,3.21341911510445,3.8709622788076,3.44079163280011,0,2.60461783962506,3.37132465803964,1.54259697926254
