"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.0015	0.001	0.0015	0.00175	0.00125	0	5e-04	0.0025	5e-04	0.00025	0.00025	0.002	0.00075	0.00275	0.00075	0.00025	0.0015	0.00125	0.00075	0	0.00075	5e-04	0	0.00025	0.001	0.00075	0.001	0.00175	0.001	0.0015	0.00125	0	0.00075	0.0015	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyrivibrio"	5e-04	0.00375	5e-04	0.001	0.00175	5e-04	0	5e-04	0	0.002	0.00175	0.00075	0	0	0	0.0025	0.00025	0.001	0	5e-04	0	0.00025	0.00025	0	0.00025	5e-04	0.00075	0.00025	0.00125	0.001	0.002	0	0.00275	0.002	0.001
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera"	0.00075	0.00075	0.001	0.00175	0.00225	0.00025	5e-04	0.00175	5e-04	0.0015	0.00075	5e-04	0.0015	0.00025	0.00025	0.00175	5e-04	0	0.00025	0.00025	0.001	5e-04	0	0	0.001	0.001	0.00075	5e-04	0.00075	5e-04	0.00175	0	0.0015	0.001	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00025	0.00025	0.00125	0	0	0.0015	0.00075	0.00025	0.00125	5e-04	0	0.0045	0.00125	0.00125	0	5e-04	0	0	0.00025	0	0	5e-04	0.00275	0	0	0.00125	0.00325	5e-04	0	0.0015	0.00075	0.00025	0	0.00175	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	5e-04	5e-04	0.0015	0.002	0.00125	0	0.00025	0.0015	0.00025	0.00125	0.00025	0.0015	5e-04	0.001	0.00025	0.003	0.00075	0.001	0	0	0.00025	0.00025	0	0.00025	5e-04	0.00025	5e-04	0.001	0.001	0.001	0.00025	0	0.00075	0.001	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0	0	0.001	0.00375	0	0.00025	5e-04	0.0015	0.00025	0.001	0	0.002	0.001	0.00125	0	0	0	0	0	0	0	0	0.0045	0	0.00025	0.00025	0.001	0.00275	0	0	0.00225	0.00025	0	5e-04	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola"	0.00025	0.00325	0.00025	0	0.00175	0.00025	0	0.00175	0.00025	0.00025	0.001	0	0.00025	0	0.00025	0.001	5e-04	0.00075	5e-04	5e-04	5e-04	0.00075	0.00025	0.00025	0	0.00075	0.00075	0.00025	5e-04	5e-04	0.00075	0	0.003	0.00075	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.00025	0.00175	0.00075	5e-04	0.0015	0.00025	0.00025	0.00025	0.00025	0.001	0.001	0.00175	0	5e-04	0	0.00175	0.00025	5e-04	0	0.00025	0.00025	5e-04	0	0	0.00025	0.00025	0.002	0.00125	0.00025	5e-04	0.00125	0	0.00025	0.0015	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.00025	0	0.00275	0	0	0	0	0.00025	0	0.001	0	0.00525	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.00125	0.002	0	0.00225	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.00025	5e-04	0	0	0.00125	0	0	0.00075	0	0.00075	5e-04	0	0	0	0.00125	0.00425	5e-04	0.00025	0	0	0.002	0.00025	0	0	0.00075	0	0.00075	0	0.00025	0	0	0	0.001	0.00025	0.00075
