"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.003	0.00925	0.00425	0.00275	0.005	5e-04	0.00275	0.00375	0.001	0.003	0.0025	0.00425	0.00475	0.00625	0.00075	0.003	0.0015	0.01225	0.01825	0.006	0.001	0.008	0.00025	0.00125	0.00225	0.00675	0.00625	0.0115	0.00325	0.00975	0.0045	0.00075	0.002	0.0035	0.00175
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00075	0.00275	5e-04	0.0035	0.00125	0.001	0.00025	0.0015	0.001	0.05025	0.002	0.0035	0.00325	0.00275	0.00225	0.0055	0.00125	0.00175	0.0015	0.00125	0.00125	0.00325	0.034	0.00075	0.0015	0.00125	0.00825	0.0045	0.00225	0.00125	0.00125	5e-04	0.0025	0.0025	0.00125
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.00075	0.01625	0.00125	0.00675	0	0	0	0	0	0	0.015	0	0.0425	0	0	0	0	0.00625	0	0	0.0105	0.01075	0.00025	0	0.00075	0	0	0	0	0.01625	0	0	0	0.01975	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.0015	0.00025	5e-04	5e-04	0.0015	0.0065	0.001	0.015	0.00025	0.01975	0.00025	0	5e-04	5e-04	0.00075	0.00625	0.00075	0.00025	0.001	0	0	0	0.00025	0.00025	0	0.001	0.025	0.0145	0.00025	0.00025	0.0185	0.00025	0.00125	0.003	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sedlakii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00275	0.0165	0.0015	0.00175	0.00975	0	0.001	0.0025	0.00125	0.00275	0.00725	0.0015	0.00125	5e-04	0.0015	0.004	0.0025	0.00475	0.002	0.00225	0.002	0.004	5e-04	0.00075	0.00275	0.0035	0.003	0.0015	0.0045	0.0035	0.0035	0.00075	0.007	0.00425	0.00175
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00425	0.005	0.001	0.00275	0.005	0.001	0.00975	0.0025	0.00175	0	0.0055	0.001	0	0.002	0	0	0	0.00975	0.0045	0.0025	0	0.0035	0	0.001	0	0.00475	0.00375	0.00625	0.00625	0.00325	0.0145	0.00025	0	0.00075	0.0015
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0	0	0.00175	5e-04	0	0.00025	0.00175	0	0.00275	0.00025	0	0.005	0	0.00175	0	0.00125	0	0	0.00025	0.00025	0	0	0.08275	5e-04	0	5e-04	0.00025	5e-04	0	0.00025	5e-04	0.00025	0	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella baroniae"	0.00025	0.004	0.00325	0.0025	0	0	0.003	0	0.0045	0	0.003	0.004	0.008	0.00825	0	0.00075	0	0.018	0.01525	0.0025	0	0.001	0.00425	0.00025	0.004	0.0045	0	0	0	0.0045	0	0.00025	0	0.00325	0.00225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00075	0.0015	0.001	0.0035	0.0015	5e-04	0.00575	0.003	0.005	0.006	0.00075	0.00275	0.00125	0.0015	0	0.00275	5e-04	0.00075	0.00225	0.00075	0	5e-04	0.027	0	0.002	0.00875	0.003	0.006	0.00025	0.001	0.0085	0	0	0.0025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter gnavus"	0.00075	0	0.00575	0.00025	0.0015	0	0.00575	0.0075	0.011	0.00275	0.00075	0.0115	0	5e-04	0	0.00075	0	0.00025	0.00125	0	0	0	0.0315	0	0	0.00525	0.00125	0.00175	0	5e-04	0.00275	0	0	0.00475	0.00025
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	5e-04	0.00075	5e-04	0.00275	0.00125	0	0	0.00025	0.00325	0.00775	0.0015	0.00675	0.00775	0	0.0035	0.002	0	0.00225	0.00575	0.00025	0.00025	5e-04	0	0	0.0185	0.001	5e-04	0.002	5e-04	5e-04	0.009	0.00025	0.00425	0.00925	0.001
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis (ex Bordigoni et al. 2020)"	0.00125	0.00325	0.00025	0.00125	0.00525	5e-04	5e-04	0.0015	0.00025	0.01	0.007	5e-04	0.001	5e-04	0.0055	0.002	0.006	0.002	0.001	5e-04	0.016	0.00225	0.00025	0.00025	0.0035	0.001	0.00425	0.0015	5e-04	0.00075	0.0025	0	0.007	0.001	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.003	0.00525	0.0015	0.00275	0.004	0.00025	0.0035	0.0015	0.005	0.00125	0.004	0.00175	5e-04	0.00125	0.00125	0.00125	0.001	0.0015	0.00325	0.0015	0.00075	0.0025	0.00025	0.00075	0.0025	0.01175	0.00225	0.00175	0.0035	0.003	0.0045	0.00025	0.00525	0.00175	0.00075
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00375	0.00475	0.001	0.00025	0.004	0.00025	0.00075	0.0075	0.00175	0.00275	0.001	0.0015	0.00825	5e-04	0.00325	0.00225	0.003	0.005	0.0045	0.0035	0.00275	0.002	0.001	5e-04	0.00075	0.00075	0.002	0.00275	0.0055	0.00275	5e-04	0	0.00275	0.001	0.00125
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0.01525	0	0	0	0	0.00925	0	0	0.0055	0.019	0	0	0.00025	0.00025	0	0	0	0.026	0	0	0	0.00775	0.001
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.0015	5e-04	0.00025	0	5e-04	0.00025	0	0.00025	0.012	0.0025	0.00075	0.00175	0.00825	0	0.00525	0.001	0.00075	0.003	0.00425	0.00025	0.00125	0.00075	0.00075	0	0.0185	0.001	0.00025	0.00075	0.00025	0.00075	0.004	0	0.00925	0.003	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0	0	0.007	5e-04	0	0.00025	0.00325	0	0.0025	0.011	0	0.014	0.00025	0.003	0	0.0095	0	0	0.00225	0	0	0.00025	0.0055	5e-04	0	0.00825	0.003	0.00225	0	0	0.002	5e-04	0.00025	0.00725	0.00025
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0	0	0	0.00075	0	0	0.04275	0.00025	0.0015	0.00675	0	0	0.001	0.00075	0	0.00025	0	0	0.001	0	0	0	0.001	0	0	5e-04	0.01175	0.00225	0	0	0.0045	0	0	0.00175	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasihormaechei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07125	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.00025	0	0.001	0.003	0	5e-04	0.0025	0.00025	0.002	0.01125	0	0.00375	0.00025	0.00525	0	0.00025	0	0.00025	0.00375	0	0	5e-04	0	0.001	0.00025	0.0135	0.004	0.00325	0	0.001	0.00475	0.00125	0	0.00175	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.00025	0	0.00425	0.0025	0.00075	0	0.004	0.003	0.00175	0.00575	0.00025	0.007	0	0.0015	0	0.0025	0	0.00025	0.00275	0	0	0	0.002	0	0	0.007	0.0025	0.00125	0	0.002	0.00475	0	0	0.009	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00025	0.0015	0.001	0.00175	0.00125	0	0.00175	0.00075	0.00075	0.011	0.00075	0.0015	0.00025	0.001	0	0.0015	5e-04	0.00125	0.00125	0.00075	0	0.00025	0.0085	0	0.001	0.00425	0.00225	0.002	0	0.0025	0.00375	0.00025	5e-04	0.00225	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.00075	0.00275	0.001	0.00125	0.0015	0.00025	0	0.00225	0.00075	0.0025	0.0015	0.00225	0.0025	0.0025	0.00175	0.002	0.00075	0.00175	0.00175	0.002	0.00225	0.00025	0	0.00025	0.00175	0.0015	0.00425	0.00075	0.00225	0.00075	0.00125	0.00025	0.00275	0.00125	0.00125
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.002	0	0	0.00025	5e-04	0	0.00025	5e-04	0.00625	0.0035	0.00025	0.001	0.00375	0.00025	0.00225	0.002	5e-04	0.0025	0.003	0.00025	5e-04	0.001	0.00125	0	0.00475	5e-04	0.00025	0.001	0.00025	0.00025	0.0035	0.00025	0.003	0.0015	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0	0	0.002	0.00025	0	5e-04	0.0015	0.002	5e-04	0.0015	0	0.004	0.00025	0.002	0	0.0055	0.00025	0	0.00075	0	0	5e-04	0.015	0.00025	0	0.00325	0.00125	0.001	0	0.00125	0.001	0	0	0.0015	0
