"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Hera_24"	"Hera"	"2023-04-02"	3	24	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2019-08-29"
"Kubo_24"	"Kubo"	"2023-04-02"	3	24	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Ophelia_24"	"Ophelia"	"2023-04-02"	1	24	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_24"	"Wolverine"	"2023-04-02"	2	24	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2014-09-28"
"Kubo_25"	"Kubo"	"2023-04-03"	2	25	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"JarJarBinks_29"	"JarJarBinks"	"2023-04-07"	3	29	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"washout_1"	"gum-washout"	"RoomB"	"B2"	"2020-01-25"
"Korra_29"	"Korra"	"2023-04-07"	3	29	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B3"	"2017-04-17"
"Kubo_30"	"Kubo"	"2023-04-08"	2	30	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B3"	"2019-02-02"
"Hamlet_31"	"Hamlet"	"2023-04-09"	2	31	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B1"	"2017-03-05"
"JarJarBinks_32"	"JarJarBinks"	"2023-04-10"	2	32	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"washout_1"	"gum-washout"	"RoomB"	"B2"	"2020-01-25"
"Goose_37"	"Goose"	"2023-04-15"	3	37	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"washout_1"	"gum-washout"	"RoomF"	"F1"	"2016-06-24"
"Hera_37"	"Hera"	"2023-04-15"	2	37	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"washout_1"	"gum-washout"	"RoomB"	"B1"	"2019-08-29"
"Kubo_37"	"Kubo"	"2023-04-15"	2	37	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B3"	"2019-02-02"
"Lambchop_37"	"Lambchop"	"2023-04-15"	3	37	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"washout_1"	"gum-washout"	"RoomF"	"F1"	"2017-05-13"
"Ophelia_37"	"Ophelia"	"2023-04-15"	1	37	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_37"	"Wolverine"	"2023-04-15"	1	37	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"washout_1"	"gum-washout"	"RoomB"	"B4"	"2014-09-28"
"Hamlet_41"	"Hamlet"	"2023-04-19"	2	41	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"washout_1"	"gum-washout"	"RoomB"	"B1"	"2017-03-05"
"Hera_41"	"Hera"	"2023-04-19"	2	41	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"washout_1"	"gum-washout"	"RoomB"	"B1"	"2019-08-29"
"Goose_42"	"Goose"	"2023-04-20"	3	42	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"washout_1"	"gum-washout"	"RoomF"	"F1"	"2016-06-24"
"Lambchop_42"	"Lambchop"	"2023-04-20"	3	42	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"washout_1"	"gum-washout"	"RoomF"	"F1"	"2017-05-13"
"Ophelia_43"	"Ophelia"	"2023-04-21"	2	43	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Goose_44"	"Goose"	"2023-04-22"	3	44	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomF"	"F1"	"2016-06-24"
"Iris_44"	"Iris"	"2023-04-22"	2	44	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2016-05-10"
"JarJarBinks_44"	"JarJarBinks"	"2023-04-22"	2	44	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Lambchop_44"	"Lambchop"	"2023-04-22"	3	44	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
"Hamlet_45"	"Hamlet"	"2023-04-23"	2	45	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2017-03-05"
"Hera_45"	"Hera"	"2023-04-23"	2	45	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2019-08-29"
"JarJarBinks_45"	"JarJarBinks"	"2023-04-23"	1	45	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2020-01-25"
"Korra_45"	"Korra"	"2023-04-23"	3	45	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2017-04-17"
"Ophelia_45"	"Ophelia"	"2023-04-23"	2	45	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Goose_46"	"Goose"	"2023-04-24"	3	46	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomF"	"F1"	"2016-06-24"
"Hamlet_46"	"Hamlet"	"2023-04-24"	2	46	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2017-03-05"
"Iris_46"	"Iris"	"2023-04-24"	3	46	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2016-05-10"
"Lambchop_46"	"Lambchop"	"2023-04-24"	3	46	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
