"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Leyella"	0	0	0	0	0	0	0.00133333333333333	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0.000777777777777778	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Jingyaoa"	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0.000444444444444444	0.000222222222222222	0.000111111111111111	0	0.000444444444444444	0	0	0	0.000222222222222222	0.000111111111111111	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Murimonas"	0	0	0	0	0.000444444444444444	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0.000222222222222222	0.000444444444444444	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Drancourtella"	0	0	0	0	0.000444444444444444	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0.000666666666666667	0	0.000111111111111111	0	0.000333333333333333	0	0	0.000222222222222222	0	0.000111111111111111	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Mannheimia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155555555555556	0	0.001	0	0.000222222222222222	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Pasteurella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.00111111111111111	0	0.000888888888888889	0.000222222222222222	0.000333333333333333	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000666666666666667	0.000444444444444444	0	0	0	0	0.000222222222222222	0.000666666666666667	0	0	0.000222222222222222	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalimonas"	0	0	0	0	0.000666666666666667	0	0	0	0	0	0.000222222222222222	0	0	0.000444444444444444	0	0	0	0	0	0	0	0.000333333333333333	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166666666666667	0	0.000111111111111111	0	0.000222222222222222	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides"	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0	0.000888888888888889	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella"	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000111111111111111	0.000222222222222222	0	0.000222222222222222	0.000111111111111111	0	0	0	0	0.000444444444444444	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus"	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0.000444444444444444	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122222222222222	0	0.000222222222222222	0	0.000111111111111111	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas"	0	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0.000222222222222222	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111111111111111	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter"	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000444444444444444	0	0	0	0	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0
