"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","joans_36","franc_37","grogu_37","ginger_41","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"grogu_41",15.0753343130478,18.2639749969166,11.5731473005918,18.4475450770434,4.34855950015755,17.3101498920312,12.2671750827554,15.7444742686415,5.55807153708729,18.0134477065139,0,19.9438680569345,19.3318786483795,18.8854131932063,9.08778208662841,18.4579876035764,19.8220141468968,19.898387296475,18.3352784162047,16.3140558171362,16.9850854708989,14.0726649295424,18.7511957569199,19.2563541550892,21.3277394690388,21.287482690364,19.7329631425152,17.8257433388814,16.7903821929681,16.9125184315988
"joans_41",18.7438298983687,19.8985256951542,18.4728322174589,18.5187969913942,21.1991654131938,17.9363386045262,17.0450739433762,19.524636130112,21.0856471434397,16.9076407545808,19.9438680569345,0,27.6928962518679,18.9084828708966,16.8418774144863,21.4450288349931,26.2822512486144,25.2391285750525,21.8687305048386,16.3796607009312,21.5736896050181,13.3111634176458,22.577919348368,23.0283569442488,25.464910569973,25.8432288154512,23.1802756345829,26.435212115574,20.4998165188065,16.9508289676248
"marshmallow_41",20.1781629094774,19.8092472158262,21.0412250353074,21.7788381530648,19.4200849792592,21.1969494445887,21.8042125322703,22.2111848545253,19.8516209141426,22.1829288311527,19.3318786483795,27.6928962518679,0,20.2116243780922,19.4104806322928,21.2832855136191,24.6204466085482,21.6646135313146,23.7860350110729,23.538843755369,23.0722760184441,22.1665957269601,23.4846680492075,24.2918313824341,24.2344208657573,25.8501532371039,24.6724522807974,17.3032671209236,23.8278390308956,22.4666274452103
"ginger_42",14.8972875933357,6.75591645421427,18.4819808709648,11.0648306423762,19.045154490045,11.0206191379148,19.4207158472487,18.8428374382376,20.0752387265496,8.53009337679932,18.8854131932063,18.9084828708966,20.2116243780922,0,16.0472483469881,16.2955490116195,21.1988518428745,15.9188910695869,18.5009844252729,16.5720048958385,18.4939629097029,15.7480434720227,15.2222503524982,21.2002058022996,17.6781466726733,23.7880890727741,19.8178505139251,18.1946973167453,19.4218487893351,14.3007232403415
"grogu_42",13.5561194596478,15.8436520236482,10.7531877569238,15.6439195199827,10.9365842672062,16.1469740037483,10.3726705206034,13.8095129985023,10.5752618318929,15.7897681972466,9.08778208662841,16.8418774144863,19.4104806322928,16.0472483469881,0,17.0346303011158,21.2334181934347,19.696275701149,18.6204883268188,12.4041766949052,17.3607295523996,10.2225975809568,18.4500158419682,19.1421905192505,21.1208847028524,22.014206761175,19.7500578580078,19.9250745967637,16.7573120367845,13.1199346561951
"henry_42",10.4678190458987,14.9597818934438,16.3141355445697,10.6714994585454,19.4315009980827,14.2942635053325,17.3699182781498,14.6770191191956,19.6378578589522,16.5519785553651,18.4579876035764,21.4450288349931,21.2832855136191,16.2955490116195,17.0346303011158,0,18.5386364470931,19.2655671339599,19.1788406940045,19.6236493329999,17.6666052922771,17.3183407626718,19.5735974853673,18.0565334944227,22.7060607408917,20.8040970636234,17.2945981414775,20.4088939977808,16.8313116260131,16.8613373841612
"ivy_42",18.4925253499986,19.6859576454209,19.9911379486618,19.2313690282173,19.8134843524992,18.4710762521022,22.8136764021832,17.3504371322258,21.261186767748,20.5584887615253,19.8220141468968,26.2822512486144,24.6204466085482,21.1988518428745,21.2334181934347,18.5386364470931,0,18.8010251574572,16.9394111530489,24.244520414099,16.905214481682,22.8916928686405,18.166739475152,17.4538277340975,23.0450663653836,19.0336941207868,18.6235294058479,18.1973931775374,19.7150848851016,22.2753180810061
"ophelia_57",18.9282376739747,15.2559194932991,19.8365655532517,18.6951936828506,19.3318068797285,16.0800739828681,22.5583922718451,19.2850314273614,21.2167511121655,18.2490984718778,19.898387296475,25.2391285750525,21.6646135313146,15.9188910695869,19.696275701149,19.2655671339599,18.8010251574572,0,18.8047042945912,23.1202613595621,18.373456877209,21.2921845001762,11.4445744509674,20.2601039607087,16.6026946620935,21.983286782386,20.8126509063238,15.5187305659549,18.3941621724598,18.378842314572
"wolverine_57",16.857198641652,18.1730401035286,17.487395894789,17.2113623232163,18.8704769090592,18.1708329505585,20.3136556490235,16.0611995713959,20.1646831716183,17.3618525543658,18.3352784162047,21.8687305048386,23.7860350110729,18.5009844252729,18.6204883268188,19.1788406940045,16.9394111530489,18.8047042945912,0,20.7305417656556,6.03019713645636,19.2754563024463,17.0115637664489,15.5532910155337,21.2713348462725,18.9400902132322,13.8985290794667,20.2541736075181,18.9576533646133,19.383890739948
"goose_58",16.5156559067533,17.3970535973356,15.9352236011353,16.7080304184586,17.2796383623749,18.3591734284946,12.3079643327065,18.7563260525727,16.7991246628234,15.9414544873695,16.3140558171362,16.3796607009312,23.538843755369,16.5720048958385,12.4041766949052,19.6236493329999,24.244520414099,23.1202613595621,20.7305417656556,0,20.1455159360457,9.89197891997275,21.3840171059115,21.718744309243,22.8764096581369,24.6068618341567,20.14639342104,23.7731471120843,19.5265103468803,15.6210806915531
