"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","grogu_37","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"marshmallow_41",0.563949530010063,0.44802468745479,0.569525301465648,0.462823046973155,0.577483198998114,0.511498989420493,0.466393165855476,0.591750327086001,0.593699798069953,0.597424536385658,0,0.41474177603654,0.532648507648078,0.477848695370183,0.297438844235593,0.335728299691901,0.589969748986778,0.563305046850554,0.615948278711165,0.535674544432013,0.478414388998329,0.462455141315764,0.424288976508515,0.337762247729327,0.542164705601047,0.153834190255007,0.661593632351924,0.497088067702517
"ginger_42",0.342298705152717,0.1579782512013,0.264909465266357,0.199652522220991,0.429753348121318,0.259653492906948,0.250132474739441,0.455309147717415,0.437658440093172,0.286252531633849,0.41474177603654,0,0.29362671753698,0.242063818499145,0.282951889841895,0.223836843625653,0.216157392724909,0.25806703704009,0.28231601258047,0.258583997489821,0.205734164720596,0.22868487773745,0.075701844888079,0.25938273851713,0.283623353972439,0.373401667726646,0.448293608478207,0.202408141886384
"grogu_42",0.408588186347163,0.365477457970508,0.244271672676654,0.384670402881802,0.154299945822265,0.414455871620999,0.418912443841141,0.175941233272001,0.155887851837565,0.357573374588408,0.532648507648078,0.29362671753698,0,0.401429807063516,0.454552438304024,0.43175928501524,0.275003903001729,0.304734993609237,0.383184437204142,0.307217126515581,0.415058905820179,0.433000814755152,0.289872159207105,0.439934564946611,0.388369576481673,0.506706713781324,0.502526974883869,0.327828191879789
"henry_42",0.132118629298844,0.124178931699552,0.233000360896241,0.090833166214856,0.55013703514078,0.110234277771206,0.135603151602319,0.575672841921239,0.55710374065991,0.219119207155338,0.477848695370183,0.242063818499145,0.401429807063516,0,0.329281093259716,0.253143576099112,0.330623942677799,0.211252800887865,0.246891823314071,0.150735465929156,0.161743164819993,0.151035407203537,0.299336877852405,0.282027630842796,0.144501272016159,0.449992355007748,0.233274141112364,0.134581478965878
"ivy_42",0.42011261739369,0.312712495839605,0.422814789630782,0.331301342298905,0.554900294636744,0.334335844313968,0.332323663049306,0.578393412790734,0.561382041488873,0.448097969166691,0.297438844235593,0.282951889841895,0.454552438304024,0.329281093259716,0,0.15277000138677,0.436301403889359,0.43535792959923,0.455098531465432,0.401151694018072,0.289540293851374,0.295082819180806,0.288824857611497,0.164756507689234,0.379419064381993,0.200894006924109,0.496235168194697,0.351120577783017
"ophelia_57",0.352957929470709,0.216760965401605,0.366210527965599,0.240700376260609,0.54703535234506,0.250881888603136,0.251854311865314,0.573351319695903,0.55599445266881,0.388497842896245,0.335728299691901,0.223836843625653,0.43175928501524,0.253143576099112,0.15277000138677,0,0.372809108625365,0.374333460133933,0.388021492481796,0.323652692783021,0.181785077461593,0.23127721483485,0.227198766114844,0.113283845830848,0.320571875307702,0.252614982077927,0.426567154253227,0.262235492042559
"wolverine_57",0.343783396840758,0.264995612309314,0.213270697765579,0.305547017825882,0.365204223777648,0.338581037742776,0.356303173124881,0.38971669735766,0.371483547784518,0.269743323497615,0.589969748986778,0.216157392724909,0.275003903001729,0.330623942677799,0.436301403889359,0.372809108625365,0,0.243981441997859,0.185092143344788,0.290205936869769,0.307805879553713,0.377485056892561,0.219179354184574,0.421136983932642,0.273636094046067,0.540155644711144,0.377053336245696,0.271824815194515
"goose_58",0.196125122867015,0.209099654508405,0.120869168304358,0.220540542464373,0.419084766565883,0.224807215244241,0.274523863841496,0.442025114384789,0.423952788383431,0.125545395837764,0.563305046850554,0.25806703704009,0.304734993609237,0.211252800887865,0.43535792959923,0.374333460133933,0.243981441997859,0,0.175970231818425,0.102395106087635,0.267809724517316,0.279197032529802,0.299486494344818,0.398435840344766,0.170680062672926,0.532310449043388,0.263474816482682,0.164253831257097
"wolverine_58",0.226988710275409,0.222493834043948,0.187952722560741,0.261558079745113,0.466075606304408,0.255021221982702,0.302534639941329,0.492289059293987,0.47214766522563,0.194542250456211,0.615948278711165,0.28231601258047,0.383184437204142,0.246891823314071,0.455098531465432,0.388021492481796,0.185092143344788,0.175970231818425,0,0.211699753463156,0.272057945253489,0.329285583291388,0.313057647955807,0.437866418039135,0.148309558110643,0.566338978624197,0.208894077831027,0.234959669036137
"goose_59",0.139090709308619,0.175528771603421,0.143561119403337,0.162783104266686,0.463184983389994,0.148499928082528,0.193720759233855,0.486916510681126,0.468578711698575,0.117553434904184,0.535674544432013,0.258583997489821,0.307217126515581,0.150735465929156,0.401151694018072,0.323652692783021,0.290205936869769,0.102395106087635,0.211699753463156,0,0.218564489572099,0.194819677862899,0.3059043657097,0.335535870351325,0.167532817921735,0.510558350043542,0.269931221233161,0.103938590478591
