"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0075	0.018	0.005	0.0195	0.00825	0.0345	0.00275	0.0155	0.0015	0.00875	0.2925	0.0585	0.014	0.0875	0.0015	0.0305	0.13075	0.0115	0.00525	0	0.013	0.02375	0.023	0.000625	0.00625	0.008625	0.041	0.0085	5e-04	0.01525	0.004375	0.059	0.01275	0.02975
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.02775	0	0.01875	0.0055	0.00375	0.00575	0.0115	0.00575	0	0.01125	0	0.027	0.01075	0	0.008	0.129	0	0.045	0.015	0	0.06875	0.028375	0.019	0	0.02575	0	0.0235	0.01025	0.00025	0	0	0	0.05975	0.0175
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.003	0.01325	0.0025	0.00425	0.00325	0.01225	0.00325	0.01225	0.01175	0.00375	0.03825	0.02625	0.007	0.01875	0.00425	0.01075	0.09725	0.00975	0.01275	0	0.01	0.025	0.021	0.012625	0.004	0.016125	0.02275	0.0065	0.002	0.0045	0.0025	0.01575	0.066	0.01
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.01225	0.0065	0.01775	0.0065	0.0045	0.00575	0.01275	0.00925	0.02775	0.0165	0.01275	0.00775	0.0035	0.00375	0.01475	0.07225	0.013	0.03875	0.0175	0.000125	0.00625	0.0055	0.006	0.011875	0.0185	0.01725	0.00925	0.00525	0.006	0.01425	0.018375	0.02125	0.04	0.007
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia"	0.01475	0.03275	0.00625	0.01475	0.02375	0.03275	0.00925	0.00225	0.02675	0.0115	0.0115	0.07175	0.013	0.04975	0.00175	0.001	0.00975	0.00025	0.02	0	0.00175	0.01425	0.00175	0.002125	0.00825	0.008375	0.00125	0.001	0.0025	0.005	5e-04	0.00625	0.01175	0.0615
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter"	0.00325	0.0025	0.00875	0.02075	0.03275	0.02675	0.00025	0.0655	0	0.00975	0.00125	0.02	0.001	0.00575	0	0.00025	0.00075	0	0	0	0.01325	0.00125	0.061	0	0.00325	0.001875	0.095	0.05775	0	0.00675	0	0	5e-04	0.00925
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00325	0.01025	0.002	0.001	0.00175	0.0045	0.0035	0	5e-04	0.0045	0.003	0.00325	0.004	0.00075	0.005	0.11525	0.10275	0.02525	0.00425	0	0.00175	0.00275	0.00125	5e-04	0.012	0.0045	0.001	0.00025	0.001	5e-04	0	0.00625	0.01125	0.00375
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0085	0.0075	0.0095	0.013	0.01525	0.0075	0.00375	0.006	0.00475	0.0065	0.008	0.0445	0.00525	0.02425	0.001	0.006	0.0035	0.0015	0.007	0.0025	0.00325	0.017875	0.00325	5e-04	0.0105	0.009875	0.0025	0.02175	0.00075	0.00725	0.000625	0.0025	0.02725	0.02075
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.15775	0.00575	0	0.106125	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia"	0.00925	0.00925	0.00625	0.00525	0.0085	0.00675	0.004	0.00525	0.00525	0.004	0.00525	0.01425	0.00525	0.00825	0.00175	0.00125	0.001	5e-04	0.01575	0	0.0035	0.020875	0.001	0.002125	0.0055	0.017375	0.00475	0.005	0.0025	0.0065	0.003	0.011	0.00825	0.0275
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.01025	0.019	5e-04	0.00475	0.0075	0.01025	0.00575	0.0055	0.00875	0.0095	0.00575	0.008	0.018	0.00575	0.001	0.00475	0.002	5e-04	0.00775	0	0.0035	0.016	0.00075	0.002	0.01075	0.008125	0.00225	0.00275	0.001	0.00725	0.007875	0.00375	0.001	0.01375
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00275	0.0135	0.0035	0.004	0.0055	0.0015	0.00275	0.001	0.002	0.003	0.0025	0.00975	5e-04	0.00725	0.00075	0.00425	0.09575	0.00125	0.0015	0	5e-04	0.0015	5e-04	0.001125	0.001	0.000375	0.00025	5e-04	0	0.00475	0.014375	0.0045	0.01525	0.002
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora"	0.00925	0.006	0.00575	0.01075	0.013	0.012	0.00275	0.007	0.006	0.007	0.00775	0.01575	0.0035	0.0255	0.001	0.0015	0.00025	0	0.00275	0	5e-04	0.015375	0.00025	0.000375	0.004	0.006	0.0015	0.00475	5e-04	0.002	0	0.00325	0.00475	0.007
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster"	0.00475	0.0035	0.0045	0.007	0.01225	0.00425	0.00275	0.0035	0.00275	0.0055	0.00575	0.01625	0.00225	0.0255	0.00075	0.00075	5e-04	0	0.00375	0	0.00125	0.008625	0.0015	0.000375	0.00625	0.00975	0.001	0.00525	5e-04	0.005	0	0.00025	0.0145	0.01025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter"	0	0	0.001	0	0	0	0.009	0	0	0	0.05225	0	0	0.01275	0	5e-04	0.012	0	0	0	0.00025	0	0	0	0	0.053125	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena"	0.00125	0.00125	0.001	0.002	0.00325	0.00375	0.00025	0	0	0.00175	0.003	0.0225	0.00075	0.03125	0.00025	0	0.001	0	0.0025	0	0	0.001125	0	0	5e-04	0.0025	0	0	0	0.005	0	0.00325	0.0025	0.00875
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0	5e-04	0.00025	0.00075	0	0.00025	0.00075	0.005	0	0	0	0.00075	5e-04	0.00075	0	0	0	0	0	0.08025	0.00125	0.0015	0.00075	0.00025	5e-04	0.000125	0	0.00175	0.00025	0	0.00025	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00625	0	0.006	0.00225	0.0035	0.001	0.00225	0	0	0.00275	0	5e-04	0.001	0	0.00075	0.001	0	0	0.011	0	0.008	0.00375	0.00475	0	0.007	0	0.001	0	0.004	0.00525	0	0.006	0.004	0.001
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00125	0.00375	0.00075	0.00575	0.005	0.00575	0	0.002	0	0.00275	0.0035	0.01475	5e-04	0.0075	0.00025	0.00075	0.00125	0	0.001	0	0.00025	0.002875	0.001	0	0.001	5e-04	0.00075	0.00275	0	0.0015	0	0	0.006	0.005
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus"	0.00275	0.00275	0.00275	0.00275	0.00375	0.00625	0.00075	0.0055	0	0.00275	0.00325	0	5e-04	0.00675	0	0.00125	0.00025	0.00025	0	0	0	5e-04	0	0	0.00325	0.010875	0	0.00325	0.001	0.0055	0	0.0025	5e-04	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor"	0.00275	0.003	0.00025	0.00125	0.00125	0.00125	0.0015	5e-04	0.00475	0.00125	0.001	0.00125	5e-04	0.00425	0.00025	5e-04	0.00025	0	0.0095	0	0.001	0.003375	0.00025	0.00125	0.00325	0.004875	0.00025	0	0.0015	0.00175	0.000125	0.003	0.00225	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00025	5e-04	0	0.00025	5e-04	0.002	0	5e-04	0	5e-04	0.0085	0.002	0.00025	0.0015	0	0	0.00725	0.0015	0	0	0.00325	0.001375	0.0065	0	0.001	0.00075	0.0105	0.00025	0	0.00025	0.0025	0.005	0.00025	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0	5e-04	0	0	0	0.00225	0	0	0	0.009	0	0	0.004	0	0.00025	0.018	0	0	0	0.0015	0.000875	0.00075	0	0.00025	0.0195	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00075	0.001	0.002	0.00025	0.002	0.00175	5e-04	0.0025	0.00225	5e-04	0.00125	0.0015	0.001	0.00725	0	5e-04	0	0	0.00075	0	0.00075	0.002875	0.00075	0.000125	0.00075	0.0025	0.00075	0.002	5e-04	0.00175	0	0.001	0.003	0.00175
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.00125	0.0225	0.00025	0.00025	0	0.001	0.00025	0.0015	0	0.00025	0.00275	0.00275	5e-04	0	0	0.00075	0.00075	0.001	0	0	0.00075	0.001	0.00025	0	5e-04	0.00025	0.00025	5e-04	0	0.00025	0.00025	5e-04	0.001	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.00175	0.00575	0.00025	0.00025	0.00075	0.00375	0.00075	0	0	0	0	0.00475	0.002	0	0.00025	0	0	0	5e-04	0	0.00025	0.001375	0.00025	0	5e-04	0	0.001	0	0	0	0	0	0.0015	0.00725
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0	0.00275	0	0.00025	0	0.0025	0	0.0015	0	0.00025	0.00025	0.001	0.001	0.0015	0	0	0.00025	0	0	0	0	0.00125	0.00575	0	0	0.000125	5e-04	0.002	0	0.00225	0.000375	5e-04	0	0.00275
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyrivibrio"	0.00025	0.001	0	0	0.001	0	0	0.00075	0.00175	0.00125	0.00075	0.00025	0.00025	0.00175	0	0.00025	0.00125	0	0.00075	0	5e-04	0.003375	0	0.00025	5e-04	0.002875	5e-04	0.00075	0.00075	0.00025	0.00025	0.00225	0.00075	0.00075
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	5e-04	0.0015	0.00025	0.00025	0	0.0015	0	0.0015	0	0	0.00075	0.00075	0.00075	0.00025	0	0.001	0.003	0	0	0	0.00025	0.0035	5e-04	0.000125	0.00025	0	0.00125	0.001	0	0.00025	0	0	0.00275	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola"	0.00025	0.00025	0.00075	0.00025	0.0015	0	0.00025	0.00025	0.00125	0.00075	0.00025	0	0.00025	0.00075	0	5e-04	0	0	0.00175	0	0.001	0.000875	0	0.000375	5e-04	0.004625	0.00025	0	0.00075	5e-04	0	0.00175	0.00125	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00025	5e-04	0.00025	0.00025	0	0	5e-04	0	0	0	0.005	0.00025	0.00025	0.002	0	0.00175	0.005	5e-04	0.00025	0	0	0.00075	0.00025	0.000125	0	0.00125	0	0.00025	0	5e-04	0	5e-04	5e-04	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera"	0.00025	5e-04	5e-04	0.00075	0.00075	5e-04	5e-04	0.00025	0.00125	0.00075	5e-04	0.00075	5e-04	0.001	0	0.00025	0.00075	0	0.00225	0	0.00025	0.002875	0	5e-04	0	0.0015	0.00025	0.00025	5e-04	5e-04	0	0.001	5e-04	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0	0.00025	0	0	0	0.002	0	0	0	0	0	0	0	0.0035	0	0	0.01	0	0	0	0.001375	0	0.001	0	0	0	0	0	0	0	0.0015	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus"	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.01425	5e-04	0	0.00025	0	0	0	0.00225	5e-04	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.00025	5e-04	0.00025	0.00025	0.00175	0	0.00025	5e-04	0.00025	0.00025	5e-04	0.00025	5e-04	0.0025	0	0.00025	0.00025	0	0.00075	0	0.00025	0.002125	0.00025	0	5e-04	0.00175	0.00025	0	0.00025	0.00025	0	5e-04	5e-04	0.00075
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas"	0.006	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Marvinbryantia"	0.00025	0.00025	0.00025	0.00025	0.00025	5e-04	5e-04	0	0.00075	0.00025	0.00025	0.00075	0	0.001	0	0.00075	0.00025	0	0.001	0	0.00025	0.001125	0.00075	0.000125	0.001	0.0015	0.00025	0.00025	5e-04	0.00025	0	0.001	0.00075	0.00075
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0	0	0.00025	0	0	0	0.00025	0	0.00075	0	0.001	0	0	0.00275	0	0.00025	0.00025	0	0.00025	0	0.00025	0.00025	0	0.000875	5e-04	0.006625	0	0	0.00025	0.00025	0	0.00075	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.00025	0.0015	0.00025	0	0.00025	0	0	0	0	0	0	0.001	0	0.00025	0	0.00025	0.008	0.00025	0	0	0.00025	0.000125	0	0	0	0	0.00025	0	0	0.00025	0.00025	5e-04	5e-04	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.00025	0	0.00025	0.00025	0.00025	5e-04	0.00025	0	0	0	0	0.0015	5e-04	0	0	5e-04	0	0.00025	0.00075	0	0	0.00175	0	5e-04	0.00025	0	0	0	0.00025	0.0015	0	0.00025	0.0025	0.00125
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0	0.00075	0	0	0	0.00075	0	0	0	0	0.002	0	5e-04	0.00075	0	0	0.007	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Clostridioides"	0	0	0	0	0	0	0	0.00825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.001	0	0	0	0	0.010125	0	0	0	5e-04	0	0.000125	0	0	0	0	5e-04	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella"	0	0	0	0	0	0	0	0	0	0	0.00125	0	0	0.0015	0	0	0.00075	0	0	0.00025	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Anaeromassilibacillus"	0	0.00075	0	0.00025	0	0.00025	0	0.00075	0	5e-04	0.00025	0.00075	0.00075	0.00075	0	0	0.00025	0	0	0	0.00025	0.000875	0.002	0	0	0.000125	0.00025	0.00025	0	0.00025	0.000125	0	0	0.001
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella"	0	0.00025	0.00025	0	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0.00675	0.00025	5e-04	0.00025	0.000125	0	0	0	0	0	0	0.000625	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0	5e-04	0.00025	0.00025	0.00025	0	0	0	0	0.00025	0.00025	0.002	0	0.0035	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0.00025	5e-04	0	0	0	0	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Canicola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.00025	0.001125	0.00025	0.000625	0.00025	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix"	0	5e-04	0.00025	0	5e-04	0	0.00025	0.00025	0	0.00025	0	0	0	0	0.00025	0	0	0	5e-04	0	0.00025	0.001125	0.00025	0.000375	5e-04	0.00075	0	5e-04	0.00025	0.00025	0	5e-04	0.00075	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0	0.00025	0.00025	0	0	0.00025	5e-04	0	0.00025	0	0	0.00025	0.00025	0	0	0	0.004	0	0	0	0	0	0	0.00025	0	0	0	0	0	0.00025	0.000125	0.00025	0.00025	0.001
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.00025	0.0015	0	0.00375	0	0.00025	0	0	0.00075	0	0.00025	0	5e-04	0.00025	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.004875	0	0	0.00075	0.000375	0.00025	0.000375	0	0	0.00025	0	0.00025	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0	0	0	0	0	0	0.0035	0	0	5e-04	0	0.00025	5e-04	0.00025	0	0	0	0	0	0	0.00125	5e-04	0.00025	0	0	0	0	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hungatella"	0	0	0	0.00025	5e-04	0.00025	0	5e-04	0.00025	0.00025	0	0.00075	5e-04	0.00175	0	0.00025	0	0	0	0	0	0.000625	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.00125	0	0	0.00175	0	0	0	0	0	0	0	0	0.000625	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Catenibacillus"	0	0.00025	0	0	0	0.001	0	0.00025	0	0	0	0.00075	0	0.00075	0	0	0.00025	0	5e-04	0	0	0.000125	0	0	0	0.000125	0	0.00025	0	0	0	0	0.00025	0.00125
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerocolumna"	0	0	0.00025	0	0.00025	0	0	0	0.00025	0.00025	0	0	0	0.00025	0	0.00025	0	0	5e-04	0	0	0.000125	0	0.000125	5e-04	0.00125	0	0.00025	0.00025	0	0	0.00075	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.00025	0	0	0	0	0	0	0	0	0	0	0.001	0.00025	0	0	0.00025	0	0	0.00025	0	0	0.000625	0	0.000125	0	0	0	0	0.00025	5e-04	0	0	5e-04	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia"	0	0	0	0	5e-04	0	0	0	5e-04	0.00025	0	0	0	5e-04	0	0	0	0	0.00025	0	0.00025	0.00025	0	0.00025	0	0.000875	0	0	0	0	0	5e-04	5e-04	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0.00025	0	0.00025	0	0.00025	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0.00175	0.000625	0.00025	0	0.00025	0	0	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Eisenbergiella"	0.00025	0	0	0	0.00025	0.00075	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.000625	0	0	0.00025	0.000125	0	0	0	5e-04	0	0	0.00125	0
