tax	CHA-46-MGE-S38	CM-NTC-003	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	17	0	4	0	83	9	15	42	15	0	0	0	4	28	24	23	5	34	54	127	25	3	20	43	575
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	6	0	256	7	2	3	20	19	6	5	7	22	90	10	7	14	23	12	26	0	5	0	3	3	546
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	31	0	21	24	14	16	14	53	10	5	8	36	28	29	22	26	18	48	66	0	0	0	20	8	497
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	16	0	0	0	21	16	30	92	36	1	3	3	0	27	43	20	8	18	0	0	0	2	5	39	380
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	13	0	10	7	12	11	10	59	14	3	13	54	3	26	28	7	17	12	40	0	1	2	15	11	368
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	11	0	87	4	16	3	3	23	3	0	6	2	23	18	24	22	2	7	7	15	40	0	2	18	336
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	10	0	12	6	12	10	24	35	16	4	11	13	11	40	33	25	2	25	15	0	5	0	13	3	325
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	6	0	0	0	144	6	0	0	0	0	0	0	0	6	0	0	1	0	0	0	99	7	13	0	282
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	8	0	66	2	0	1	85	15	1	1	0	1	23	5	30	4	1	10	20	0	0	0	3	4	280
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	3	0	45	2	3	3	10	33	10	0	5	6	87	5	13	14	6	10	11	0	4	0	0	0	270
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	3	0	1	29	9	11	0	10	6	2	20	25	4	8	10	2	2	12	13	33	4	1	17	6	228
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	15	0	0	0	15	0	0	1	0	1	110	78	0	0	0	0	0	0	0	0	0	0	0	1	221
