"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"g__Aggregatibacter"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Aggregatibacter"
"g__Parolsenella"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Parolsenella"
"g__Granulicatella"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Carnobacteriaceae"	"g__Granulicatella"
"g__Marseilla"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Marseilla"
"g__Eubacterium"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Eubacteriaceae"	"g__Eubacterium"
"g__Faecalimonas"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Faecalimonas"
"g__Syntrophococcus"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Syntrophococcus"
"g__Jingyaoa"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Jingyaoa"
"g__Neisseria"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Neisseriales"	"f__Neisseriaceae"	"g__Neisseria"
"g__Drancourtella"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Oscillospiraceae"	"g__Drancourtella"
"g__Catenibacillus"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Catenibacillus"
"g__Murimonas"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Murimonas"
"g__Proteus"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Morganellaceae"	"g__Proteus"
"g__Olsenella"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"
"g__Leyella"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Leyella"
"g__Haemophilus"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Haemophilus"
