"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"f__Fusobacteriaceae"	41	37	1245	169	0	798	5	1	2	31	473	25	265	36	77	1122	53	15	0	55	118	0	24	820	0	38	2	26	68	41	0	131	33	0	0	78	0	35	0	75	125	85	597	1	2	0	0	0	2	0	2	0	0	20	6	29	0	5	0	0	41	58	0	0	21	64	0	19	1	0	8	30	7	50	6	0	0	0	0	0	31	8	0	21	1	0	0	0	0	40	0	3	12	1	0	2	49	2	0	43	25	0	0	1	179	5	1	110	0	93	0	99	1510	0
"f__Coriobacteriaceae"	20	15	8	11	64	15	26	0	1	76	32	16	29	4	36	71	3	12	1	27	16	5	6	112	5	121	3	185	5	88	1	18	71	1	0	3	26	52	9	93	25	61	83	70	31	7	13	3	24	184	41	1	16	50	8	167	4	23	11	14	1	11	28	2	3	6	9	3	13	25	6	11	3	131	7	5	16	2	4	20	45	111	4	52	13	3	61	9	3	513	114	14	12	21	16	3	36	1	5	4	3	2	2	12	333	8	13	1	8	4	1	26	158	24
"f__Clostridiaceae"	54	21	32	24	3	11	53	2	6	86	51	59	59	5	24	12	19	48	1	8	33	13	45	194	14	7	2	7	10	10	7	24	105	12	22	72	7	2	20	3	18	43	59	1	73	8	11	12	23	20	33	15	45	18	24	72	19	31	1	20	55	57	45	17	54	117	14	12	51	1	4	29	18	26	30	1	5	26	16	10	43	24	13	54	2	31	16	22	15	30	12	45	16	70	16	15	51	13	9	18	18	63	14	7	4	20	5	15	5	118	3	39	7	13
"f__Bifidobacteriaceae"	0	0	0	0	1031	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	197	0	0	0	0	0
"f__Morganellaceae"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32	0	0	541	0	10	0	0	0	0	0	850	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Streptococcaceae"	2	5	28	2	0	0	0	40	3	22	9	0	34	0	27	3	7	0	0	0	1	3	0	68	5	4	1	4	1	17	0	0	0	0	0	4	0	4	0	4	3	1	9	0	0	4	1	3	0	10	0	0	0	0	1	2	0	0	3	0	1	1	0	0	4	12	0	883	0	1	2	2	6	15	6	0	1	1	0	0	21	0	0	0	1	0	1	1	0	18	6	8	3	1	0	1	2	0	2	14	3	2	1	2	22	0	4	0	0	11	2	0	2	1
"f__Oscillospiraceae"	6	0	22	1	0	3	2	3	0	0	29	8	50	1	0	1	1	7	2	2	37	2	24	110	1	5	0	4	5	0	0	8	66	0	1	2	1	0	0	0	33	14	10	1	2	0	3	0	3	3	12	0	3	4	9	16	0	4	0	1	4	42	2	0	27	3	0	22	14	0	3	17	2	15	13	0	0	1	0	0	75	2	0	9	0	1	0	2	1	11	3	73	1	71	3	0	3	4	2	0	36	0	1	0	0	4	1	11	0	28	1	21	6	2
"f__Muribaculaceae"	2	3	0	1	20	0	11	0	0	0	14	14	18	1	4	1	0	14	0	10	1	8	28	23	0	8	3	18	5	10	0	15	19	0	0	0	39	16	4	34	10	12	3	7	23	4	4	0	20	5	18	3	1	30	7	2	0	10	11	7	5	0	30	3	4	0	3	0	31	9	7	1	0	4	0	13	9	2	14	15	3	21	9	8	18	2	15	20	0	17	23	17	2	8	1	6	4	2	12	4	3	3	4	0	20	5	9	0	9	1	3	15	0	5
"f__Barnesiellaceae"	1	0	11	0	1	2	2	0	0	0	15	3	1	0	15	1	0	3	8	23	10	1	5	7	15	6	0	14	2	1	6	26	8	2	3	0	29	8	2	6	10	3	3	1	2	0	2	0	5	0	6	0	2	4	0	0	0	1	2	4	0	19	4	1	40	0	1	5	5	3	3	9	19	2	4	3	3	2	2	0	3	0	1	1	2	5	13	1	2	19	6	42	1	26	5	1	1	0	1	3	37	0	2	0	49	2	2	65	2	7	0	3	27	27
"f__Butyricicoccaceae"	15	4	30	0	0	23	12	0	1	0	6	20	9	0	0	12	13	18	2	0	23	6	37	45	7	0	0	0	20	0	2	0	8	2	3	3	0	0	4	0	9	7	10	0	2	0	2	0	1	9	8	1	7	1	1	25	0	5	0	7	1	20	2	4	8	4	0	17	1	0	0	24	0	2	30	0	0	4	0	0	24	0	0	2	0	5	20	0	3	5	0	10	0	20	3	0	1	0	0	0	0	0	2	0	0	6	0	0	2	19	6	30	0	14
"f__Pseudomonadaceae"	0	0	0	0	13	9	0	0	3	124	293	1	118	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	4	0	0	0	0	0	0	0	0
"f__Pasteurellaceae"	0	1	0	1	0	8	1	29	3	8	52	0	138	5	2	1	3	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	2	4	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	39	30	0	2	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	8	0	0	0	0	19	4	2	0	0	0	0	0	0	5	0	1	1	1	0	20	0	0	2	0	0	5	0
"f__Atopobiaceae"	2	3	0	1	4	3	2	1	0	1	1	4	2	0	1	0	0	0	0	1	3	2	4	3	0	5	1	7	1	7	0	0	3	0	0	0	11	2	1	10	8	3	5	4	3	1	2	0	6	13	3	0	1	2	2	8	0	1	4	0	0	0	2	0	1	1	0	0	0	6	1	3	1	4	2	0	4	0	1	3	5	4	1	2	2	0	4	1	0	13	8	13	1	5	1	2	1	2	0	1	0	1	0	1	9	1	2	1	1	0	0	3	4	4
"f__Acutalibacteraceae"	0	0	5	0	0	1	0	0	0	0	5	1	6	0	1	0	0	2	0	1	0	0	5	14	0	2	0	0	0	0	0	1	3	1	0	0	0	0	0	0	6	7	4	0	0	0	0	0	0	1	6	0	1	1	1	4	0	2	0	0	0	14	0	0	1	1	0	10	0	0	2	3	1	7	2	0	0	0	0	0	13	0	0	4	0	0	0	0	0	1	0	9	1	10	0	0	0	0	0	0	12	0	0	0	0	1	0	1	0	2	0	3	3	0
"f__Peptococcaceae"	1	5	0	0	0	0	2	0	0	0	11	4	14	1	0	0	0	13	0	0	7	5	6	13	0	0	0	0	4	0	0	0	1	0	0	0	1	0	1	0	2	5	8	0	2	0	0	3	1	0	3	1	0	2	0	1	1	1	0	3	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	7	0	5	0	2	5	1	0	0	2	0	1	0	0	2	0	6	0	0	0	0	0	0
"f__Erwiniaceae"	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	1	0	0	0	0	0	0	0	0	0	0
"f__Staphylococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Anaeroplasmataceae"	0	0	0	0	0	0	2	0	0	0	36	0	15	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	4	0	0	0	11	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"f__Gemellaceae"	1	1	0	0	0	1	0	0	2	3	1	0	3	0	5	0	2	0	0	0	0	0	0	38	0	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	1	6	0	0	1	0	0	0	2	0	1	3	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	2	1	0	0	2	8	0	1	0	0	0	0	0	4	0
"f__Peptostreptococcaceae"	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
"f__Aerococcaceae"	1	1	0	0	0	2	0	0	1	3	2	0	13	0	1	1	1	0	0	0	0	0	0	21	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	1	5	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	0	1	0	2	0
"f__Enterococcaceae"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	36	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	11	0	3	0	0	0	0
"f__Carnobacteriaceae"	0	0	0	0	0	1	0	15	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	12	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	0	3	0	0	2	0
"f__Rikenellaceae"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	1	0	0
"f__Neisseriaceae"	0	0	0	0	0	4	1	0	4	0	0	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	1	0
"f__Lactobacillaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	2	0	0	3	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Eubacteriaceae"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
"f__Campylobacteraceae"	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"f__Cellulosilyticaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Cardiobacteriaceae"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
