"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"g__Faecalicatena"	5	1	0	0	0	15	72	0	0	0	0	71	0	1	0	4	0	56	4	0	6	0	81	2	6	0	0	0	16	0	1	1	56	1	1	2	1	0	2	0	0	3	1	0	29	1	4	0	15	2	9	0	3	2	2	3	0	3	1	1	0	0	18	1	2	4	4	0	6	0	0	3	0	7	1	10	0	3	10	0	2	10	1	4	0	3	10	6	2	0	1	8	9	24	3	1	2	3	2	1	1	1	5	0	0	27	0	0	0	0	1	28	0	18
"g__Butyricicoccus"	15	4	30	0	0	23	12	0	1	0	6	20	9	0	0	12	13	18	2	0	23	6	37	45	7	0	0	0	20	0	2	0	8	2	3	3	0	0	4	0	9	7	10	0	2	0	2	0	1	9	8	1	7	1	1	25	0	5	0	7	1	17	2	4	8	4	0	11	1	0	0	24	0	2	29	0	0	4	0	0	20	0	0	2	0	5	20	0	3	5	0	10	0	20	3	0	1	0	0	0	0	0	2	0	0	6	0	0	2	18	6	30	0	14
"g__Lachnoclostridium"	11	3	14	14	1	5	4	0	5	2	5	2	11	0	3	3	6	6	1	7	1	5	5	36	5	3	4	3	3	6	0	7	8	0	0	14	0	2	2	3	8	7	14	5	22	7	3	1	9	5	10	5	1	4	3	21	4	4	2	3	4	33	10	0	13	6	4	15	11	4	7	7	3	1	6	1	10	0	5	3	6	6	3	5	8	1	1	4	0	2	18	12	6	40	1	3	3	3	8	3	4	1	4	1	3	3	3	4	0	10	2	10	0	4
"g__Pseudomonas"	0	0	0	0	13	9	0	0	3	124	293	1	118	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	4	0	0	0	0	0	0	0	0
"g__Flavonifractor"	4	0	11	0	0	2	2	0	0	0	21	6	29	1	0	0	0	4	0	0	35	0	16	95	0	0	0	0	2	0	0	0	65	0	0	0	1	0	0	0	18	6	5	0	0	0	0	0	1	0	1	0	0	4	8	1	0	3	0	0	4	11	2	0	26	1	0	14	12	0	0	7	2	5	8	0	0	0	0	0	56	2	0	6	0	0	0	2	0	6	0	48	0	59	0	0	2	2	0	0	5	0	0	0	0	2	0	5	0	15	0	8	0	0
"g__Butyrivibrio"	0	0	4	10	0	4	2	0	0	0	3	6	7	0	0	0	4	9	2	3	4	0	4	51	8	1	1	1	0	2	0	9	6	2	0	16	1	1	0	4	3	3	4	0	30	4	3	0	13	5	13	0	0	7	7	2	2	5	2	1	3	1	11	0	4	4	7	1	12	4	1	3	2	5	5	7	0	1	6	1	9	6	0	12	2	0	1	1	0	20	20	7	4	20	0	1	3	3	5	2	1	3	5	1	3	7	3	2	1	4	5	1	2	11
"g__Coprobacter"	0	0	3	0	0	0	1	0	0	0	14	0	1	0	14	0	0	0	8	16	8	1	1	6	15	6	0	11	0	0	6	24	4	1	3	0	3	6	2	0	9	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	15	0	0	32	0	1	5	0	0	1	5	17	0	3	0	0	2	0	0	2	0	0	0	0	5	11	0	2	3	0	12	0	6	5	0	0	0	0	0	35	0	2	0	44	1	0	58	1	2	0	2	27	27
"g__Waltera"	2	2	1	7	0	2	4	0	4	3	25	6	33	0	12	3	2	12	1	13	1	0	9	28	4	8	11	4	0	3	2	13	6	1	1	30	0	3	0	8	2	2	6	1	14	1	2	2	9	1	2	0	2	2	1	2	2	6	5	3	0	0	3	0	5	7	2	1	3	2	4	5	1	2	0	4	8	1	2	1	0	3	0	2	1	1	5	3	0	1	11	14	0	6	1	0	3	0	2	1	0	5	1	0	7	5	7	2	1	1	2	2	1	5
"g__Porcincola"	4	1	1	6	1	2	2	0	0	0	0	2	1	0	7	1	0	9	1	3	1	5	9	9	9	1	4	1	1	5	1	8	6	2	1	19	0	6	3	8	0	2	5	2	34	8	6	1	15	5	3	2	2	4	4	1	2	2	2	4	4	1	7	1	4	5	7	0	17	6	6	1	6	4	3	3	3	1	9	1	7	9	4	1	1	2	3	1	0	1	24	4	4	11	0	1	2	1	14	2	0	1	10	5	1	7	5	2	0	0	3	2	0	10
"g__Duncaniella"	1	2	0	0	12	0	2	0	0	0	9	5	14	1	0	0	0	7	0	2	1	2	9	9	0	2	1	4	3	2	0	4	8	0	0	0	23	5	1	8	7	9	3	2	8	1	1	0	5	2	8	2	0	11	6	1	0	7	2	2	3	0	10	1	2	0	1	0	10	1	1	1	0	0	0	6	1	0	6	9	3	8	5	4	5	0	3	5	0	15	6	9	2	6	0	3	2	1	4	0	3	3	4	0	5	3	2	0	6	1	0	3	0	3
"g__Paramuribaculum"	1	1	0	1	4	0	8	0	0	0	2	8	1	0	3	1	0	6	0	6	0	4	14	3	0	4	0	11	2	6	0	7	7	0	0	0	7	9	2	21	1	1	0	4	11	1	2	0	11	2	6	0	1	11	0	1	0	2	4	3	2	0	11	1	2	0	1	0	9	5	5	0	0	3	0	6	7	2	5	2	0	8	2	4	12	1	9	10	0	2	10	3	0	1	1	1	2	1	5	3	0	0	0	0	13	1	6	0	1	0	2	8	0	1
"g__Hoylesella"	0	1	0	0	0	0	8	0	0	0	0	1	0	0	0	1	21	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	20	24	0	5	19	0	0	5	0	12	4	0	5	2	0	0	2	0	23	0	0	2	0	0	18	0	0	0	0	2	0	5	0	0	8	5	1	14	34	4	0	0	0	6	0	0	0	0	2	0	0	2	1	0	0	0	0	2	0	4	0	5	0	0	0	0	0	0	0	0
"g__Colibacter"	1	1	0	4	1	0	2	0	0	2	0	1	0	0	0	1	0	7	0	0	0	1	4	9	0	0	0	0	0	1	0	3	2	0	0	30	0	0	1	5	0	0	1	7	15	2	5	0	6	4	0	0	0	2	0	5	0	3	11	1	1	0	6	0	2	22	5	0	8	8	2	0	2	1	2	2	1	1	3	1	1	4	2	0	2	0	0	1	0	0	16	0	3	2	0	0	0	0	14	3	1	1	3	6	0	7	10	0	0	0	2	1	1	4
"g__Marvinbryantia"	1	3	0	4	0	0	0	0	0	0	4	0	7	0	1	2	0	2	0	0	3	4	2	10	3	3	0	1	2	4	1	3	7	1	1	10	0	3	4	1	5	1	1	0	10	0	3	0	1	0	1	1	4	3	1	3	4	0	0	5	1	2	3	1	12	6	4	0	8	2	2	1	1	1	3	5	1	3	10	0	3	6	1	2	0	3	3	1	0	0	4	10	2	6	0	0	0	0	5	1	4	2	1	0	1	3	2	1	0	1	2	2	0	5
"g__Barnesiella"	1	0	8	0	1	2	1	0	0	0	1	3	0	0	1	1	0	3	0	7	2	0	4	1	0	0	0	3	2	1	0	2	4	1	0	0	26	2	0	6	1	3	1	1	2	0	1	0	5	0	5	0	0	4	0	0	0	1	2	2	0	4	4	1	8	0	0	0	5	3	2	4	2	2	1	3	3	0	2	0	1	0	1	1	2	0	2	1	0	16	6	30	1	20	0	1	1	0	1	3	2	0	0	0	5	1	2	7	1	5	0	1	0	0
