tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	17	23	17	0	0	0	0	0	1	5	8	18	1	0	18	21	13	17	41	14	0	17	11	0	242
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	13	22	1	0	4	4	4	1	0	17	3	81	0	6	8	0	0	14	36	0	5	9	0	3	231
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	0	13	0	9	6	1	42	2	20	1	0	11	53	26	0	0	0	0	1	0	0	11	10	206
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	2	7	0	0	15	2	13	2	13	11	12	11	15	3	7	15	3	15	8	14	0	12	5	9	194
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	5	7	0	0	30	3	17	1	4	0	2	8	23	6	0	13	8	11	16	3	1	6	0	2	166
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	4	1	1	0	14	17	26	4	6	1	1	16	6	8	1	24	3	3	9	7	4	5	1	3	165
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	14	10	7	0	4	0	3	0	2	28	14	5	2	21	17	2	1	5	6	9	0	1	9	4	164
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	2	0	0	1	0	0	4	2	27	16	1	0	58	10	6	0	0	0	16	0	0	4	3	151
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	7	18	3	0	4	1	3	0	0	8	0	21	4	12	5	0	0	8	28	1	10	12	1	3	149
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	7	0	0	9	9	1	1	2	2	5	8	9	14	16	19	3	5	4	7	0	2	4	21	149
