"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"wolverine_37",3.22513946503052,6.3261308817174,2.1322586766012,2.00708770491141,4.29302603374529,2.06486960905855,1.77740733238987,1.60536566970976,2.73517999881423,7.07484614047888,0,2.10998603033179,2.16794236362313,1.42568982479449,2.20194855000301,1.61198087388374,5.08512515298577,1.60104202896427,1.97414737195695,2.6892487615332,5.54508582688558,1.81915577573286,1.89416825805141,4.23331693036099,2.90261994300891,4.49246983741808
"hamlet_41",1.63845948800236,4.66484350453374,1.73826858159807,1.11279369042125,2.60610114139656,1.33695589708587,1.65936504594658,1.13981522374785,1.60682304643407,5.48249494300317,2.10998603033179,0,0.40123586720287,2.04656990329649,3.0774769995679,2.74440594078831,3.91367794378143,2.63563105779749,2.47218363396629,1.79010206681946,3.85124097582782,2.75194665364254,1.70108180589239,2.48253235545439,1.53954226423472,2.91213794042574
"hera_41",1.76243337639346,4.71947809040813,1.92987982551412,0.861204521363047,2.70450804520603,1.5449894193273,1.55724571767014,1.15103470896892,1.81256571595272,5.54665813275442,2.16794236362313,0.40123586720287,0,2.1705736908752,3.12969859112131,2.82205788953173,3.99962078961397,2.66510726385892,2.40502806802833,1.92035574232604,3.92309311412428,2.76671415486666,1.63474377609162,2.54749303764494,1.67078303391607,2.85895696312837
"goose_42",2.82683646548799,6.10947586268988,1.76446494238288,2.06118083903365,3.90973946153118,1.35583303046628,2.33400095485495,1.55426512708243,2.09588318686147,6.86559097859318,1.42568982479449,2.04656990329649,2.1705736908752,0,1.75576294924021,1.28243497646708,4.49294584253414,1.5841886652987,1.37963148162264,2.13757635697639,5.54717319657317,1.25638317831642,2.03556404750572,3.81450320040543,2.45643409084842,3.94108688978919
"lambchop_42",3.91358867528641,7.26393913563475,2.62592026580286,2.84636359308508,5.08361245300189,2.73946878778768,2.99322929348842,2.2522826907446,3.44449515121834,8.02622791729663,2.20194855000301,3.0774769995679,3.12969859112131,1.75576294924021,0,1.42425640785395,5.70311823089642,0.845178101023428,1.58961702031939,3.44378498781063,6.69909481325114,1.409478174943,2.83943852139501,4.94237835569766,3.69309257808057,4.88640322930539
"buddy_57",3.66730629431302,6.97675648684692,2.16904154116407,2.63047358082832,4.82885959778489,2.39595619871099,2.39049338540915,2.19321493943811,3.137828178734,7.71519477453704,1.61198087388374,2.74440594078831,2.82205788953173,1.28243497646708,1.42425640785395,0,5.39787634128239,1.18237144662274,1.34543022745358,3.20347572160352,6.28640493700235,1.75941625077228,2.20844438160855,4.80327243560072,3.51534447755845,4.98801244138038
"joans_57",2.98521442193191,3.62841648204851,3.72509235733678,4.2806906471467,2.78651185438992,3.44596337330221,5.19500573799491,4.32056563693892,2.96861001979241,4.23216141065296,5.08512515298577,3.91367794378143,3.99962078961397,4.49294584253414,5.70311823089642,5.39787634128239,0,5.57155566799355,5.19673885625199,2.55584252024791,3.99197632586385,5.1862773499113,5.14961502800694,3.06055478529428,3.00979654183877,3.70152565601486
"ginger_58",3.63380195314794,6.96510114028701,2.31035500335834,2.36425866388653,4.82899824787998,2.51611173058514,2.3266766191224,1.78501603703307,3.24490200310787,7.73709919484642,1.60104202896427,2.63563105779749,2.66510726385892,1.5841886652987,0.845178101023428,1.18237144662274,5.57155566799355,0,1.39583918884477,3.24452853385401,6.30369156710471,1.45202072640741,2.33852511282821,4.72577645273496,3.4497185980157,4.75927159073617
"henry_59",3.44629751377586,6.73855989518037,2.48139595167719,2.05165165108605,4.56148625649992,2.30084215290475,2.22130711353712,1.8854862885678,2.99131323273787,7.52656846888284,1.97414737195695,2.47218363396629,2.40502806802833,1.37963148162264,1.58961702031939,1.34543022745358,5.19673885625199,1.39583918884477,0,2.99557839691325,6.14846047954863,1.38936285956266,1.88811615768366,4.3964622612564,3.2139842596223,4.24443782442329
"joans_60",1.61904665300311,4.36889965699127,1.83410936165348,2.14901907022915,2.36734258328938,1.10917836714264,3.0946041103461,1.96345161437483,1.01616255927082,5.15033928236817,2.6892487615332,1.79010206681946,1.92035574232604,2.13757635697639,3.44378498781063,3.20347572160352,2.55584252024791,3.24452853385401,2.99557839691325,0,4.0682691187215,2.8084518272225,3.01066168648404,2.35309562187109,1.1280752392557,2.78196860820193
