tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	420	0	108	291	167	100	315	55	205	209	186	113	226	238	295	152	50	42	149	7	69	192	142	69	3800
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	137	0	42	224	10	75	60	420	77	25	103	129	230	52	559	93	61	62	154	18	41	164	988	39	3763
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	1063	0	558	526	16	179	1	0	0	0	0	79	0	5	1	548	0	0	7	17	109	451	3560
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	141	0	21	106	48	4	252	114	101	156	48	436	146	111	66	587	149	264	170	13	29	181	105	48	3296
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	24	0	0	0	0	0	0	826	15	3	5	16	91	0	7	541	115	559	0	0	0	19	876	8	3105
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	140	0	42	295	19	21	65	322	49	68	56	215	303	63	274	297	64	128	25	54	47	502	19	8	3076
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	149	0	158	85	107	152	178	77	164	138	283	246	265	235	0	143	73	27	82	34	208	62	11	116	2993
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	448	1	0	0	0	0	164	0	797	561	646	0	0	0	329	1	0	0	0	0	0	0	0	0	2947
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	392	0	17	55	75	29	69	15	493	86	60	13	17	573	0	393	122	54	5	12	55	147	84	33	2799
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	3	0	0	0	0	0	0	487	11	7	35	44	37	0	15	31	17	15	13	0	1	189	1224	187	2316
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	108	0	10	5	3	1	10	13	88	10	18	485	692	26	8	194	58	73	13	33	21	26	398	0	2293
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	225	0	102	97	8	28	27	0	0	0	0	9	0	11	4	1576	1	0	1	6	22	86	2203
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	35	1	0	153	6	1	3	713	4	2	2	13	23	14	0	7	2	4	0	412	2	686	0	0	2083
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	101	0	110	81	95	137	81	42	57	77	103	191	166	219	0	79	49	23	19	26	143	43	13	82	1937
