"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"Genetic Information Processing|Translation"	0.0151871707532025	0.0141707320768023	0.0133475600809712	0.0166026712568073	0.0187353200889964	0.0189760903990864	0.0182729440191298	0.0171724381242519	0.0187275136446702	0.0181825937359863	0.0160384532455776	0.0179037417434486	0.0140389337756525	0.0183667624951117	0.0203178495516908	0.0178720101262048	0.0202015489129011	0.0158617049302215	0.0181944113351384	0.0195832761012422	0.0189090012811656	0.0138417756693583	0.0132061738738156	0.017930884379009	0.0168414301630844	0.0180022463833156	0.0175294921538408	0.0204021711288993	0.0135010503848224	0.0171955627403688	0.0191117657755124	0.0201254384954194	0.0136300335225671	0.0137235862269134
"Genetic Information Processing|Replication and repair"	0.0158157946702465	0.0153126321214712	0.0151250702775269	0.016366114176987	0.0175089281445485	0.0176563323852363	0.0174695147334008	0.0168568965138615	0.017748938834163	0.0175109810181734	0.0160804603074895	0.0166365796250649	0.0152452455401054	0.0170609364560736	0.018485479578713	0.0174364545047552	0.0186141302485572	0.0162602554708471	0.0172342006242611	0.0177444293820048	0.0175437767246971	0.0152298399493739	0.015086845501721	0.0175308221903209	0.0165434547826293	0.0172899100995825	0.0169236245297447	0.0182911888801081	0.0150639972295828	0.016754744503825	0.0182632617454308	0.0178483482118986	0.015560328533812	0.0152930379877548
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0167467169497093	0.0158253461494106	0.0182651733103396	0.0151689988202085	0.0146346672335804	0.014397017423513	0.0152239849736112	0.0146503879585397	0.0155573026136814	0.0148551692669186	0.0152373036001546	0.0137477829842518	0.0166648726837522	0.0131720015458881	0.0161401515066349	0.0122239226103093	0.0178671825277475	0.0155476182847713	0.0146183590610193	0.0135978501561552	0.0154481783073532	0.0171273016534833	0.0154877962106674	0.0146240634843476	0.014888314984094	0.0120650759823526	0.0135890945322907	0.0124375262055977	0.0168258343024695	0.0143736296878118	0.0153586876682133	0.0119443772477748	0.0166291602655645	0.0176341780806331
"Metabolism|Metabolism of other amino acids"	0.0147878570019809	0.014546344699405	0.015181291158661	0.01350277100712	0.0137804029115138	0.0134089904299057	0.0133465445572915	0.0136981043516719	0.0136994650405291	0.0137484304084374	0.0142435106744004	0.0123836188698605	0.0149679781348547	0.0128930776025256	0.0144312985119342	0.013062024475505	0.0148664475671642	0.0143777207745624	0.013365903922805	0.0135279491571094	0.0144287804252781	0.0150712466417574	0.0131852892373236	0.0137176746418028	0.0130209984231774	0.0126317430366467	0.0129789008402553	0.0134803074003784	0.0148719417251059	0.0129652582976024	0.0141954341556587	0.0132044193559747	0.0143655578901908	0.0153124753312838
"Metabolism|Glycan biosynthesis and metabolism"	0.0119487575277875	0.0114438069518767	0.0108804066459139	0.0127725609651075	0.0133702104050508	0.0151965362640909	0.0146258630082593	0.0148298264019327	0.0145589643806273	0.0153778358339968	0.0117239181696779	0.0142140426994786	0.0115495730558386	0.0144745976708308	0.013552839304708	0.0161158639735132	0.0129638182390285	0.0125892887168729	0.0149196680924793	0.0135461336006521	0.0125841056449977	0.0111819759348893	0.0139656551329524	0.0151081954318182	0.0147991178911746	0.0178373824700929	0.0147747683237913	0.0150750309055979	0.0113049631570369	0.0141959799590767	0.0162291908585691	0.0139396362787052	0.0105371256140915	0.0108550111367496
"Human Diseases|Drug resistance: Antimicrobial"	0.0144233171690731	0.0154800659986999	0.0165176154139171	0.0133694781169597	0.0116171617535544	0.0115843221057665	0.0117563036568222	0.012937592261673	0.0112497081643026	0.0108021081334944	0.0140826158449012	0.0125123252996316	0.0157064372529845	0.0119373763866705	0.0106019272729496	0.0118185908764525	0.0103130183957946	0.0141493018099003	0.0119171368301261	0.0109787835119745	0.0121712997752326	0.0157794452592585	0.0130384507979859	0.0114355856524698	0.012698453807103	0.0117609802787966	0.0115141663346611	0.011328524141007	0.0160133377706802	0.0118562087043535	0.0110872123248483	0.0113449054598712	0.0159471693501058	0.0162688516647319
"Metabolism|Biosynthesis of other secondary metabolites"	0.0114361349198135	0.0108322390583882	0.010044885987648	0.0116425046431057	0.0121991900399396	0.0130708492062607	0.0121590527620193	0.0123065063744339	0.0129830340865847	0.0131058604087524	0.0110082105281632	0.011727505157977	0.010743485356614	0.0122294377064329	0.0127467234998983	0.0134874503732568	0.0128626800660877	0.011691834320934	0.0124082946341733	0.0121818413880195	0.0117632421939365	0.0107548666434327	0.0128490847990745	0.0134382715246717	0.0122098796433908	0.0128588463296409	0.0126241984142106	0.0126484803120054	0.0107252599044862	0.0121084020784307	0.0138563605516713	0.0120900987972566	0.0107755152548127	0.0101496597611584
"Genetic Information Processing|Folding, sorting and degradation"	0.00968663340411334	0.00937918532815903	0.00916748377713515	0.00977638950904329	0.01047350438524	0.0106627845044755	0.0102785590077795	0.0101532816089627	0.0105160954553784	0.0100396232798177	0.00979773530359409	0.00995631404615118	0.0094398290200831	0.0102004579693761	0.0110231107476856	0.00985260946143109	0.0110048538817891	0.00976710189871428	0.0104318212536506	0.0106505108510009	0.010672752832954	0.00938378198437942	0.00904865950875222	0.010138992388521	0.00992075183585517	0.0103744335683995	0.0100140137439072	0.011020424616145	0.00920946218005541	0.00984675430492614	0.0107216592974402	0.0107905068260489	0.00906709137945164	0.00933453661897559
"Metabolism|Metabolism of terpenoids and polyketides"	0.0112767546220895	0.0106150164375754	0.00955476752999622	0.00949969017540747	0.00950334962119905	0.00911989365785281	0.00887367489694364	0.00976467836426494	0.00915362816421134	0.0087270571883065	0.0101005344002013	0.00854136199714696	0.0109095366952718	0.00886468359990688	0.00974208639258675	0.00864194559089277	0.0101020767445229	0.0102845271502473	0.00945987995177087	0.00914232814778973	0.0099343326783912	0.0110146675255169	0.00868953563356109	0.00977651662010273	0.00919725177371941	0.00832819334135588	0.00888089484626721	0.00894582200974136	0.010860500301852	0.0088536720303876	0.00954404757830843	0.00878502641064744	0.00932640531371621	0.00982758693077949
"Cellular Processes|Cell growth and death"	0.0049497142731541	0.00492297244541212	0.00452143805176501	0.00608008174401788	0.0060048825075831	0.00657757664752867	0.00619257294686101	0.00635903407838679	0.00641005369372666	0.00679733523257959	0.00507951435496138	0.00699358662932682	0.00462599265601848	0.00705275021559558	0.00569387123730813	0.00813155333494892	0.00532804427495354	0.00569511391815317	0.00652916328567689	0.00611497265326798	0.00504340029509311	0.00449279989905977	0.00629713588682904	0.00761331003806199	0.00666303022712504	0.00766035131034788	0.0072027690990468	0.00662757931701263	0.00472380393269117	0.00682955597396472	0.00694683337702794	0.00647194892770764	0.00520896975527363	0.00436034767492462
