"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0	0	0.00311111111111111	0.00155555555555556	0	0.00288888888888889	0.00688888888888889	0.0451111111111111	0.000666666666666667	0.00355555555555556	0.0226666666666667	0.0122222222222222	0.0133333333333333	0	0.0371111111111111	0.00866666666666667	0.000444444444444444	0	0.008	0	0	0.000222222222222222	0.0326666666666667	0.0322222222222222	0.000888888888888889	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.002	0.000444444444444444	0.0193333333333333	0.00422222222222222	0.00655555555555556	0.002	0.0131111111111111	0.00444444444444444	0.00311111111111111	0.00244444444444444	0.03	0.00166666666666667	0.00355555555555556	0.000888888888888889	0.00311111111111111	0.00666666666666667	0.000222222222222222	0.00111111111111111	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.00222222222222222	0.0602222222222222	0.0266666666666667	0.00155555555555556	0.00155555555555556
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00422222222222222	0.00133333333333333	0.00866666666666667	0.00755555555555556	0.00455555555555556	0.00355555555555556	0.0288888888888889	0.00711111111111111	0.00466666666666667	0.00488888888888889	0.00933333333333333	0.0161111111111111	0.0128888888888889	0.00266666666666667	0	0.00955555555555555	0.00244444444444444	0.00177777777777778	0.00333333333333333	0.0115555555555556	0.00222222222222222	0.00133333333333333	0.000888888888888889	0.00644444444444444	0.00377777777777778	0.000888888888888889
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.000444444444444444	0	0.00377777777777778	0.00355555555555556	0.00133333333333333	0	0.0355555555555556	0.00355555555555556	0	0.00488888888888889	0.008	0.008	0.006	0	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.000222222222222222	0	0	0.000222222222222222	0	0	0.006	0.000666666666666667	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182222222222222	0.0273333333333333	0.000888888888888889	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.0357777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00133333333333333	0	0.000444444444444444	0.002	0.003	0.000888888888888889	0.00177777777777778	0.000222222222222222	0.000666666666666667	0.00222222222222222	0.00111111111111111	0.000444444444444444	0.000666666666666667	0.000666666666666667	0	0.000888888888888889	0.000444444444444444	0.002	0.000444444444444444	0.000666666666666667	0.000666666666666667	0	0.00355555555555556	0.00133333333333333	0.000666666666666667	0.00177777777777778
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000666666666666667	0	0.00111111111111111	0.00155555555555556	0.00544444444444444	0	0.00155555555555556	0.000888888888888889	0.000444444444444444	0.00111111111111111	0.000888888888888889	0.000444444444444444	0.000666666666666667	0	0	0	0	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0	0.00888888888888889	0.000222222222222222	0.000222222222222222	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae"	0	0	0	0.00177777777777778	0	0	0.00177777777777778	0.00511111111111111	0	0	0	0.00411111111111111	0.00288888888888889	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0.00444444444444444	0.00111111111111111	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00177777777777778	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.000888888888888889	0.000444444444444444	0	0.000666666666666667	0.00511111111111111	0.00111111111111111	0.00133333333333333	0	0	0.000888888888888889	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0.000666666666666667	0.000444444444444444	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000444444444444444	0	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000222222222222222	0.000666666666666667	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.00133333333333333	0.000444444444444444	0.00177777777777778	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0.00177777777777778	0.000666666666666667	0	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0.000888888888888889	0	0.000222222222222222	0	0	0.000444444444444444	0	0	0.000888888888888889	0.000111111111111111	0.000222222222222222	0	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0.00244444444444444	0.000666666666666667	0	0.000444444444444444	0.00422222222222222	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae"	0	0	0.00111111111111111	0.00111111111111111	0	0	0	0.00266666666666667	0	0.00155555555555556	0.000444444444444444	0.000333333333333333	0.000888888888888889	0	0	0	0	0	0	0	0	0	0	0.00266666666666667	0.000222222222222222	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae"	0	0.000222222222222222	0.00111111111111111	0.000222222222222222	0	0	0	0.000444444444444444	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000444444444444444	0	0	0.000444444444444444	0.00155555555555556	0	0	0
