"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	5e-04	0.00025	0.012	0.0015	0.002625	0.00025	0.0075	0.00125	5e-04	0.0025	0.0185	0.001	0.00175	0	0.00075	0.00225	0	0.00025	0	0	0	0.00025	0.02325	0.01525	5e-04	0.00025
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis (ex Bordigoni et al. 2020)"	5e-04	5e-04	0.0015	0.005	0.00625	0.00375	0.001	0.00325	0.004	0.001	0	0.001875	0.00025	0.00525	5e-04	0.00025	0.00025	0.0125	0.01275	0.00025	0.0045	0.00575	0.00075	0.006	0.00625	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0.00075	0	0.00225	0	0.0065	0.00475	0	0.00125	0.006	0.03575	0	0.001375	0.00025	0.00125	0	0	0	0	0	0	0.01525	0	0.00025	0	0	0.00375
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella baroniae"	0.00225	0.00075	0.00175	0.00875	0.005125	0.00475	0.007	0	0.004	0.0025	0	0.005	0.005	0.00525	0	0.0025	0.001	0	0.01	5e-04	0.0015	0.00025	0.006	0	0	0.00025
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0	0	0.00125	0.00075	0	0	0.00625	0.03375	0	0.001	0.00175	0.008875	0.011	0	0	0.00225	0	0	0	0	0	0	0.00525	0.00075	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	5e-04	0	0.001	0.00225	0.001125	0	0.0355	0.00075	0	0.0035	0.00675	0.0075	0.0055	0	0	5e-04	0.00025	0	0	0	0	0	0	0.0025	5e-04	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00275	0.001	0.002	0.0035	0.005125	0.004	0.00625	0.00225	0.00275	0.00075	0.00275	0.007875	0.00275	0.00325	0.00375	0.00075	5e-04	0.00125	0.00275	0.00325	0.00175	0.00125	0.00175	0.0015	0.00175	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	5e-04	5e-04	0.0025	0.00175	0.001125	0.00075	0.01125	0.00775	5e-04	0.00075	0.00525	0.001625	0.0015	0.00075	0.0025	0.00075	0.00025	0.00125	0.00275	0	0.00025	0.00025	0.005	0.00975	5e-04	0.0025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter gnavus"	0	0	0.00025	0.0235	0	5e-04	0.001	0.00825	0	0.00525	0.00075	0.008	0.00375	0	0.00025	5e-04	0.00025	0	0	0	0	0	0	0.00325	0.00075	0.00025
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.001	0.00025	0.0025	0.00175	0.003	0.001	0.00275	0.00225	0.001	0	0.002	0.000625	0.00025	5e-04	0.001	0.0025	0.00025	0.00025	5e-04	0.00025	0.00025	0.0015	0.02	0.006	0.00075	0.00125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0	0	0	0.00075	0	0	5e-04	0.013	0.00025	0.0015	0.01475	0.001375	0.0015	0	0.006	0	0	5e-04	0	0	0	0	0.003	0.00375	0.00125	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00075	0.00025	0.001	0.00175	5e-04	0.00075	0.0075	0.00125	0.001	0.001	0.00275	0.0035	0.002	5e-04	0	0.00075	0.00075	5e-04	0	0.0035	0	0.00025	0.002	0.0065	0.00125	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0	0	5e-04	0.003	0	0	0.0065	0.00625	0	0.01025	0.00525	0.001375	0.00325	0	0	0	0	0	0.00025	0	0	0	0.00125	0.00075	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.00025	5e-04	0.00025	0.001	0.00125	0.00125	0.001	0.00075	0.001	0	5e-04	0.000375	0.00025	0.00225	0.00075	0.00025	0.00025	0.005	0.00475	0.00075	0.00125	0.00425	5e-04	0.0025	0.00325	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas fragi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145	0.01875	5e-04	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00075	0	0.00075	0.00125	0.000875	0.001	0.002	5e-04	0.00125	0	0.003	0.000125	0.00075	5e-04	0.001	0.002	0	0.00025	0	0	0.00025	5e-04	0.011	0.003	5e-04	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00025	0.00025	5e-04	0.0015	0.000375	5e-04	0.00325	0.00325	5e-04	0.001	0.00075	0.00325	0.0015	0.00075	0	5e-04	5e-04	0.00025	0.00025	0.0045	0	0	5e-04	0.00425	0.00025	0.00075
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella buccae"	0.00075	0.00025	5e-04	0.003	0.00225	0.00125	0.0025	0	0.00125	0.001	0	0.002875	0.0015	0.00225	0	0.00075	0.00025	0	0.00575	0.00025	0.00075	0.00025	0.00175	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.00025	0.00025	0.00025	0.00025	0.0025	0.00275	0.0015	0.00075	0.004	0.00025	0.00025	0.0025	0.00025	0.00275	0	0.00025	0.00025	0.00275	0.00025	0.00025	0.00175	0.001	0.00025	5e-04	0.00125	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.00025	0	0.00075	0.0025	0.000875	0	0.0035	0.00125	0	5e-04	0.00125	0.00275	0.00325	0	0.00125	0	0	0	0.00025	0	0	0	0.00225	0.00425	0	5e-04
