"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"wolverine_37",3.76435103511536,5.96981427554563,4.80832665292226,3.26037862056973,5.5731376647538,4.81586133883686,3.78878209404404,2.93309765652662,5.73905749111912,7.79567810325516,0,3.55100477092275,2.65112609132983,4.73332144222443,4.90072033088216,4.6948801093044,6.58896158498717,3.86661512146051,4.15020366695146,3.93234578150672,7.40441438943947,4.7461073685988,5.3934782293899,3.82016452861407,3.99605434608166,8.02160841983504
"hamlet_41",2.58221445768602,4.86946929957647,2.85935626815091,2.71049560780904,3.72599261451378,2.60468016741016,3.11525999414443,3.03264828658178,3.89271786377923,6.58708959880118,3.55100477092275,0,1.59595364622281,2.63584582791023,3.68028445311002,3.49780361708213,5.1289804693363,2.79370326746918,2.53937319536185,2.60005970779098,5.4808417481325,2.84453046750682,5.70711692769431,2.82244890184822,1.67176868744746,6.29400576966282
"hera_41",2.56050228612168,4.98100094706437,4.09462998026259,2.20814885635154,4.74543027671717,3.79337893695471,3.67419581384018,2.26732401224911,5.07131810998286,7.40756426151057,2.65112609132983,1.59595364622281,0,3.67804754507828,4.45468631870805,4.22096245096158,5.88330408836147,2.79671907987594,2.81666808636489,2.65141818656921,6.55298327499138,2.9447839575606,6.15110770147045,3.26645553838263,2.38156945308263,7.48820487398786
"goose_42",3.3647695064221,6.14182974186888,2.01466116745994,3.64793590280391,3.49735005285518,1.20240620265925,2.40051727043221,4.64045779539231,2.47959127802254,6.66348471515551,4.73332144222443,2.63584582791023,3.67804754507828,0,1.94459877181559,1.41614083062801,4.51037183034591,2.65498538401831,2.21971366936456,3.37901212397424,5.44177301061676,3.25455388416864,5.25114453983413,4.32989252533944,2.69326632199576,4.97731945412721
"lambchop_42",4.50603176028088,7.02049590596529,2.76187589507151,4.44780396938968,4.39935721383967,2.29475629585758,2.49032532532149,5.09615340692006,3.00068399582061,6.98728089011551,4.90072033088216,3.68028445311002,4.45468631870805,1.94459877181559,0,1.38006173109285,5.10619559395134,3.43540218055421,2.92892039056383,4.37320536251632,5.98604538357238,4.2689503485346,4.88065458000742,4.7975438815259,3.9015461361715,5.12948533365734
"buddy_57",4.02503340604411,6.9249275255052,2.57001234896825,4.11015954090687,4.20452989346512,2.10717855592342,2.24464641235698,4.97356295526692,2.91511660444502,7.10521351993532,4.6948801093044,3.49780361708213,4.22096245096158,1.41614083062801,1.38006173109285,0,5.00464372101351,3.0108418265602,2.62789703306606,4.06268493861873,6.00205420797767,3.91998890636383,4.98954099148378,4.94153837613368,3.69201368364324,5.14569243886801
"joans_57",4.89248094959232,4.83261173511124,4.25639834884649,6.33935004750639,3.80620130179737,3.86303120080254,5.45560306109544,6.80413164386423,3.72372290786823,4.97040222264968,6.58896158498717,5.1289804693363,5.88330408836147,4.51037183034591,5.10619559395134,5.00464372101351,0,6.13852260771784,5.776930303016,3.79564884736786,4.62203790203401,5.91102230846863,7.08602662842447,4.83081432964222,4.30922686572126,4.62658034240392
"ginger_58",3.18680008705068,6.55873611342768,4.00526960799479,1.76033710598188,5.03756727250039,3.40977993301248,3.19872650027004,3.47739377012673,4.76460496625566,8.38130519807607,3.86661512146051,2.79370326746918,2.79671907987594,2.65498538401831,3.43540218055421,3.0108418265602,6.13852260771784,0,1.18119099009943,3.54786483748329,7.32816498917175,2.45127833306138,5.81475125151394,4.82883534311503,3.01632208524615,7.43113492788877
"henry_59",3.37937001647943,6.47070387467818,3.57598860705053,2.50357095001287,5.00098763372079,3.05774473534107,3.28465738900168,3.53448447794011,4.50363915711953,8.21411809407716,4.15020366695146,2.53937319536185,2.81666808636489,2.21971366936456,2.92892039056383,2.62789703306606,5.776930303016,1.18119099009943,0,3.30969418198444,7.02536297101165,1.77739041192386,6.17462855801864,4.64558889634699,2.86824302758178,6.98621931606608
"joans_60",2.25680808544441,3.67781588765052,3.7736332613946,3.49475607966762,4.02972911476525,3.20975394396773,4.30425661771736,3.90430993330648,4.30934106545625,6.58427739084795,3.93234578150672,2.60005970779098,2.65141818656921,3.37901212397424,4.37320536251632,4.06268493861873,3.79564884736786,3.54786483748329,3.30969418198444,0,5.64639114141007,3.03787134150262,6.75222482695157,3.29920435745527,1.81064311067746,6.45731912265093
