"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"njc126"	0	0	0.13	0.13	0.18	0.12	0.03	0.35	0.08	0.15	0.2	0.26	0.1	0.15	0.05	0	0	0.08	0.05	0.08	0.1	0.03	0.13	0.25	0.15	0.08
"njc127"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc128"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc129"	0	0	0	0	0.05	0	0	0.18	0	0.03	0.07	0.04	0.03	0	0.05	0	0	0	0.03	0.03	0	0	0.1	0.08	0.03	0.08
"njc130"	0	0	0.05	0.1	0.08	0.12	0	0.2	0.05	0.05	0.05	0.14	0.05	0.1	0	0.05	0	0.05	0.03	0.05	0.1	0.05	0.03	0.15	0.1	0.08
"njc131"	0	0	0.13	0.13	0.13	0.12	0.03	0.13	0.08	0.13	0	0.23	0.08	0.15	0	0	0	0.08	0.03	0.05	0.1	0.03	0.03	0.18	0.12	0
"njc132"	26.27	28.6	13.44	35.81	11.92	14	15.95	44.18	9.23	7.18	38.3	26.17	35.62	15.4	13.73	13.78	12.33	27.94	25.43	27.58	7.25	30.87	8.05	26.97	25.38	5.23
"njc133"	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.03
"njc134"	0	0	0	0.03	0.08	0.03	0	0.18	0	0.13	0.07	0.04	0.03	0	0.18	0	0	0	0.05	0.03	0.03	0	0.1	0.18	0.03	0.1
"njc135"	0	0	0.05	0.05	0.06	0.07	0	0.03	0.03	0.13	0	0.08	0.03	0.05	0.13	0.05	0	0.03	0	0.03	0.03	0.03	0.03	0.2	0.03	0.03
"njc136"	0	0	0.03	0	0	0	0.03	0.05	0	0	0.12	0.04	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0
"njc137"	0	0	0	0.03	0.01	0	0	0.18	0	0	0.05	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0.03	0.03	0.08
"njc138"	28.45	29.3	14.36	37.96	14.48	15.22	17.75	44.58	10.88	8.06	40.38	26.67	36.04	16.45	14.85	15.05	12.85	29.24	25.78	28.21	8.28	30.54	15.93	27.2	26.12	5.68
"njc139"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc140"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc141"	0.05	0	0.03	0.05	0.08	0.07	0.12	0.1	0.13	0	0.05	0.14	0.05	0.08	0	0	0	0.08	0.03	0.03	0.03	0	0.03	0.03	0.05	0
"njc142"	7.58	7.2	6.53	18	7.85	6.6	5.85	7.41	4.58	3.3	3.8	11.13	10.08	6.9	4.83	4.12	2.9	12.99	11.13	5.63	4.15	13.03	9.63	7.46	11.05	1.13
"njc143"	0	0	0	0.05	0.01	0.05	0	0	0.03	0.03	0	0.06	0.03	0.05	0	0	0	0.03	0.03	0.03	0.08	0.03	0	0.03	0.05	0
"njc144"	24.7	34.85	9.23	21.51	12.86	10.88	14.28	35.27	9.23	19.81	38.9	18.8	29.36	10.6	11.43	12.22	10.98	16.85	14.83	24.46	24.14	16.93	14.53	24.84	17.68	7.53
"njc145"	28.45	29.3	14.36	37.96	14.39	15.18	18.3	47.46	10.8	7.96	40.42	27.4	36.99	16.4	14.8	15.25	12.85	29.22	25.78	28.21	8.23	30.57	16.18	27.22	26.05	5.53
"njc146"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc147"	0	0	0.03	0	0.05	0.03	0	0.05	0.08	0.03	0	0.04	0	0.03	0	0	0	0.03	0	0	0.03	0	0	0	0.03	0
"njc148"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc149"	0	0	0.03	0	0.05	0.03	0	0.05	0.08	0.03	0	0.04	0	0.03	0	0.05	0	0.03	0	0	0.03	0	0	0	0.03	0
"njc150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc152"	0	0	0	0	0.04	0.03	0	0	0	0.1	0	0.01	0	0	0.13	0	0	0	0	0	0.05	0.03	0	0.1	0	0.05
"njc153"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc154"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc155"	28.52	29.3	14.84	37.56	15.07	15.65	17.08	43.73	11.43	10.43	40.42	26.58	35.62	16.53	14.88	15.03	12.85	29.22	25.73	28.23	9.75	30.54	16.23	27.27	26.08	5.98
"njc156"	0	0	0.08	0	0.04	0.03	0	0.18	0	0.1	0.05	0	0	0	0.13	0	0	0.03	0.03	0	0.03	0	0.03	0.13	0.03	0.1
"njc157"	0	0	0	0	0.05	0	0	0.18	0	0.03	0.07	0.04	0.03	0	0.05	0	0	0	0.03	0.03	0	0	0.1	0.08	0.03	0.08
"njc158"	0	0	0.2	0.38	0.01	0	0	0.23	0.03	0.08	0.15	0.03	0.05	0.03	0.05	0.05	0	0	0.03	0	0.03	0	0	0.35	0.03	0
"njc159"	2.15	0.75	0.8	2.18	2.57	1.15	2.12	0.65	1.48	1.28	2.17	0.69	0.93	1	1.25	1.35	0.55	1.7	0.75	0.63	1.05	0.08	7.93	0.95	0.98	0.55
"njc160"	0	0	0.13	0.13	0.13	0.12	0.03	0.13	0.08	0.13	0	0.23	0.08	0.15	0	0	0	0.08	0.03	0.05	0.1	0.03	0.03	0.18	0.12	0
"njc161"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc162"	0	0	0	0	0.01	0	0	0.18	0	0	0.05	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0.03	0.08
"njc163"	0	0	0.18	0.25	0.23	0.15	0.12	0.63	0.08	0.35	0.17	0.4	0.25	0.18	0.1	0.03	0	0.08	0.08	0.08	0.15	0.03	0.48	0.35	0.2	0.13
