tax	BUD-17-MGE-S232	BUD-18-MGE-S250	CM-NTC-012	GIN-24-MGE-S240	GIN-42-MGE-S241	HAM-20-MGE-S235	HAM-46-MGE-S243	HEN-22-MGE-S238	IRI-18-MGE-S233	IRI-20-MGE-S253	IRI-55-MGE-S247	IVY-18-MGE-S234	IVY-19-MGE-S252	IVY-55-MGE-S248	JAR-18-MGE-S249	JAR-52-MGE-S246	JOA-11-MGE-S231	KUB-22-MGE-S237	KUB-45-MGE-S242	KUB-49-MGE-S245	OPH-20-MGE-S236	WOL-19-MGE-S251	WOL-24-MGE-S239	WOL-48-MGE-S244	total
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	351	2	0	19	51	0	0	51	28	182	86	339	288	2	5	0	38	3	1	15	0	228	1	36	1726
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	69	76	0	65	89	46	62	54	68	86	95	123	109	62	67	49	112	54	0	80	88	74	65	79	1672
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	23	3	0	54	116	88	38	55	25	80	194	29	91	92	53	46	62	62	0	51	213	139	99	38	1651
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	7	0	0	20	133	15	38	102	67	47	39	17	11	43	101	263	10	94	0	61	119	104	98	139	1528
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	23	29	0	17	46	22	14	54	56	71	121	80	189	117	51	97	29	37	0	29	35	41	26	47	1231
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	52	21	1	31	51	130	38	40	36	50	40	134	158	29	30	23	41	67	0	93	40	55	26	24	1210
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	77	0	0	60	72	18	41	65	23	32	40	16	75	81	49	145	54	44	0	67	14	22	12	26	1033
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	10	0	0	0	2	24	89	3	59	59	117	4	5	6	42	64	21	45	0	172	46	67	78	70	983
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	0	0	9	2	1	6	3	26	36	19	311	140	64	0	1	0	2	0	112	3	47	32	115	929
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	7	0	0	6	64	35	82	42	34	22	17	67	37	152	50	16	13	21	0	37	45	30	44	63	884
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	43	2	0	30	52	27	104	41	20	20	54	22	23	43	32	26	26	46	0	88	26	16	45	81	867
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	534	2	0	0	5	6	6	5	4	19	7	152	66	0	0	0	10	0	0	16	0	25	0	1	858
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	14	26	1	24	23	28	33	15	55	65	80	1	16	20	29	48	15	38	0	110	29	78	58	33	839
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	5	0	0	3	15	11	8	3	23	11	15	290	243	17	10	1	1	12	0	35	4	33	10	55	805
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	124	0	0	1	11	8	14	1	125	42	14	79	60	7	0	0	0	2	0	17	42	96	9	23	675
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	13	34	1	0	399	0	0	92	0	0	0	0	0	0	6	8	23	32	0	0	6	0	0	3	617
