"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00075	0.0035	0.00025	0.002	0.00025	0.00475	0	0.005	0	0.002	0.00025	0.00225	0	0.0015	0.00025	5e-04	0.0125	0.002	0.00225	0	0.00325	0.00025	0.005	0.00625	0.00075	0.005	5e-04	0.00025	0.00325	0.001
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0	0.0055	0	0.003	0	0.00125	0	0	0	0.012	0	0.00725	0	0.0135	0.00075	0	0	0.001	0	0.009	0	0.001	0.00075	0	0.00775	0	0	0.00025	0	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00125	5e-04	0.001	0.00475	5e-04	0.002	0.002	0.00375	0.00025	0.0015	5e-04	0.003625	0	0.001	5e-04	0.00225	0.0015	0.002	0.00125	0.001	0.00175	0.00225	0.00675	0.00375	0.0015	0.003	0.00125	0.00025	0.00325	0.00375
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0.04	0	0.00075	0	0	0	0	0.00075	0.00025	0.01075	0.00025	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter gnavus"	0	0	0.0015	0	0	0	0	0.00175	0	0	0	0.000875	0.00025	0	0	0	0.00075	0.007	0.00175	0	0.00125	0.00025	0.017	0.00075	0.00175	0	0	0.001	0.011	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter sichuanensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0.0415	0.00025	0.00275	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0	0	0	0	0	0	0	0	0	0	0	0.0445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0	0.0015	0.00325	0	0	0.00475	0	0.00075	0	0.00225	0	0	0	5e-04	0	0	0.00575	0.0015	0.00125	0	0.00025	0	0.017	0.00025	0	5e-04	0.00125	0.00275	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0	5e-04	0.00225	0.00025	5e-04	0.00175	0	0.00025	0	5e-04	0	0	0.00025	0.00025	0.00025	0.00125	0.00075	0.00375	0.00075	0	5e-04	0	0.00225	0.00325	0.0015	0.015	0.0015	0.00325	0	0.00025
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00025	0.004	0.00025	0.0045	0	0.00025	0	0.0015	0.00025	5e-04	0	0	5e-04	0.0025	0.00075	0.00275	0.00075	0.002	5e-04	0.00125	0.00075	0.00025	0.00375	0.0025	5e-04	0.00075	0.00225	0.00075	0.00175	0.0025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0	0	5e-04	0	0	0	0.001	5e-04	0	0	0	0.00025	0.00025	0	0	0	0	0	0.00075	0.00175	5e-04	0.0025	0	0.0055	0	0.0205	0.00425	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00025	0.00125	5e-04	0.001	0.00025	0.00275	5e-04	0.00225	0.00025	0.00075	0.00025	0.006875	0.00025	0.00025	0.00025	0.00025	0.002	0.00025	0.001	0	0.00075	0.00075	0.003	0.00175	0.001	0.003	5e-04	0.0025	0.0035	0.00025
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.0015	0.00025	0.00025	0.0015	0	0.001	0.00175	0.00175	0.00025	0.00175	0	0.007625	0	0.00075	0.001	0.0025	0.00025	5e-04	0	0.001	5e-04	0.0015	0.00025	0.00225	0.00025	0.0025	0.00125	0.00025	0.002	0.002
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter chengduensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03425	0	0.00175	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella oris"	0	0	0.00075	0	0	0	0.00125	5e-04	0	0	0	0.000375	0.00025	0	0	0	0	0	0.0015	0.001	0.00075	0.00075	0	0.01125	0.00025	0.01175	0.00275	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0	0.002	0	0	0.00125	0.0045	0	0.00075	0	0.0015	5e-04	0	5e-04	0.00125	0.00025	0	0.0015	0.006	0.001	0	0.00025	0	0.00125	0.0015	0.001	0.002	5e-04	0.003	0.00025	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas fragi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0.02775
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0	0	0	0	0	0	0	0	0	0	0.02725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.00025	0.00075	0.00025	5e-04	0	0.00175	0	0.001	0	0.00025	0	0.000875	5e-04	0.00175	5e-04	5e-04	0.001	0.00225	5e-04	0.00075	0.00025	5e-04	5e-04	0.001	0.004	0.00325	0.0025	0.00125	5e-04	0.0015
