"ID"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"
"txid2606635"	0	1	0	5	1	1	2	2	0	4	2	2	1	6	2	3	0	3	2	21	5	27	10	3	2	10	1	10	1	0	7	3	4	24	3	7	9	4	0	3	1	10	5	1	1	40	3	0	6	1	2	5	1	11	1	1	1	8	1	3	2	0	1	2	1	2	2	0	5	4	2	3	0	0	2	0	4	6	2	1	2	2	4	4	0	3	2	0	4	7	1	2	1	0	3	0	2	0	1	1	4	2	0	1	10	11	0	5	1	0	2	0	2	0	4	1	0	5	2	4
"txid2763667"	8	16	4	19	21	22	11	29	27	50	28	18	24	24	16	43	0	18	7	57	92	109	28	14	24	72	20	43	19	27	56	15	31	289	42	31	39	52	11	33	15	60	119	14	21	211	24	24	28	67	31	60	5	140	19	44	17	62	18	4	65	11	42	15	14	29	22	26	117	11	27	68	12	29	81	7	158	100	48	11	105	7	17	55	8	49	30	31	38	17	14	37	11	42	42	7	37	64	17	20	64	35	14	49	56	94	13	66	31	18	43	24	38	2	65	36	4	58	50	57
"txid1121308"	0	0	0	0	0	21	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid2654621"	128	653	448	370	289	456	107	901	789	463	666	421	337	319	878	584	2	155	1065	717	819	1031	1658	719	547	686	468	1292	552	804	684	1369	851	1949	905	424	852	710	1066	614	263	1308	800	177	296	1940	491	412	565	504	971	510	360	1855	1004	563	850	618	353	381	530	803	336	604	1056	375	1115	372	522	199	509	446	457	985	746	129	911	1042	592	188	671	399	1075	740	1127	438	953	444	794	741	586	683	889	827	661	806	720	1343	867	472	806	713	236	690	1414	786	295	803	343	931	937	233	892	864	1321	546	654	554	474	514
"txid742816"	158	94	68	536	103	1089	222	458	1167	280	891	944	1362	1423	607	454	1	1052	949	447	769	609	466	701	1545	506	50	369	939	719	621	696	673	978	68	633	1110	989	884	671	23	511	694	4	36	601	364	104	657	381	340	314	1044	1159	388	312	688	440	751	1041	371	459	93	207	410	1044	585	427	642	977	1106	220	234	985	300	29	732	317	339	611	237	998	953	1336	437	506	179	850	991	1209	185	1057	476	573	592	209	785	310	1025	86	353	658	60	162	1714	292	355	482	94	1206	485	441	676	621	1009	176	746	259	834	650
"txid158847"	36	7	6	422	7	18	165	144	63	80	63	256	15	1112	52	109	0	1	264	34	125	62	157	144	99	304	18	87	358	253	191	155	176	331	54	197	320	159	198	260	12	267	213	7	20	389	89	45	492	41	119	65	447	676	258	289	227	176	590	333	198	155	37	161	299	534	197	158	187	757	239	101	177	1	180	11	182	129	285	0	194	754	359	340	177	203	130	1	399	437	74	386	169	0	212	159	173	2	229	36	150	169	11	12	1319	54	265	291	21	290	123	106	507	463	221	133	579	64	277	447
"txid491921"	1	12	2	30	3	62	9	10	192	42	33	17	239	83	17	8	0	34	23	13	3	23	9	47	199	28	0	6	23	19	13	9	4	112	5	15	11	4	15	11	0	23	9	1	0	26	5	2	37	24	5	44	31	49	29	14	17	23	46	20	27	8	1	21	31	72	16	4	8	40	33	7	12	77	14	0	18	8	20	84	9	57	18	42	6	15	17	136	8	33	3	23	10	72	11	17	13	17	12	2	5	4	2	3	118	6	30	29	2	16	7	7	49	33	6	8	43	3	55	27
"txid209880"	4	36	21	0	4	0	18	23	0	27	27	11	0	0	18	19	0	0	0	0	23	0	0	14	0	23	4	0	10	21	12	0	0	0	12	0	0	0	18	0	2	0	17	3	3	76	0	39	0	1	7	2	0	209	23	15	19	33	178	0	3	14	19	3	10	49	12	31	44	0	17	15	6	0	19	4	7	20	13	0	36	0	0	5	10	18	9	0	28	0	16	37	11	0	68	4	29	0	0	9	7	33	1	21	0	12	7	8	5	17	17	8	0	0	17	11	38	0	17	58
"txid156456"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2
"txid1852378"	0	1	1	4	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	2	0	3	0	3	2	1	1	0	0	0	2	1	0	0	1	5	1	0	0	0	4	0	0	1	1	0	1	3	2	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	3	0	0	1	0	0	3
