"ID"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"njc127"	0.02	0.43	0.02	1.37	0.02	0.02	0.02	0.02	0.08
"njc128"	0.03	0.33	0.1	12.6	0.02	0	0.12	0.23	0.65
"njc129"	0	0	0	0	0	0	0	0	0.02
"njc130"	1.98	6.52	0.33	0	1.87	0.58	1.08	1.78	5.03
"njc131"	0.27	0.4	0.02	0	0.18	0.07	0.08	0.15	0.92
"njc132"	0	0	0	0.17	0	0	0	0	0
"njc133"	0	0.05	0	1.28	0	0	0.02	0.02	0
"njc134"	0.07	2.25	0	0.02	0.05	0.02	0.02	0.08	0.08
"njc135"	0	0	0	0	0	0	0	0	0.02
"njc136"	0	0.15	0	0	0	0	0	0	0.07
"njc137"	0.02	0.35	0	0	0.02	0	0	0	0.07
"njc138"	0	0.18	0	0.82	0	0.02	0	0	0.07
"njc139"	0.03	0.05	0	0	0	0.02	0.02	0.05	0.02
"njc140"	2.93	14.53	0.62	0.25	1.97	0.67	1.33	7.28	5.23
"njc141"	0	0	0.02	0.02	0	0	0.02	0	0.02
"njc142"	0.02	0.35	0.02	0	0.02	0	0	0	0.08
"njc143"	0.02	0.32	0	11.18	0.02	0.02	0	0.2	0.02
"njc144"	0	0.03	0	0	0	0	0	0	0
"njc145"	0	1.77	0	0.75	0	0	0	0.02	0
"njc146"	0	0.15	0	0.08	0	0	0	0	0.07
"njc147"	3.55	24.05	1.53	10.6	4.25	5.23	6.13	9.92	5.68
"njc148"	0	0.05	0	0.58	0	0	0	0	0
"njc149"	0	0	0	0	0	0	0	0	0.02
"njc150"	0	0.15	0	0	0	0	0	0	0.07
"njc151"	0.08	0.02	0	0	0	0	0	0.02	0.02
"njc152"	1.95	13.73	1.17	10.47	3.07	4.8	5.4	5.53	1.12
"njc153"	3.23	23.12	1.58	28.55	3.35	4.93	5.65	11.8	7.52
"njc154"	3.47	22.68	1.38	0.77	4.22	5.2	6.02	9.58	5.53
"njc155"	0	0	0	0	0	0	0	0	0.02
"njc156"	0.02	0	0	0	0	0	0	0.02	0
"njc157"	0	0.03	0	10.43	0	0	0	0	0
"njc158"	0.02	0.03	0	10.43	0	0	0	0.02	0
"njc159"	0	0.03	0	10.43	0	0	0	0	0
"njc160"	0	0.03	0	10.43	0	0	0	0	0
"njc161"	0.02	0.28	0.02	11.13	0.02	0	0.02	0.2	0.03
"njc162"	0	0.03	0	0	0	0	0	0	0.02
"njc163"	0	0	0	0	0	0	0	0	0.02
"njc164"	3.18	19.18	1.3	2.07	4.25	5.2	6.03	6.53	5.98
"njc165"	0	0	0	0.58	0	0	0	0	0
"njc166"	0	0.15	0	0.98	0	0	0	0	0.08
"njc167"	0.02	0.35	0	0.58	0.02	0	0	0	0.07
"njc168"	0.02	0.32	0	10.5	0.02	0	0.02	0.22	0
"njc169"	1.07	9.7	0.93	0	2.32	4.57	4.85	4.57	0.52
"njc170"	0.03	0.05	0	0	0	0.02	0.02	0.05	0.02
"njc171"	0	0.15	0	0	0	0	0	0	0.07
"njc172"	0	0.15	0	0	0	0	0	0	0.07
"njc173"	0.33	1.65	0.13	10.38	0.07	0.05	0.1	0.62	0.13
