"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9"
"iris_14",0.283983160255327,0.311865496079858,0.29258942862421,0.302192687061049,0.358053609058282,0.285280367236293,0.302976478511321,0.343343915762943,0.36323414152135,0.307367896742596,0,0.22737713181917,0.419472571152387,0.30105720689733,0.548336477362238,0.280366115945366,0.23863869615543,0.41120756669952,0.357435121037715,0.643984035837973,0.386380686368273,0.301123654662242,0.374476396715268,0.463300005020783,0.335792599765301,0.33100778452091,0.418084108456374,0.395532898686635,0.527051717006256,0.230952496656927,0.329128006638976,0.28675458439176,0.189231825982209
"jarjarbinks_14",0.208681460999762,0.244065106007092,0.268826025263248,0.28526560801601,0.284864399376868,0.23329568897288,0.290021720592634,0.32291401941301,0.332176612470311,0.24085358526329,0.22737713181917,0,0.42678224667646,0.200943300694909,0.556170836754416,0.386801285608087,0.35469643819071,0.386271017237407,0.254187017982815,0.662390369732952,0.378133354613924,0.212730506086078,0.367968558043697,0.477230947323952,0.259508639530478,0.25341685120146,0.407644160046032,0.386917221110818,0.539140015408144,0.159602336733185,0.341971659978548,0.259241116877343,0.172404562729256
"kubo_14",0.419893715937247,0.394166963187671,0.276189209205082,0.390059351651282,0.344355766406721,0.30027254675853,0.288413204102946,0.330837498374141,0.412645059442037,0.368227877369677,0.419472571152387,0.42678224667646,0,0.435085562077788,0.159475649113433,0.479811257904568,0.471612989100326,0.307634047835592,0.422140562477333,0.258466721362381,0.110345057089839,0.30737440920517,0.143212489763916,0.0937501626763949,0.413161721895781,0.44143895700287,0.117679848494683,0.139740203079763,0.143056853119165,0.397959501896477,0.193534421404493,0.240331521409191,0.432277260715324
"wolverine_14",0.139868981757159,0.12045102741944,0.248236576035239,0.263126840719081,0.177735808543466,0.249782674064453,0.249926680817203,0.255790733878153,0.185970798882373,0.144321944231364,0.30105720689733,0.200943300694909,0.435085562077788,0,0.57245530473425,0.514084472091668,0.467864095929709,0.514437065723366,0.156407788925901,0.679385956328208,0.393144810776547,0.222395260870708,0.416669020280627,0.472132891277075,0.137346993344315,0.148750956390014,0.436018490189653,0.358407050394163,0.539325210770197,0.218627949193536,0.377097704109537,0.341565702270149,0.29200599716632
"ginger_2",0.539822826721163,0.535192213490585,0.390757098200864,0.525917999440006,0.489721056233327,0.452127998931589,0.369309432620429,0.469883097254627,0.536368988088155,0.507219055608874,0.548336477362238,0.556170836754416,0.159475649113433,0.57245530473425,0,0.508117869633387,0.50660938651193,0.262920741583675,0.544784446483683,0.191044795077043,0.216848222563243,0.416774557662514,0.233933286385505,0.137241962061035,0.534645816725485,0.568528749743237,0.183873561871644,0.246803155719511,0.105365573801867,0.522485831420745,0.306631772676681,0.326055900590723,0.544351764841174
"hera_2",0.437179785054117,0.499201865254657,0.388111208728335,0.46666988436939,0.522043810993948,0.445623866367094,0.402399938026038,0.503877392321051,0.531552607570222,0.472149443726413,0.280366115945366,0.386801285608087,0.479811257904568,0.514084472091668,0.508117869633387,0,0.238678021866279,0.335648230474507,0.516503989469114,0.591159761467477,0.409858031059697,0.43323165881628,0.381571272099135,0.486989274120305,0.493693275538637,0.516525766811217,0.416844300415695,0.514726897519939,0.525398540537932,0.370144817661651,0.393766074259959,0.361478732032587,0.288027541317164
"jarjarbinks_2",0.43460579701901,0.457529851427308,0.412088579926006,0.441637642834403,0.49861316964454,0.403998357074898,0.421856247396997,0.470326540300369,0.50979896174686,0.454362735175488,0.23863869615543,0.35469643819071,0.471612989100326,0.467864095929709,0.50660938651193,0.238678021866279,0,0.35963933252444,0.502143046292073,0.548044103362292,0.428168232338783,0.416481623327619,0.400503528953805,0.487824091071286,0.480378732515153,0.490729972552391,0.412184381593776,0.507293376418482,0.52303766445602,0.350548722341144,0.390383514731193,0.337716474381805,0.285321336525884
"lambchop_2",0.451453713861704,0.494403102535927,0.373374126344884,0.459974909990455,0.506011910400586,0.419203621106709,0.33570886906857,0.486559962942103,0.536091572738901,0.45901560220559,0.41120756669952,0.386271017237407,0.307634047835592,0.514437065723366,0.262920741583675,0.335648230474507,0.35963933252444,0,0.517285589914248,0.382148444622814,0.278932330952292,0.351973849127977,0.267857190828054,0.308639664998616,0.489351478067217,0.528820618805873,0.261207579473333,0.391436057219321,0.337129402956276,0.386071659394092,0.314627220615841,0.242206348205493,0.387882899626158
"jarjarbinks_3",0.147927753608302,0.14894629977106,0.231335421526508,0.321796629411494,0.210236474964329,0.28498777602357,0.248829140825278,0.280028422096753,0.178416445530359,0.171581003993736,0.357435121037715,0.254187017982815,0.422140562477333,0.156407788925901,0.544784446483683,0.516503989469114,0.502143046292073,0.517285589914248,0,0.664181437178116,0.391559501888947,0.237204198320042,0.424058672958913,0.432981910763225,0.101472250514942,0.0791896656175071,0.452064102377162,0.363798022699593,0.517061343229785,0.193947895006285,0.384485438387092,0.343884357431014,0.274859738699622
"goose_4",0.651720196178158,0.640564614579539,0.49614133964452,0.62665592504589,0.594691222843571,0.554998322710751,0.505530095194791,0.569685566079273,0.650393138788503,0.619242892946832,0.643984035837973,0.662390369732952,0.258466721362381,0.679385956328208,0.191044795077043,0.591159761467477,0.548044103362292,0.382148444622814,0.664181437178116,0,0.304309321827307,0.559890050480495,0.322098308933436,0.212809134126909,0.651605612031855,0.68127293925347,0.277074071556753,0.34235418247853,0.1623671892873,0.627535500627926,0.393255110104686,0.454880611098985,0.643881925137164
