Date	Cage	Leftover_Gel_Zupreem	Leftover_Apple	Leftover_Sweet_Potato	Leftover_Eggs	Diet_Notes
2023-05-16	F4	5	0	0	1	mealworms included in diet previous day
2023-05-16	F5	0	0	0	1	mealworms included in diet previous day
2023-05-16	F6	27	0	2	1	mealworms included in diet previous day
2023-05-17	B1	1	0	0	0	
2023-05-17	B2	4	0	0	0	
2023-05-17	B3	1	0	1	0	
2023-05-17	B4	2	0	3	0	
2023-05-17	F1	0	0	0	0	
2023-05-17	F2	4	0	2	0	
2023-05-17	F3	4	0	0	0	
2023-05-17	F4	6	0	0	1	
2023-05-17	F5	7	0	0	1	
2023-05-17	F6	5	0	0	0	
2023-05-18	B1	17	0	4	0	
2023-05-18	B2	8	0	0	0	
2023-05-18	B3	2	0	3	0	
2023-05-18	B4	19	0	0	0	
2023-05-18	F1	0	0	0	0	
2023-05-18	F2	5	0	3	0	
2023-05-18	F3	13	0	0	0	
2023-05-18	F4	16	0	0	0	
2023-05-18	F5	0	0	0	0	
2023-05-18	F6	8	0	0	0	
2023-05-19	B1	6	0	0	0	
2023-05-19	B2	2	0	0	0	
2023-05-19	B3	0	0	2	0	
2023-05-19	B4	3	0	3	0	
2023-05-19	F1	0	0	0	0	
2023-05-19	F2	5	0	1	0	
2023-05-19	F3	16	0	0	0	
2023-05-19	F4	5	0	0	0	
2023-05-19	F5	0	0	0	0	
2023-05-19	F6	6	0	0	0	
