Study_Date	Study_Day	Sample_Time	Subject	Bristol
2023-04-27	49	07:30:00	Ophelia	2
2023-04-28	50	07:30:00	Ophelia	1
2023-04-30	52	07:30:00	Ophelia	1
2023-05-01	53	07:30:00	Ophelia	1
2023-05-03	55	07:30:00	Ophelia	1
2023-05-04	56	07:30:00	Ophelia	2
2023-05-05	57	07:30:00	Ophelia	2
2023-05-06	58	07:30:00	Ophelia	2
2023-05-07	59	07:30:00	Ophelia	3
2023-05-08	60	07:30:00	Ophelia	2
2023-05-09	61	07:30:00	Ophelia	2
2023-05-10	62	07:30:00	Ophelia	2
2023-05-11	63	08:30:00	Ophelia	2
2023-05-12	64	08:00:00	Ophelia	2
2023-05-13	65	08:00:00	Ophelia	2
2023-05-14	66	07:30:00	Ophelia	2
2023-05-15	67	07:30:00	Ophelia	1
2023-05-16	68	07:30:00	Ophelia	2
2023-05-17	69	07:30:00	Ophelia	2
2023-05-18	70	08:00:00	Ophelia	1
2020-03-10	1	08:00:00	Wolverine	1
2020-03-11	2	08:00:00	Wolverine	1
2020-03-12	3	08:00:00	Wolverine	1
2023-03-13	4	08:00:00	Wolverine	1
2023-03-15	6	08:00:00	Wolverine	3
2023-03-18	9	07:30:00	Wolverine	1
2023-03-20	11	07:30:00	Wolverine	1
2023-03-23	14	07:30:00	Wolverine	2
2023-03-24	15	07:30:00	Wolverine	1
2023-03-25	16	07:30:00	Wolverine	1
2023-03-26	17	07:30:00	Wolverine	2
2023-03-27	18	08:00:00	Wolverine	2
2023-03-28	19	08:00:00	Wolverine	2
2023-03-29	20	07:30:00	Wolverine	2
2023-03-30	21	08:00:00	Wolverine	3
2023-03-31	22	08:00:00	Wolverine	2
2023-04-01	23	08:00:00	Wolverine	2
2023-04-02	24	08:00:00	Wolverine	2
2023-04-03	25	08:00:00	Wolverine	1
2023-04-05	27	08:00:00	Wolverine	1
2023-04-06	28	07:30:00	Wolverine	1
2023-04-07	29	08:00:00	Wolverine	1
2023-04-08	30	07:30:00	Wolverine	1
2023-04-09	31	07:00:00	Wolverine	2
2023-04-10	32	08:00:00	Wolverine	1
2023-04-11	33	08:00:00	Wolverine	1
2023-04-12	34	08:00:00	Wolverine	2
2023-04-13	35	07:30:00	Wolverine	1
2023-04-14	36	07:30:00	Wolverine	2
2023-04-15	37	07:30:00	Wolverine	1
2023-04-16	38	07:30:00	Wolverine	2
2023-04-17	39	08:00:00	Wolverine	2
2023-04-19	41	07:30:00	Wolverine	2
2023-04-21	43	07:00:00	Wolverine	2
2023-04-22	44	07:30:00	Wolverine	2
2023-04-23	45	07:30:00	Wolverine	2
2023-04-24	46	07:30:00	Wolverine	2
2023-04-26	48	07:30:00	Wolverine	2
2023-04-27	49	07:30:00	Wolverine	2
2023-04-28	50	07:30:00	Wolverine	2
2023-04-30	52	07:30:00	Wolverine	3
2023-05-01	53	07:30:00	Wolverine	2
2023-05-03	55	07:30:00	Wolverine	2
2023-05-04	56	07:30:00	Wolverine	2
2023-05-05	57	07:30:00	Wolverine	2
2023-05-06	58	07:30:00	Wolverine	2
2023-05-07	59	07:30:00	Wolverine	2
2023-05-08	60	07:30:00	Wolverine	2
2023-05-09	61	07:30:00	Wolverine	2
2023-05-10	62	07:30:00	Wolverine	2
2023-05-11	63	08:30:00	Wolverine	2
2023-05-12	64	08:00:00	Wolverine	2
2023-05-13	65	08:00:00	Wolverine	3
2023-05-14	66	07:30:00	Wolverine	2
2023-05-15	67	07:30:00	Wolverine	2
2023-05-16	68	07:30:00	Wolverine	2
2023-05-17	69	07:30:00	Wolverine	2
2023-05-18	70	08:00:00	Wolverine	2
2020-03-10	1	07:30:00	Goose	2
2020-03-11	2	07:30:00	Goose	1
2020-03-12	3	07:30:00	Goose	2
2023-03-13	4	07:30:00	Goose	2
2023-03-16	7	07:30:00	Goose	2
2023-03-18	9	08:00:00	Goose	3
2023-03-20	11	08:00:00	Goose	3
2023-03-26	17	08:00:00	Goose	1
2023-03-31	22	07:30:00	Goose	2
2023-04-02	24	07:30:00	Goose	2
2023-04-03	25	07:30:00	Goose	3
2023-04-05	27	07:30:00	Goose	3
2023-04-07	29	07:30:00	Goose	2
2023-04-08	30	08:00:00	Goose	2
2023-04-09	31	07:30:00	Goose	3
2023-04-10	32	07:30:00	Goose	2
2023-04-11	33	08:00:00	Goose	3
2023-04-12	34	07:30:00	Goose	3
2023-04-13	35	08:00:00	Goose	3
2023-04-14	36	08:00:00	Goose	3
2023-04-15	37	08:00:00	Goose	3
2023-04-16	38	08:00:00	Goose	2
2023-04-17	39	07:30:00	Goose	2
2023-04-19	41	08:00:00	Goose	3
2023-04-20	42	08:00:00	Goose	3
2023-04-21	43	07:30:00	Goose	2
2023-04-22	44	08:00:00	Goose	3
2023-04-23	45	08:00:00	Goose	3
2023-04-24	46	08:00:00	Goose	3
2023-04-26	48	08:00:00	Goose	3
2023-04-27	49	08:00:00	Goose	2
2023-04-28	50	08:00:00	Goose	2
2023-04-29	51	08:00:00	Goose	3
2023-04-30	52	08:00:00	Goose	3
2023-05-01	53	08:00:00	Goose	3
2023-05-03	55	08:00:00	Goose	2
2023-05-04	56	08:00:00	Goose	4
2023-05-05	57	08:00:00	Goose	3
2023-05-06	58	08:00:00	Goose	3
2023-05-07	59	08:00:00	Goose	2
2023-05-08	60	08:00:00	Goose	2
2023-05-09	61	08:00:00	Goose	2
2023-05-10	62	08:00:00	Goose	3
2023-05-12	64	07:30:00	Goose	3
2023-05-13	65	07:30:00	Goose	2
2023-05-14	66	08:00:00	Goose	3
2023-05-15	67	08:00:00	Goose	3
2023-05-16	68	08:00:00	Goose	3
2023-05-17	69	08:00:00	Goose	3
2023-05-18	70	07:30:00	Goose	3
2020-03-10	1	07:30:00	Lambchop	2
2020-03-11	2	07:30:00	Lambchop	2
2020-03-12	3	07:30:00	Lambchop	3
2023-03-13	4	07:30:00	Lambchop	2
2023-03-15	6	07:30:00	Lambchop	2
2023-03-16	7	07:30:00	Lambchop	3
2023-03-18	9	08:00:00	Lambchop	3
2023-03-20	11	08:00:00	Lambchop	3
2023-03-23	14	08:00:00	Lambchop	3
2023-03-24	15	08:00:00	Lambchop	3
2023-03-26	17	08:00:00	Lambchop	3
2023-03-27	18	07:30:00	Lambchop	3
2023-03-31	22	07:30:00	Lambchop	3
2023-04-02	24	07:30:00	Lambchop	3
2023-04-03	25	07:30:00	Lambchop	3
2023-04-05	27	07:30:00	Lambchop	2
2023-04-07	29	07:30:00	Lambchop	3
2023-04-08	30	08:00:00	Lambchop	3
2023-04-09	31	07:30:00	Lambchop	3
2023-04-10	32	07:30:00	Lambchop	3
2023-04-11	33	08:00:00	Lambchop	4
2023-04-12	34	07:30:00	Lambchop	3
2023-04-13	35	08:00:00	Lambchop	3
2023-04-14	36	08:00:00	Lambchop	3
2023-04-15	37	08:00:00	Lambchop	3
2023-04-16	38	08:00:00	Lambchop	3
2023-04-17	39	07:30:00	Lambchop	3
2023-04-19	41	08:00:00	Lambchop	3
2023-04-20	42	08:00:00	Lambchop	3
2023-04-21	43	07:30:00	Lambchop	3
2023-04-22	44	08:00:00	Lambchop	3
2023-04-23	45	08:00:00	Lambchop	3
2023-04-24	46	08:00:00	Lambchop	3
2023-04-26	48	08:00:00	Lambchop	3
2023-04-27	49	08:00:00	Lambchop	3
2023-04-28	50	08:00:00	Lambchop	3
2023-04-29	51	08:00:00	Lambchop	3
2023-04-30	52	08:00:00	Lambchop	3
2023-05-01	53	08:00:00	Lambchop	3
2023-05-03	55	08:00:00	Lambchop	3
2023-05-04	56	08:00:00	Lambchop	3
2023-05-05	57	08:00:00	Lambchop	3
2023-05-06	58	08:00:00	Lambchop	3
2023-05-07	59	08:00:00	Lambchop	3
2023-05-08	60	08:00:00	Lambchop	3
2023-05-09	61	08:00:00	Lambchop	3
2023-05-10	62	08:00:00	Lambchop	3
2023-05-12	64	07:30:00	Lambchop	3
2023-05-13	65	07:30:00	Lambchop	3
2023-05-14	66	08:00:00	Lambchop	3
2023-05-15	67	08:00:00	Lambchop	3
2023-05-16	68	08:00:00	Lambchop	3
2023-05-17	69	08:00:00	Lambchop	3
2023-05-18	70	07:30:00	Lambchop	3
2020-03-12	3	07:30:00	Buddy	3
2023-03-13	4	07:30:00	Buddy	2
2023-03-16	7	07:30:00	Buddy	5
2023-03-18	9	08:00:00	Buddy	3
2023-03-20	11	08:00:00	Buddy	3
2023-03-23	14	08:00:00	Buddy	3
2023-03-25	16	08:00:00	Buddy	4
2023-03-26	17	08:00:00	Buddy	2
2023-03-27	18	07:30:00	Buddy	2
2023-03-28	19	07:30:00	Buddy	3
2023-03-29	20	08:00:00	Buddy	2
2023-03-30	21	07:30:00	Buddy	3
2023-03-31	22	07:30:00	Buddy	1
2023-04-02	24	07:30:00	Buddy	3
2023-04-03	25	07:30:00	Buddy	3
2023-04-05	27	07:30:00	Buddy	2
2023-04-06	28	08:00:00	Buddy	3
2023-04-07	29	07:30:00	Buddy	2
2023-04-08	30	08:00:00	Buddy	3
2023-04-10	32	07:30:00	Buddy	3
2023-04-12	34	07:30:00	Buddy	3
2023-04-13	35	08:00:00	Buddy	2
2023-04-14	36	08:00:00	Buddy	3
2023-04-15	37	08:00:00	Buddy	3
2023-04-16	38	08:00:00	Buddy	3
2023-04-17	39	07:30:00	Buddy	3
2023-04-19	41	08:00:00	Buddy	3
2023-04-20	42	08:00:00	Buddy	3
2023-04-21	43	07:30:00	Buddy	3
2023-04-22	44	08:00:00	Buddy	3
2023-04-23	45	08:00:00	Buddy	3
2023-04-24	46	08:00:00	Buddy	3
2023-04-25	47	07:30:00	Buddy	3
2023-04-26	48	08:00:00	Buddy	3
2023-04-27	49	08:00:00	Buddy	3
2023-04-28	50	08:00:00	Buddy	2
2023-04-29	51	08:00:00	Buddy	3
2023-04-30	52	08:00:00	Buddy	4
2023-05-01	53	08:00:00	Buddy	3
2023-05-02	54	07:30:00	Buddy	2
2023-05-03	55	08:00:00	Buddy	3
2023-05-04	56	08:00:00	Buddy	3
2023-05-05	57	08:00:00	Buddy	3
2023-05-06	58	08:00:00	Buddy	3
2023-05-07	59	08:00:00	Buddy	2
2023-05-08	60	08:00:00	Buddy	2
2023-05-09	61	08:00:00	Buddy	3
2023-05-10	62	08:00:00	Buddy	2
2023-05-13	65	07:30:00	Buddy	3
2023-05-14	66	08:00:00	Buddy	4
2023-05-17	69	08:00:00	Buddy	2
2023-05-18	70	07:30:00	Buddy	2
2023-03-29	20	07:30:00	Goose	2
2020-03-10	1	07:30:00	Joans	1
2020-03-11	2	07:30:00	Joans	1
2020-03-12	3	07:30:00	Joans	2
2023-03-13	4	07:30:00	Joans	2
2023-03-15	6	07:30:00	Joans	1
2023-03-16	7	07:30:00	Joans	1
2023-03-18	9	08:00:00	Joans	2
2023-03-20	11	08:00:00	Joans	2
2023-03-23	14	08:00:00	Joans	4
2023-03-26	17	08:00:00	Joans	3
2023-03-30	21	07:30:00	Joans	3
2023-03-31	22	07:30:00	Joans	1
2023-04-02	24	07:30:00	Joans	3
