Date	Cage	Gel-Zupreem	Apple	Sweet_Potato	Eggs	Diet_Notes
4/13/23	F3	7	0	0	0	
4/13/23	F4	0	0	1	0	
4/13/23	F5	14	0	1	0	
4/13/23	F6	9	0	2	0	
4/14/23	B1	2	0	2	0	
4/14/23	B2	9	0	0	0	
4/14/23	B3	11	0	2	0	
4/14/23	B4	4	0	3	0	
4/14/23	F1	0	0	0	0	
4/14/23	F2	0	0	0	0	
4/14/23	F3	7	0	0	0	
4/14/23	F4	0	0	0	0	
4/14/23	F5	2	0	0	0	
4/14/23	F6	0	0	1	0	
4/15/23	B1	4	0	0	0	
4/15/23	B2	6	0	0	0	
4/15/23	B3	6	0	0	0	
4/15/23	B4	5	0	0	0	
4/15/23	F1	0	0	0	0	
4/15/23	F2	0	0	0	0	
4/15/23	F3	10	0	0	0	
4/15/23	F4	0	0	0	0	
4/15/23	F5	6	0	0	0	
4/15/23	F6	13	0	0	0	
4/16/23	B1	7	0	0	0	
4/16/23	B2	6	0	0	0	
4/16/23	B3	10	0	0	1	
4/16/23	B4	7	0	0	0	
4/16/23	F1	0	0	0	0	
4/16/23	F2	4	0	0	0	
4/16/23	F3	10	0	0	0	
4/16/23	F4	1	0	0	0	
4/16/23	F5	22	0	0	0	
4/16/23	F6	8	0	0	0	
4/17/23	B1	0	0	0	0	
4/17/23	B2	2	0	0	0	
4/17/23	B3	7	0	0	0	
4/17/23	B4	0	0	0	0	
4/17/23	F1	0	0	0	0	
4/17/23	F2	0	0	0	0	
4/17/23	F3	11	0	0	0	
4/17/23	F4	0	0	0	0	
4/17/23	F5	0	0	0	0	
4/17/23	F6	7	0	0	0	
4/18/23	B1	1	0	3	0	
4/18/23	B2	14	0	0	0	
4/18/23	B3	5	0	4	0	
4/18/23	B4	3	0	4	0	
4/18/23	F1	0	0	0	0	
4/18/23	F2	8	0	3	0	
4/18/23	F3	23	0	2	0	
4/18/23	F4	4	0	1	0	
4/18/23	F5	19	0	8	0	
4/18/23	F6	3	0	4	0	
4/19/23	B1	0	0	2	0	
4/19/23	B2	7	0	0	0	
4/19/23	B3	0	0	2	0	
4/19/23	B4	5	0	0	0	
4/19/23	F1	0	0	0	0	
4/19/23	F2	4	0	2	0	
4/19/23	F3	17	0	1	0	
4/19/23	F4	11	0	0	0	
4/19/23	F5	19	0	5	0	
4/19/23	F6	15	0	3	0	
4/20/23	B1	0	2	0	0	
4/20/23	B2	8	0	0	0	
4/20/23	B3	4	0	0	0	
4/20/23	B4	1	0	0	0	
4/20/23	F1	0	0	0	0	
4/20/23	F2	3	0	4	0	
4/20/23	F3	17	0	2	0	
4/20/23	F4	0	0	0	0	
4/20/23	F5	18	0	2	0	
4/20/23	F6	12	0	4	0	
4/21/23	B1	5	0	1	0	
4/21/23	B2	1	0	0	0	
4/21/23	B3	0	0	0	0	
4/21/23	B4	6	0	0	0	
4/21/23	F1	0	0	0	0	
4/21/23	F2	0	0	0	0	
4/21/23	F3	22	0	0	0	
4/21/23	F4	11	0	0	0	
4/21/23	F5	12	0	3	0	
4/21/23	F6	16	0	3	0	
4/22/23	B1	0	0	0	0	
4/22/23	B2	2	0	0	0	
4/22/23	B3	8	0	0	0	
4/22/23	B4	3	0	0	0	
4/22/23	F1	0	0	0	0	
4/22/23	F2	0	0	0	0	
4/22/23	F3	9	0	0	0	
4/22/23	F4	10	0	0	0	
4/22/23	F5	9	0	0	0	
4/22/23	F6	12	0	0	0	
4/23/23	B1	0	0	0	0	
4/23/23	B2	2	0	0	0	
4/23/23	B3	0	0	0	0	
4/23/23	B4	1	0	0	0	
4/23/23	F1	0	0	0	0	
4/23/23	F2	0	0	0	0	
4/23/23	F3	8	0	0	0	
4/23/23	F4	3	0	0	0	
4/23/23	F5	3	0	0	0	
4/23/23	F6	10	0	0	0	
4/24/23	B1	2	0	1	0	
4/24/23	B2	3	0	0	0	
4/24/23	B3	0	0	1	0	
4/24/23	B4	0	0	2	0	
4/24/23	F1	0	0	0	0	
4/24/23	F2	6	0	3	0	
4/24/23	F3	22	0	4	0	
4/24/23	F4	12	0	0	0	
4/24/23	F5	11	0	0	0	
4/24/23	F6	15	0	1	0	
4/25/23	B1	3	0	3	0	
4/25/23	B2	3	0	0	0	
4/25/23	B3	6	0	4	0	
4/25/23	B4	2	0	0	0	
4/25/23	F1	0	0	0	0	
4/25/23	F2	3	0	4	0	
4/25/23	F3	13	1	0	0	
4/25/23	F4	0	0	0	0	
4/25/23	F5	2	0	0	0	
4/25/23	F6	16	0	4	0	
4/26/23	B1	10	0	1	0	
4/26/23	B2	12	0	0	0	
4/26/23	B3	8	0	3	0	
4/26/23	B4	1	0	3	0	
4/26/23	F1	0	0	0	0	
4/26/23	F2	11	0	3	0	
4/26/23	F3	23	0	2	0	
4/26/23	F4	14	0	0	0	
4/26/23	F5	9	0	1	0	
4/26/23	F6	10	0	0	0	
4/27/23	B1	2	0	3	0	
4/27/23	B2	6	0	0	0	
4/27/23	B3	5	0	0	0	
4/27/23	B4	2	0	2	0	
4/27/23	F1	0	0	0	0	
4/27/23	F2	1	0	0	0	
4/27/23	F3	21	0	2	0	
4/27/23	F4	10	0	0	0	
4/27/23	F5	7	0	4	0	
4/27/23	F6	9	0	2	0	
4/28/23	B1	8	0	1	0	
4/28/23	B2	0	0	0	0	
4/28/23	B3	4	0	0	0	
4/28/23	B4	0	0	0	0	
4/28/23	F1	0	0	0	0	
4/28/23	F2	8	0	0	0	
4/28/23	F3	8	0	3	0	
4/28/23	F4	0	0	0	0	
4/28/23	F5	0	0	0	0	
4/28/23	F6	17	0	4	0	
4/29/23	B1	5	0	0	0	
4/29/23	B2	2	0	0	0	
4/29/23	B3	8	0	0	0	
4/29/23	B4	0	0	0	0	
4/29/23	F1	7	0	0	0	
4/29/23	F2	10	0	0	0	
4/29/23	F3	14	0	0	0	
4/29/23	F4	12	0	0	0	
4/29/23	F5	4	0	0	0	
4/29/23	F6	11	0	0	0	
4/30/23	B1	0	0	0	0	
4/30/23	B2	2	0	0	0	
4/30/23	B3	0	0	0	0	
4/30/23	B4	0	0	0	0	
4/30/23	F1	0	0	0	0	
4/30/23	F2	3	0	0	0	
4/30/23	F3	12	0	0	0	
4/30/23	F4	4	0	0	0	
4/30/23	F5	7	0	0	0	
4/30/23	F6	15	0	0	0	
5/1/23	B1	0	0	0	0	
5/1/23	B2	0	0	0	0	
5/1/23	B3	0	0	0	0	
5/1/23	B4	0	0	0	0	
5/1/23	F1	0	0	0	0	
5/1/23	F2	2	0	2	0	
5/1/23	F3	6	0	0	0	
5/1/23	F4	0	0	0	0	
5/1/23	F5	2	0	1	0	
5/1/23	F6	9	0	3	0	
5/2/23	B1	0	0	1	0	
5/2/23	B2	0	0	0	0	
5/2/23	B3	0	0	0	0	
5/2/23	B4	0	0	1	0	
5/2/23	F1	0	0	0	0	
5/2/23	F2	14	0	3	0	
5/2/23	F3	11	0	0	0	
5/2/23	F4	3	0	2	0	
5/2/23	F5	17	0	1	0	
5/2/23	F6	15	0	4	0	
5/3/23	B1	0	0	0	0	
5/3/23	B2	2	0	0	0	
5/3/23	B3	0	0	0	0	
5/3/23	B4	0	0	0	0	
5/3/23	F1	0	0	0	0	
5/3/23	F2	0	0	0	0	
5/3/23	F3	19	0	0	0	
5/3/23	F4	3	0	0	0	
5/3/23	F5	0	0	0	0	
5/3/23	F6	7	0	0	0	
5/4/23	B1	3	0	0	0	
5/4/23	B2	11	0	0	0	
5/4/23	B3	0	0	0	0	
5/4/23	B4	0	0	0	0	
5/4/23	F1	0	0	0	0	
5/4/23	F2	0	0	0	0	
5/4/23	F3	3	0	0	0	
5/4/23	F4	12	0	1	0	
5/4/23	F5	9	0	0	0	
5/4/23	F6	2	0	0	0	
5/5/23	B1	7	0	2	0	
5/5/23	B2	11	0	0	0	
5/5/23	B3	0	0	1	0	
5/5/23	B4	0	0	3	0	
5/5/23	F1	0	0	0	0	
5/5/23	F2	0	0	0	0	
5/5/23	F3	13	0	0	0	
5/5/23	F4	2	0	0	0	
5/5/23	F5	19	0	4	0	
5/5/23	F6	14	0	1	0	
5/6/23	B1	12	0	0	0	
5/6/23	B2	7	0	0	0	
5/6/23	B3	0	0	0	0	
5/6/23	B4	0	0	0	0	
5/6/23	F1	0	0	0	0	
5/6/23	F2	0	0	0	0	
5/6/23	F3	12	0	0	0	
5/6/23	F4	13	0	0	0	
5/6/23	F5	15	0	0	0	
5/6/23	F6	11	0	0	0	
5/7/23	B1	12	0	0	0	
5/7/23	B2	6	0	0	0	
5/7/23	B3	0	0	0	0	
5/7/23	B4	1	0	0	0	
5/7/23	F1	0	0	0	0	
5/7/23	F2	0	0	0	0	
5/7/23	F3	13	0	0	0	
5/7/23	F4	0	0	0	0	
5/7/23	F5	3	0	0	0	
5/7/23	F6	15	0	0	0	
5/8/23	B1	2	0	1	0	
5/8/23	B2	1	0	0	0	
5/8/23	B3	0	0	0	0	
5/8/23	B4	0	0	2	0	
5/8/23	F1	0	0	0	0	
5/8/23	F2	0	0	0	0	
5/8/23	F3	17	0	0	0	
5/8/23	F4	2	0	0	0	
5/8/23	F5	6	0	0	0	
5/8/23	F6	8	0	0	0	
5/9/23	B1	0	0	0	0	
5/9/23	B2	1	0	0	0	
5/9/23	B3	0	0	0	0	
5/9/23	B4	4	0	4	0	
5/9/23	F1	0	0	0	0	
5/9/23	F2	0	0	3	0	
5/9/23	F3	3	0	0	0	
5/9/23	F4	0	0	0	0	
5/9/23	F5	0	0	0	0	
5/9/23	F6	14	0	2	0	
5/10/23	B1	0	0	0	0	
5/10/23	B2	5	0	0	0	
5/10/23	B3	0	0	2	0	
5/10/23	B4	3	0	3	0	
5/10/23	F1	0	0	0	0	
5/10/23	F2	0	0	0	0	
5/10/23	F3	9	0	1	0	
5/10/23	F4	7	0	2	0	
5/10/23	F5	7	0	0	0	
5/10/23	F6	6	0	0	0	
5/11/23	B1	7	0	0	0	
5/11/23	B2	8	0	0	0	
5/11/23	B3	5	0	4	0	
5/11/23	B4	18	0	2	0	
5/11/23	F1	1	0	0	0	
5/11/23	F2	11	0	3	0	
5/11/23	F3	22	0	0	0	
5/11/23	F4	16	0	0	0	
5/11/23	F5	29	0	0	0	
5/11/23	F6	17	0	4	0	
5/12/23	B1	7	0	0	0	Given different diet previous day
5/12/23	B2	9	0	0	0	Given different diet previous day
5/12/23	B3	2	0	0	0	Given different diet previous day
5/12/23	B4	26	0	0	0	Given different diet previous day
5/12/23	F1	0	0	0	0	
5/12/23	F2	8	0	0	0	
5/12/23	F3	14	0	0	0	
5/12/23	F4	0	0	0	0	
5/12/23	F5	6	0	4	0	
5/12/23	F6	10	0	0	0	
5/13/23	B1	5	0	0	0	
5/13/23	B2	4	0	0	0	
5/13/23	B3	9	0	0	0	
5/13/23	B4	8	0	0	0	
5/13/23	F1	0	0	0	0	
5/13/23	F2	2	0	0	0	
5/13/23	F3	12	0	0	0	
5/13/23	F4	0	0	0	0	
5/13/23	F5	10	0	0	0	
5/13/23	F6	14	0	0	0	
5/14/23	B1	3	0	0	0	
5/14/23	B2	8	0	0	0	
5/14/23	B3	0	0	0	0	
5/14/23	B4	10	0	0	0	
5/14/23	F1	0	0	0	0	
5/14/23	F2	2	0	0	0	
5/14/23	F3	9	0	0	0	
5/14/23	F4	0	0	0	0	
5/14/23	F5	7	0	0	0	
5/14/23	F6	15	0	0	0	
5/15/23	B1	0	0	0	0	
5/15/23	B2	4	0	0	0	
5/15/23	B3	0	0	0	0	
5/15/23	B4	14	0	0	0	
5/15/23	F1	0	0	0	0	
5/15/23	F2	5	0	2	0	
5/15/23	F3	12	0	3	0	
5/15/23	F4	0	0	0	0	
5/15/23	F5	8	0	0	0	
5/15/23	F6	3	0	0	0	
5/16/23	B1	8	0	1	1	
5/16/23	B2	12	0	0	0	
5/16/23	B3	4	0	3	1	
5/16/23	B4	19	0	3	1	
5/16/23	F1	0	0	0	0	mealworms included in diet previous day
5/16/23	F2	15	0	4	1	mealworms included in diet previous day
5/16/23	F3	25	0	0	1	mealworms included in diet previous day
5/16/23	F4	5	0	0	1	mealworms included in diet previous day
5/16/23	F5	0	0	0	1	mealworms included in diet previous day
5/16/23	F6	27	0	2	1	mealworms included in diet previous day
5/17/23	B1	1	0	0	0	
5/17/23	B2	4	0	0	0	
5/17/23	B3	1	0	1	0	
5/17/23	B4	2	0	3	0	
5/17/23	F1	0	0	0	0	
5/17/23	F2	4	0	2	0	
5/17/23	F3	4	0	0	0	
5/17/23	F4	6	0	0	1	
5/17/23	F5	7	0	0	1	
5/17/23	F6	5	0	0	0	
5/18/23	B1	17	0	4	0	
5/18/23	B2	8	0	0	0	
5/18/23	B3	2	0	3	0	
5/18/23	B4	19	0	0	0	
5/18/23	F1	0	0	0	0	
5/18/23	F2	5	0	3	0	
5/18/23	F3	13	0	0	0	
5/18/23	F4	16	0	0	0	
5/18/23	F5	0	0	0	0	
5/18/23	F6	8	0	0	0	
5/19/23	B1	6	0	0	0	
5/19/23	B2	2	0	0	0	
5/19/23	B3	0	0	2	0	
5/19/23	B4	3	0	3	0	
5/19/23	F1	0	0	0	0	
5/19/23	F2	5	0	1	0	
5/19/23	F3	16	0	0	0	
5/19/23	F4	5	0	0	0	
5/19/23	F5	0	0	0	0	
5/19/23	F6	6	0	0	0	
