"","buddy_16","buddy_17","ivy_17","padme_17","buddy_18","ginger_18","ivy_18","franc_19","ivy_19","ginger_20","buddy_21","joans_21","franc_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","grogu_24","henry_24","ivy_24","marshmallow_24","henry_25","ophelia_43","goose_44","iris_44","jarjarbinks_44","lambchop_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","goose_46","hamlet_46","iris_46","lambchop_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","lambchop_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","lambchop_50","ophelia_50","wolverine_50","lambchop_51","goose_52","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","lambchop_55","ophelia_55"
"henry_22",6.17619533362125,4.24798971341117,2.42904211900471,12.8751315682439,5.50910336617594,5.0342843739614,5.42276159741811,2.69418055236742,4.06163818380261,3.28089134836907,5.31916878705208,7.12810657662773,3.36539598210301,8.40422511427984,0,4.07991233525008,4.83344255007681,2.71223012905892,4.09799523246684,2.24194743143048,2.01321653828243,3.89208646170524,6.82132274048171,2.712177699196,4.00661758161867,4.20910219887106,5.45657614840535,5.05666550235925,4.76260859150287,2.9399602123658,3.53701623267489,3.72728595244351,1.75211347828968,4.58590855189325,4.47125714402582,3.36069318210989,5.22182283372017,4.80834736332509,3.40828200786847,2.76460158420814,4.50192350129189,2.88553438833033,2.04389824279899,3.68317192535359,4.82272965645519,4.48326626085522,4.60564967577594,4.05747150057424,2.93821277963053,3.73984021926579,4.49286693953092,3.68353871054567,3.405317266703,2.91529599151029,2.84284727385273,5.50061964314964,5.73567873245079,6.07250630496373,6.00237198378265,4.7950071886572,4.02877885983327,2.25792194023948,4.14906212247381,2.82401714507598,4.29070446966527,3.8160864195284,3.03702180884373
"joans_22",9.0793105792366,4.6155286228893,4.06192327634246,14.7180513106781,4.43986508749559,4.04910611038486,6.8437759946509,3.34057246146608,5.03710599976647,4.49139935840293,4.82546006802216,5.43506563716462,3.71176626783188,11.0585710266019,4.07991233525008,0,4.50026915119187,4.06238424710344,4.44823711566486,3.07348685156456,2.89657330571852,4.71192207493317,9.33524222720348,3.06473173181008,3.20525043748729,3.5405461670131,5.99514718049862,8.49727574118181,4.41851302694459,5.03828822132453,5.41020070592109,5.47021381843634,4.16424804875606,3.43796935431885,7.17910344263234,4.09914632038998,6.09092965379727,3.79725909535716,4.99425611356231,4.57030410133277,5.109251882513,4.17611609749986,3.02647078228048,4.47033390069619,4.37063217132027,6.2611003106552,2.91205602107972,4.10431225182578,5.03735843575849,4.00874875471272,6.53062286358485,2.28739737619746,5.23541759781157,3.87154921232719,4.35703663823888,4.10270236038209,7.70405766336871,2.73614012238422,4.4263154195103,4.4385060802356,5.37210709087747,4.38152450794146,3.44843271756421,3.71928041985624,4.22453080378656,4.62719550973421,3.16418554148197
"marshmallow_22",7.03587901496184,5.09664079438048,4.7460660973287,14.2509849898296,4.48707048518629,1.20152361039633,7.13145031456806,4.09366287660495,4.64999941300211,2.26342158036278,3.50677386399482,3.76555287001986,2.12055007419207,9.24301482820535,4.83344255007681,4.50026915119187,0,4.07179634656892,1.49188608401244,4.05773336706818,4.40830455414134,4.2859833125469,7.51221861729251,5.70923588425069,3.05203885507842,2.42848717685515,6.15853468584955,7.1356046053525,1.88249298821497,4.1766613737311,5.33811420320219,3.69875296401273,5.06147657489935,2.82659938166595,5.22557179180046,2.01554579959053,6.88154800567776,2.23844712401922,3.7401915909857,4.10460905941877,4.81149927637821,5.50855385563396,4.67234440226222,3.34694612950267,1.06849220538125,6.14422942617742,5.41197489072891,2.25130406413928,4.07777210802699,2.10030155227837,6.8117855160139,3.96489008288278,3.3836178454725,2.31895669352126,3.38349056465848,2.2405324552423,9.30670792052857,5.37568150895915,1.93979873346686,0.694311033220313,2.86419997925799,6.45978809623172,2.59071312678522,3.24585084240682,2.85414471511242,3.19957533869996,4.83043900362885
"franc_24",6.95873075915485,3.98513161828843,3.05021529134966,13.6247252447755,5.21072711306396,4.17154258254066,5.00484590157178,1.75135724896681,3.48140326757547,3.16300773895841,4.77262853369339,6.19558077853264,2.72126423387147,9.03699442123038,2.71223012905892,4.06238424710344,4.07179634656892,0,3.43132122201213,3.0905697657788,2.77193714181065,3.40433542346876,7.33747951696567,3.6891717442358,3.25723394278601,3.73228089043151,3.87808103331515,6.10227499270093,4.0233728584759,3.04613382420759,3.62152355483857,3.84647172678616,3.14684540738871,3.65710308567209,5.07688510843041,2.90973881027055,4.33150345141006,3.87841698382657,3.09928926332219,2.75188304581579,2.9290438149588,4.19877619328512,3.13234087945329,2.33535600170268,4.07521496590217,4.52132023381427,4.67500169152786,3.1333605477066,3.781035912597,2.7269499333589,4.99396470978439,3.50316347774616,3.89973142668197,2.72537478166813,2.09477357938965,4.62828100082064,7.23151103228479,5.95862749855411,4.95530192593205,4.03462364633817,4.16512028121668,3.88370306358874,3.50373701299725,2.29345543725634,2.75510865009859,3.63168635961843,3.37201562458673
"ginger_24",6.69672901710394,4.73201171092557,4.30813737881164,13.9839080501916,4.54098607925602,1.96442100691156,6.44734078321731,3.625729142675,4.06523901519122,1.87947171829091,3.54808137476632,4.36893488053984,1.71871908100928,8.80663939129223,4.09799523246684,4.44823711566486,1.49188608401244,3.43132122201213,0,3.78993570051246,3.98078457346172,3.80762976410562,7.11333739594437,5.33386243021347,3.02850295391698,2.78009177338287,5.55760431840998,6.33924851281163,2.11500390057022,3.56079037527684,4.84997878563461,3.32323940713204,4.35479662821289,3.0592848824149,4.6151364553991,1.75726680261031,6.17446769418485,2.28603122466181,3.1785272026441,3.59366365775245,4.19000726895704,5.36513560202623,4.25699451951568,2.76087328381015,1.75446791697609,5.664937468453,5.10300030790822,1.48954287120407,3.93180631601217,1.56608088292867,6.28102542354855,3.72377982066989,3.37960679299543,1.58977866533824,2.71892476865744,3.0273161824951,8.7842284749087,5.59628573339684,2.8404677077549,1.42301330736262,3.03243606031322,5.84692366920937,2.71917179846506,2.69428084254631,2.36929741454357,2.72755605753266,4.60207388547007
"grogu_24",6.60913629794627,4.38868316097075,1.90882706180151,12.853569030986,4.40503654615441,4.21786144744375,6.47530535178087,2.44929950149434,4.6433692234232,3.2011330550722,4.91136667003935,6.20931920655183,2.58890112686053,8.5677656532886,2.24194743143048,3.07348685156456,4.05773336706818,3.0905697657788,3.78993570051246,0,2.428685237241,4.20724768082738,6.89962776085046,2.90800402214273,3.62934205019965,2.71709442317236,6.31695383059923,6.21469420531404,3.84346384944135,3.67771245923331,4.33883283017587,3.45674799536527,3.01943655312082,4.14828361729429,4.91188578322161,2.9892240001413,6.29596880647194,4.13610443857213,3.96594075891627,3.26229642162603,5.1824744551137,2.19368975956824,2.17744177672031,3.98636775878281,3.77616401709809,5.49940505780862,4.54233038782976,4.07370714520014,2.9811755963535,3.7183294562491,5.55068918829857,3.54974576531999,3.28058724536218,2.76653589636278,3.34486207527384,4.23277106031026,5.97073236719093,4.94665907931554,4.8697081713796,3.91842533396942,4.05177123211166,3.01142472334685,3.38063050963805,2.90065179242014,4.29786963209263,3.38141159156085,2.7029660052543
"henry_24",7.73231165979542,4.45433004488002,2.92703886220649,13.9790412633732,5.07271257428266,4.25530342279563,5.8459194716229,2.29821425477717,4.29022702572668,3.54539621959238,5.13737057734264,6.29533923994132,3.26744002253347,10.0571595344399,2.01321653828243,2.89657330571852,4.40830455414134,2.77193714181065,3.98078457346172,2.428685237241,0,4.09940279266526,8.36915782186975,1.63776801502473,3.20690449576234,3.80796235500358,5.03634933948018,6.78178686880518,4.56028332482695,3.68427754958758,4.08408939271842,4.71390578830454,2.01594338903731,3.52903490737001,5.93794805979953,3.38420786550437,5.13841947869617,4.0415508201559,3.84215758621248,3.36657566285831,4.15972181571118,3.22720957464443,1.22637648702147,3.71944718485135,4.46457973004489,4.96395107561414,3.71454796069802,3.52351451647946,3.70876198315861,3.35584860025221,5.21840809464437,2.69727841356485,4.01474680257951,2.81944081541172,3.11943367297875,4.69541175458588,6.91978228363386,4.97885920031585,5.14277062258426,4.44893209253647,4.23791203452084,3.00781406918087,3.48323997789993,3.02913358686589,3.81418194406351,3.94780968727151,2.57770938277442
"ivy_24",6.71457361726169,2.74452512741778,4.38790442373369,13.6126404247724,5.75587538910358,4.36470432730413,3.96529672597707,3.95074787589557,1.71016070236246,3.04732232430141,3.14395100637148,6.01125289659929,3.24233489999035,8.61777512168885,3.89208646170524,4.71192207493317,4.2859833125469,3.40433542346876,3.80762976410562,4.20724768082738,4.09940279266526,0,6.78383416045745,5.1781575233651,3.2523700598731,3.91703914922346,5.00581229295677,6.34557647395414,3.57801018560543,2.44028940366421,2.78760919292214,3.4618896019969,4.72964696353652,3.52715389693172,4.68253229904554,3.04721035299886,5.47561976029715,3.85255881032467,2.60082212881894,2.62543132621751,3.7614641012924,5.32002192631347,4.77417828546274,2.19874985716345,4.20018070348673,3.63475736621293,5.61676539899555,3.69291652346649,3.78034214098197,3.09919642361571,4.48641507270609,4.14980036588883,4.04247104025054,3.7769546534993,2.78314549021443,4.62927355137523,7.86495452324823,6.55081526466485,5.0735428635634,4.17356500351438,4.31923045078026,5.43735109913813,3.51227881363962,2.34909010412513,3.33988341213601,4.03094804357521,3.76587626208544
"marshmallow_24",2.62592346305225,7.25153965574496,6.64573273868616,10.5313907386747,8.51929712812054,8.29032621958049,8.35002583114539,7.69284230598757,7.11711024804114,6.08002374976969,7.48181612806299,9.90389720930759,6.72570590809087,1.98485175711498,6.82132274048171,9.33524222720348,7.51221861729251,7.33747951696567,7.11333739594437,6.89962776085046,8.36915782186975,6.78383416045745,0,9.14820656444323,8.25212751623761,7.05689701417941,10.082931154237,4.69254799655669,6.95560506212537,5.80100914698515,6.57633535329455,4.25923455678233,8.06071381234023,8.91831944700796,3.1136940472306,6.37516418873845,9.97039336080433,8.46505994111116,6.42554504947071,6.20213709521477,8.88341645077976,7.4365974556177,8.42796401130981,7.17947204092223,7.25157314342867,7.44049428400332,10.0408783000823,8.10817460329061,5.82196391720707,7.54760393351064,7.46050016430765,9.00755984284843,5.77891001763829,7.13139617439026,6.80206128437901,8.34494867230721,7.71963604513581,10.6469463234129,8.88476010969555,7.26361254688677,6.64938006432589,7.98985426035873,7.62385557244367,6.51775428097173,8.07875140128343,6.37173195650519,8.01274267652811
"henry_25",8.61846034737101,5.19198445428946,3.21650588913819,14.0910716160911,5.48817330596303,5.49591481467462,6.45535309162052,2.9453661280816,5.25277800589894,4.9311282891115,6.28273496435771,7.17829357040377,4.48844371361235,10.747886085726,2.712177699196,3.06473173181008,5.70923588425069,3.6891717442358,5.33386243021347,2.90800402214273,1.63776801502473,5.1781575233651,9.14820656444323,0,4.19794273673419,4.76945707601566,5.81726864793078,7.57942203596242,5.78247527285741,4.78137622431106,4.89374576850336,5.71521948676368,2.68131933444772,4.64024392538075,6.98584126513415,4.66600758071744,5.67049691177862,5.25170961709053,5.02701822245382,4.34363799574747,5.18871282465764,3.11252945202186,1.68666421940184,4.93028527435656,5.70211771151675,5.71780698050351,3.91534571522602,4.92275519582698,4.7547641122402,4.6877279636348,5.72101773911669,3.46123557955361,5.21891387494968,4.17510109684742,4.3903664218239,5.72423153317394,6.27633136716406,5.06349533505242,6.23927028322501,5.71997202733309,5.58805305185943,2.39966586861603,4.52831290667458,4.15409465324174,5.048854537774,4.97920629092324,2.83929155929038
