"Taxa"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"Maltose -- Consumption"	0.0404090145414518	0.0369202834590069	0.0369151093000381	0.0464712038170241	0.0488155585884188	0.0467069010758331	0.0474473418055494	0.0424679812970116	0.0482904850251789	0.0444091697737089	0.0457497792912095	0.0470161965528192	0.038162294778941	0.0471762467238718	0.049416627426359	0.0422819799328014	0.050001503352476	0.041430547498996	0.0480625627936025	0.05028129395218	0.0489890674784133	0.0327107734515142	0.0405413453235268	0.0438202247191011	0.0434346118640565	0.0449293433083957	0.0477112957341428	0.0493477601375265	0.0308014002772361	0.0460568923429482	0.0471380471380471	0.0494964428775415	0.0416993070201868	0.0357841766843724
"Trehalose -- Consumption"	0.0404090145414518	0.0365420018661892	0.0355701868839954	0.0462228844073148	0.0485474751413531	0.0448701128312779	0.0466778066048107	0.0433828013823948	0.0474158494566658	0.0422311639410831	0.0455133055870854	0.0448364465744724	0.0405484884639298	0.0460632606900513	0.049390467221263	0.0421087877703241	0.050001503352476	0.0433715586096114	0.047329405056073	0.05028129395218	0.0495694505312282	0.0390418908937427	0.0405115683530358	0.0424157303370786	0.0410133758525999	0.0445552784704904	0.0473118709058955	0.0493477601375265	0.036816013908794	0.0456085288696259	0.0459355459355459	0.049357443420903	0.0415587024204078	0.0356676917342279
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.05857134580847	0.0491513882934456	0.0329405624585985	0.0437751645116089	0.0483281341392084	0.0419837313041197	0.0467657534848951	0.0440536694450092	0.0453485290219984	0.0434309129166821	0.0498486568293606	0.0418483124981956	0.0517232687492648	0.0390263167342836	0.0449432323549417	0.0344883326213211	0.0467542620042695	0.0357190665298291	0.0472207890949575	0.0484150167694472	0.0505643929074822	0.0495234075480989	0.0376678676711431	0.0280898876404494	0.0432574482534621	0.0408146300914381	0.0440765297970922	0.0451295089782298	0.044122829687757	0.0445623474318737	0.0411255411255411	0.0452000960359882	0.0469820226975997	0.0398844469294567
"D-Fructose (Fructose) -- Consumption"	0.0398296738311801	0.034221874763574	0.034004456310095	0.044254066230334	0.0484743614739715	0.0467069010758331	0.048590651246647	0.0427525919902419	0.0484230055658627	0.0488020967920558	0.0443151721528566	0.0449952363079943	0.035843317817473	0.0441963163752558	0.0471406895830063	0.0412312808137722	0.0480020445593674	0.0348266476283968	0.0486056425991799	0.0492534891269069	0.0480888815189454	0.0298969434771904	0.0444570169430962	0.0393258426966292	0.0463282841704314	0.0464671654197839	0.0471920434574213	0.0488277017754215	0.0277236097079623	0.0475016190903203	0.0464165464165464	0.048156993568116	0.0426835392186402	0.0355279097940546
"Indole -- Production"	0.0397427727246394	0.0350793130406274	0.0363329787020495	0.045513400379574	0.0467927471241957	0.0472316977171346	0.0474473418055494	0.0429355560073186	0.0476013782136231	0.0409944996123888	0.0440786984487325	0.0463810376187314	0.0372380648305298	0.046853121746311	0.0483048187097787	0.0422588876444711	0.0492047265401846	0.0403373343447414	0.047329405056073	0.0490641566590934	0.0478756795811766	0.0317611058351799	0.0402435756186166	0.0424157303370786	0.0431983937165973	0.0421654197838736	0.04701230228471	0.0488854860378776	0.0303315085872706	0.0438898022218901	0.044973544973545	0.0474746325991635	0.0399517927086472	0.0338505265119746
"Propanoate (Propionate) -- Production"	0.037251607670471	0.0290772451012534	0.0325390930806753	0.0403164298763724	0.0460372392279197	0.0425085279454212	0.047359394925465	0.0393575930067087	0.045056983832494	0.0450736461294252	0.0426283263967713	0.0416317810433929	0.0318607269488649	0.0398161777905432	0.0448778318422016	0.0356775854703322	0.0471601671727953	0.0280219535049752	0.0457001656393407	0.0483338742832414	0.0473782083930496	0.0262741373852485	0.0415984277759581	0.0280898876404494	0.0427850119585437	0.043142144638404	0.0442962134526282	0.0452017393062999	0.0227192632098301	0.0421710755741543	0.0411255411255411	0.0444671898100762	0.0396504971376921	0.0340136054421769
"Succinate -- Production"	0.0539366201262963	0.0403500365672206	0.0332416644920409	0.0381347664910694	0.0321212712029635	0.0372605615324062	0.0426102634009059	0.0399878023988616	0.0413464086933475	0.0358817232086825	0.0337369151217051	0.0394087247740855	0.048429649296745	0.0351847197788389	0.0353162768796107	0.03773279913173	0.0380648846928651	0.03933336308063	0.0393732859043636	0.0374066861408634	0.0315894204460658	0.0472371706939608	0.0425661793169163	0.0367977528089888	0.0429917028375705	0.0344139650872818	0.0396429142035469	0.0362162864943733	0.0465662664755774	0.0342001693817566	0.0401635401635402	0.0293288853507209	0.0383047102540926	0.0259761438822104
"Nitrate (NO3-) -- Consumption"	0.0369909043508487	0.0290772451012534	0.0300299094686553	0.0401213217687437	0.0455498147787093	0.0396221464182629	0.0448529088430588	0.0372840008131734	0.0434667373442884	0.0389456975155967	0.0423918526926472	0.0385714698155152	0.0317094893209431	0.0378415251498941	0.0442630670224455	0.0318211733191701	0.0465888932319072	0.0276426754718665	0.0438265403100986	0.0479822568430163	0.0467978253402348	0.0258168900144209	0.0355983682220171	0.025	0.0349898130923908	0.0391105569409809	0.0427983703467007	0.0448839258627913	0.0215680285694148	0.0398047127982863	0.038961038961039	0.0440754640686405	0.036476850456965	0.0338039325319169
"D-Mannitol (Mannitol) -- Consumption"	0.0330513875210011	0.0217638009734446	0.030250717626513	0.0358112063002182	0.0315851043088321	0.034374180005248	0.0390923881975287	0.0336247204716406	0.0402332361516035	0.033002325667245	0.0280300163955102	0.0371279267834974	0.0328689778016771	0.0337486087674577	0.036192643750327	0.0349848168204228	0.0387413933070748	0.0344696800678238	0.0374181986042849	0.0381369685167154	0.0296232247977543	0.0308114382188456	0.0394247089301135	0.0342696629213483	0.031357959075206	0.0329800498753117	0.0388440645470522	0.0363463010848995	0.0299790898197965	0.0326558063069795	0.0401635401635402	0.0307062436028659	0.0313347393793311	0.0217826856770105
"Glycerol -- Consumption"	0.0330513875210011	0.0217638009734446	0.030250717626513	0.0357402578974441	0.0315851043088321	0.034374180005248	0.0390923881975287	0.0336247204716406	0.04018022793533	0.0329100372845066	0.0279196620002522	0.0370413142015764	0.0329025861634375	0.0336768032168887	0.036192643750327	0.0349501783879273	0.0386962927327941	0.0344696800678238	0.0373638906237272	0.0381369685167154	0.0295876911414595	0.0306707467201294	0.0392162701366763	0.0342696629213483	0.031357959075206	0.0329800498753117	0.0388041220642275	0.0363463010848995	0.0299086060663017	0.0325810790614258	0.0401635401635402	0.0306809709743862	0.0313347393793311	0.0217360916969528
