"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"njc68"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc69"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.03	0	0
"njc70"	0.05	1.4	0.4	0.55	0.22	1.08	0.13	1.35	0.12	0.4	0.05	0.4	0.3	0.63	0.07	1	11.26	4.47	0.75	0.68	0.82	0.13	3.22	1.23	2.48	8.53	3	5.93	1.45	0.85
"njc71"	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.18	0.03	0	0	0	0.03	0	0.13	0	0	0
"njc72"	0	0	0	0.03	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0
"njc73"	0.98	2.55	0.23	4.3	0.35	1.6	0.15	1.12	0.28	0.65	0.15	0	1.93	2.45	0.4	4.2	7.81	4.88	0.75	0.25	0.92	0.53	2.08	3.65	3.29	14.28	1	6.43	0.15	0.48
"njc74"	0	0	0	0.05	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0.03	0	0	0
"njc75"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc76"	0	0.03	0.03	0	0	0	0.03	0.25	0	0.03	0	0.09	0	0.03	0	0	4.08	0.05	0.07	0.03	0	0.03	0.03	0.17	0.03	1.53	0.4	0	0	0.13
"njc77"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc78"	34.36	29.53	24.74	26.55	1.25	20.07	21.78	22.1	0.62	14.81	1.48	11.12	5.16	14.14	4.05	31.88	17.61	25.12	26.2	17.16	46.48	15.36	23.12	15.5	10.73	23.01	39.1	9.36	42.61	18.95
"njc79"	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc80"	0	0.03	0	0.05	0	0.18	0.05	0.07	0.05	0	0	0.21	0	0.03	0	0.05	0	0.05	0.03	0.05	0	0.05	0	0.05	0.15	0.18	0.13	0.05	0.05	0.15
"njc81"	0	0	0.03	0	0	0	0	0.28	0	0	0	0	0	0	0	0	4.1	0	0.07	0	0	0	0.05	0.1	0.03	1.18	0.03	0.05	0	0
"njc82"	0	0.03	0	0.05	0	0.18	0.05	0.07	0.05	0	0	0.21	0	0.03	0	0.05	0	0.05	0.03	0.05	0	0.05	0	0.05	0.15	0.18	0.13	0.05	0.05	0.15
"njc83"	0	0.03	0.05	0	0	0.05	0.03	0.3	0	0	0	0	0.03	0.05	0	0.08	4.2	0.07	0.15	0	0.05	0.03	0.07	0.4	0.08	2.4	0.08	0.05	0	0.13
"njc84"	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0.03	0	0	0
"njc85"	0	0	0	0	0	0.03	0	0	0	0.03	0	0.1	0	0.03	0	0	0.03	0	0	0.03	0	0.03	0	0	0.05	0	0.35	0	0	0
"njc86"	0	0	0	0	0	0	0	0	0	0.03	0	0.1	0	0	0	0	0.03	0	0	0.03	0	0.03	0	0	0	0	0.35	0	0	0
"njc87"	0.98	2.43	0.13	4.25	0.17	1.35	0.13	1.12	0.22	0.68	0.12	0.09	1.9	2.3	0.4	4.03	7.08	3.25	0.58	0.25	0.7	0.5	1.02	3.2	2.71	10.48	1.2	3.6	0.08	0.35
"njc88"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc89"	0	0.03	0	0.03	0	0	0	0	0	0.1	0	0.09	0	0.05	0	0	0	0	0	0.48	0	0.03	0	0	0	0	0.35	0	0	0.03
"njc90"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc91"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc92"	0.15	0.03	0.03	0.17	0	0.1	0.18	0.17	0.03	0.2	0	0.76	0	0.08	0.1	0.25	0.03	0.07	0	0.1	0.05	0.15	0.03	0.22	0.03	0.25	0.15	0.03	0.2	0.2
"njc93"	32.06	31.08	24.59	24.02	0.95	19.11	22.41	21.77	0.42	21.99	1.3	15.51	0.8	21.67	3.7	27.18	15.14	18.82	26	20.46	46.08	15.48	23.75	10.8	10.28	9.83	41.25	5.36	45.01	18.23
"njc94"	0	0	0	0	0	0	0	0.25	0	0.03	0	0.09	0	0	0	0	4	0	0.07	0.03	0	0	0	0.07	0.03	1.08	0.38	0	0	0
"njc95"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc96"	0.98	2.43	0.13	4.25	0.17	1.35	0.13	1.12	0.22	0.65	0.12	0	1.9	2.3	0.4	4.03	7.08	3.25	0.58	0.23	0.7	0.5	1.02	3.2	2.71	10.48	0.85	3.6	0.08	0.35
"njc97"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc98"	0	0	0	0	0	0	0	0.25	0	0.03	0	0.09	0	0	0	0	4	0	0.07	0.03	0	0	0	0.07	0.03	1.08	0.38	0	0	0
"njc99"	2.83	4.13	1.05	6.15	0.48	3.48	1.28	2.17	0.45	1.53	0.22	0.48	4.73	4.25	0.8	7.26	8.98	10.3	1.25	1.08	1.43	1.35	3.33	5.6	6.22	19.15	2.9	8.06	2.1	3.25
