"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","henry_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"korra_45",13.7169949521388,12.304919830302,17.3465922668122,14.4489377431894,15.7003405648957,19.6145454756592,17.9489821684721,16.5357764486253,16.1320525964801,21.6510258361251,11.0241290140372,18.7100139996163,11.4960606311441,15.9912551726498,15.1054976918759,21.546858642554,15.0439707700564,0,14.810573029188,15.6532462019092,13.863821041085,11.8702825792419,23.5387504975281,17.0103504975368,13.2930627893184,16.4831566277124,19.2314165998153,17.0080055782752,16.8248746657159,10.3390463660479,18.5491494169014,18.0670048618705,15.8427072611771,18.8479430818498,15.852585198178
"hamlet_46",17.7756813856952,16.5625903090973,15.1411508755599,16.5773962244449,18.1440663163607,19.012652542237,12.550239739029,18.3330550170661,9.63555642407857,17.6665008714699,15.9863682452911,14.0588083882771,16.1339751314746,15.7166462792388,16.4957399299962,19.8514508146509,16.4298322300426,14.810573029188,0,17.0407981672452,18.7395253314219,18.4258199847891,21.8748707181471,16.7794172417893,15.4948791790945,10.059391838323,17.134057043912,15.2396769910269,18.2597284938936,16.7786823949457,17.1017228412863,17.3553910240339,16.598766718207,16.9103622335892,19.1006278854053
"joans_46",14.2249760657003,16.909550823878,20.2854681255039,16.0591554072445,13.9084625309055,14.956955998431,18.3387216695346,15.9227831513884,16.6164973925068,20.6674810133316,16.4177102089328,19.8365924999246,18.5902565079392,13.0567223908589,15.1297011619846,18.1702290616917,14.1290192515396,15.6532462019092,17.0407981672452,0,17.3517771330933,14.6259524563746,22.3839865810806,12.4995071346983,15.7180198772187,18.7689997024639,17.8043359621386,16.1251179027648,10.7569212888547,17.7361637233849,18.5880203224431,13.3883927816742,15.2572522784343,22.9084547921229,13.8950331464503
"ginger_47",13.8896304914552,14.3452983584902,19.1439800739187,16.6176840374541,14.434483993043,18.9793343896194,19.4179375795213,15.8170020794846,18.2081544885683,19.3693423028791,12.4687602752578,21.3336097955613,13.5966490820087,18.9451592701064,10.7451996814461,20.3524196621842,10.5398231089576,13.863821041085,18.7395253314219,17.3517771330933,0,13.8065354648433,24.4434174969864,18.296862237415,13.9487618109579,19.4162582949621,18.3518456043311,17.4482102733757,15.5891423488223,14.3971876385522,18.9976285133894,18.4947984959755,12.7329043519222,20.4887039785937,16.2808588147999
"marshmallow_47",14.169239883501,13.769476936226,18.1030588233772,13.5643929433122,16.1068926164412,15.3938830194763,18.1666860938637,17.0197127744668,18.3724382122692,21.3259288004545,13.6470566574078,20.9453270464925,14.0556311897667,13.982177735766,17.0464309600603,22.6563274979248,16.4345207494468,11.8702825792419,18.4258199847891,14.6259524563746,13.8065354648433,0,22.8729674830479,13.2588376878987,16.1887908213616,17.6052959439866,19.8922171335351,18.0942325590627,16.939328434558,12.0617189919953,19.3509211082878,14.3466829552932,17.475009223312,19.7475178363008,12.563882419747
"charles_48",23.1988958457981,23.6541046079231,22.1097662560463,21.7955691173752,23.6662819527334,21.6309934583172,19.8521417297805,22.0054062464458,19.4959849146294,20.0421536028153,23.4869101820895,21.1212628686696,22.9997971052844,19.8782309997024,23.3852751666089,22.0181634308865,22.1781138169227,23.5387504975281,21.8748707181471,22.3839865810806,24.4434174969864,22.8729674830479,0,20.7852220494269,22.4267008038401,20.2252240096074,20.0518076293792,19.8720612917619,24.4479789602337,21.7500707448639,21.1399283392758,20.3303088695062,23.4664432010978,23.374064400416,23.7330726008293
"grogu_48",16.6318908743724,18.5830725572649,18.3198727442856,15.8556597910189,17.2536968729456,7.75448628070781,16.4651579840357,18.0150140926491,15.9190708490412,19.7666501852395,18.0978536347803,18.3361717406617,18.9922544115922,11.0588143329474,16.5437619995979,20.3530136845973,15.5714347232908,17.0103504975368,16.7794172417893,12.4995071346983,18.296862237415,13.2588376878987,20.7852220494269,0,17.3143231757241,17.0871004275427,18.1372819745822,16.869653278143,15.2928184995735,18.1655149365845,19.1157683630437,4.76599081842253,17.2081870348779,21.0610110320063,15.0019913926034
"henry_48",16.0939878542766,16.0790082565393,19.0563502930574,15.5275975682263,16.1988058808281,18.7872587435092,18.1680481767027,17.247689235868,13.7981421759316,17.6847013486462,14.157216239396,17.708533194624,14.0188531716954,16.746061306128,10.7078285430213,19.4640932655252,11.8471646938565,13.2930627893184,15.4948791790945,15.7180198772187,13.9487618109579,16.1887908213616,22.4267008038401,17.3143231757241,0,17.4279851306006,17.6521419883351,15.0476485870656,16.138061676894,15.9783040907989,16.2906191471766,17.7430413876191,11.9673369103285,20.3826184004001,17.8335268020891
"hera_48",17.3688001852633,16.5482603158415,13.2720615422817,14.8638236642158,17.4474700146328,18.704022340305,10.774592385384,16.6147484051015,10.4817413341038,16.2785126706816,15.8493299506069,13.157162145864,17.4379258345743,15.5762273944312,18.6657600675019,19.6886508247708,17.8227986096609,16.4831566277124,10.059391838323,18.7689997024639,19.4162582949621,17.6052959439866,20.2252240096074,17.0871004275427,17.4279851306006,0,15.8933772797074,14.4918302154018,19.2896750523208,15.5211790543918,15.9701656393729,17.4321727526848,18.120239981209,16.0119134763922,19.4761690580518
"kubo_48",16.8689438037901,18.125731441207,19.3351609912829,16.9372513300581,15.0454028177001,18.2154712391914,16.337052706474,14.4559699058397,15.9299110383472,12.6230892989496,17.5842106001659,17.6712575651055,19.5643728853394,15.9455631322514,15.5504931091988,17.2858204933382,14.5752737501674,19.2314165998153,17.134057043912,17.8043359621386,18.3518456043311,19.8922171335351,20.0518076293792,18.1372819745822,17.6521419883351,15.8933772797074,0,8.36408819970148,17.2481071774979,17.9898464282145,10.6028966396819,18.3187718447875,14.5280633024192,20.1472180588284,20.9375666161505
"kubo_49",15.0485619446081,17.3972562806986,17.7100209279997,14.661297388724,14.105225612863,17.6434993345545,15.275811208367,13.2747964299309,13.7842417936809,13.5949893910514,16.400309844778,15.8114475600746,18.1391689368615,14.5766406546756,13.798045478793,16.9259217848582,12.7819064426111,17.0080055782752,15.2396769910269,16.1251179027648,17.4482102733757,18.0942325590627,19.8720612917619,16.869653278143,15.0476485870656,14.4918302154018,8.36408819970148,0,15.3375660848225,16.4346154112904,8.32313048237484,17.3250882027438,13.3932345029976,19.5327677034325,19.9190761840863
"franc_50",11.9665519729519,17.4237185781339,20.3044319649129,17.1404535121558,11.6178747941584,16.2986916780971,19.2275405213085,13.5949309816772,17.1929838560253,19.8590321808016,16.5487754499649,19.424193801746,19.513901490748,16.6125702984493,13.2176993155534,15.4953947895326,12.5386370851777,16.8248746657159,18.2597284938936,10.7569212888547,15.5891423488223,16.939328434558,24.4479789602337,15.2928184995735,16.138061676894,19.2896750523208,17.2481071774979,15.3375660848225,0,18.2675597708328,17.5152207297886,15.6068594911918,13.5568537355091,23.2033468967946,16.4103811120535
"kubo_52",13.7502833001127,11.9391518152913,14.4429887056761,13.6168768823402,15.8936217611005,19.9290497536763,17.3846567739384,15.5274430157341,17.0518814877442,21.3335096041313,11.5698021531138,18.1103330795217,12.2545375455044,16.102001477779,17.7136529150655,21.4974938566942,16.7267390433857,10.3390463660479,16.7786823949457,17.7361637233849,14.3971876385522,12.0617189919953,21.7500707448639,18.1655149365845,15.9783040907989,15.5211790543918,17.9898464282145,16.4346154112904,18.2675597708328,0,17.1902008851925,18.7219235164811,17.7041672794048,17.2509512937001,15.6340680594914
"kubo_53",16.5912344785366,18.329494591503,18.2562136614675,16.2057745939232,15.5282115554438,19.4541515954163,17.1531909851689,15.3591201816055,15.4755905916858,14.061083780638,17.3846213733539,17.1022177053954,19.3192001815314,17.0643037632722,15.8717643591656,18.0563094842807,15.3669238946756,18.5491494169014,17.1017228412863,18.5880203224431,18.9976285133894,19.3509211082878,21.1399283392758,19.1157683630437,16.2906191471766,15.9701656393729,10.6028966396819,8.32313048237484,17.5152207297886,17.1902008851925,0,19.1906672744573,14.9678169323066,20.1035745653305,19.8967377197823
"marshmallow_53",16.616009511615,19.3751324400921,18.4549521667496,16.1668210789585,17.5064753321587,7.28078270521239,16.6084934008688,18.2874610723281,16.0586553075706,19.3857665064007,18.5924945444414,18.3943453692951,19.2170278948404,12.1855943754843,16.9041090764413,20.2603005785922,16.0948992702329,18.0670048618705,17.3553910240339,13.3883927816742,18.4947984959755,14.3466829552932,20.3303088695062,4.76599081842253,17.7430413876191,17.4321727526848,18.3187718447875,17.3250882027438,15.6068594911918,18.7219235164811,19.1906672744573,0,17.6249391438434,20.8006842806365,15.3362212786579
"ginger_55",15.3289728649241,15.1326812781185,19.7026968806734,17.0259000029128,13.161675186409,17.9638170683696,19.1890034710268,15.8307058401521,14.8937650371832,16.5428168645542,14.2667451080556,18.5028184339087,16.8450698986103,17.9631237755845,7.99325653940476,17.6327605280551,8.95379119215985,15.8427072611771,16.598766718207,15.2572522784343,12.7329043519222,17.475009223312,23.4664432010978,17.2081870348779,11.9673369103285,18.120239981209,14.5280633024192,13.3932345029976,13.5568537355091,17.7041672794048,14.9678169323066,17.6249391438434,0,21.0151009208429,18.5123350454829
"ophelia_55",20.284192000865,18.7371606336261,15.4675485022299,18.1412886108995,20.8728474064437,21.2875362979282,17.5324512467286,20.4067429879469,17.2623961671277,19.9704904298633,17.9084740421029,16.9768471210233,17.6204792312485,19.9461742341706,21.821416989569,22.9268649402088,21.5609499602178,18.8479430818498,16.9103622335892,22.9084547921229,20.4887039785937,19.7475178363008,23.374064400416,21.0610110320063,20.3826184004001,16.0119134763922,20.1472180588284,19.5327677034325,23.2033468967946,17.2509512937001,20.1035745653305,20.8006842806365,21.0151009208429,0,20.7337096372556
"buddy_56",15.2930645589906,15.3072105774281,16.6741317028757,16.1091872960186,15.9905977545066,16.3918972954641,19.5658960246127,17.3801926911175,19.150186545529,21.785174808299,14.8864189448411,20.6486809142106,16.4531095329443,15.9842229618885,18.186289597369,21.1700776773882,17.9336342659588,15.852585198178,19.1006278854053,13.8950331464503,16.2808588147999,12.563882419747,23.7330726008293,15.0019913926034,17.8335268020891,19.4761690580518,20.9375666161505,19.9190761840863,16.4103811120535,15.6340680594914,19.8967377197823,15.3362212786579,18.5123350454829,20.7337096372556,0
