"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"kubo_24",0.201154832267525,0.137541659424015,0.206094192369309,0.119349316280839,0.169282479688034,0.468660265940091,0.195421331329958,0.185375763595983,0.218609678947558,0.195277584983225,0,0.2255055715618,0.201827841165616,0.292417849819427,0.196293996312873,0.194908259666189,0.218845056472427,0.26222338889344,0.267770151820007,0.187725356986431,0.217770545262363,0.285868157155192,0.160386776315298,0.515622284992787,0.209492425415339,0.224545028762854,0.188383642803301,0.164324244587593,0.217167561087367,0.161898714743249,0.514161437397996,0.138888058672782,0.15897526689138,0.315505917982105
"ophelia_24",0.216151523875628,0.267569403636611,0.267213348170395,0.195478254631234,0.151245630977657,0.538101723280116,0.16903269970201,0.130370490946211,0.0936444155742994,0.165476226686179,0.2255055715618,0,0.245668588879466,0.345235425801899,0.249071976922577,0.105535179520645,0.295911300102054,0.250307705437204,0.145619671336703,0.199669090464046,0.338279376822117,0.433901411409144,0.162374764421023,0.585960021461111,0.10407962602264,0.126399677603523,0.152855266905458,0.169603902424334,0.264027114779885,0.185610324953449,0.584415984056688,0.206814096838874,0.236464352130154,0.444636099394056
"henry_25",0.197125613487849,0.138605987322598,0.116296129545713,0.247783367011081,0.236296094676953,0.398834746896019,0.261955230773135,0.201437240559645,0.242382992363017,0.263498552950541,0.201827841165616,0.245668588879466,0,0.222489906001521,0.294060280810548,0.230033841204854,0.341333686845394,0.201458161125614,0.226152250357737,0.178678130190878,0.33474826788204,0.242911454884153,0.189908370868349,0.442392998774724,0.252880985154316,0.232949536185301,0.218774413284801,0.240593627154636,0.086913441116899,0.262354685497259,0.440481737640273,0.29325399436573,0.123713372454087,0.234654470887277
"kubo_25",0.324047640769184,0.238765511501709,0.189436903387424,0.282607599901558,0.35477900531119,0.196939215023223,0.334585559319843,0.331854211960586,0.349869356565148,0.337383015771947,0.292417849819427,0.345235425801899,0.222489906001521,0,0.354743492849152,0.350792075829602,0.390076658774031,0.329389157380437,0.337127844712106,0.25448472107498,0.398933034760396,0.133388926676517,0.2922773623276,0.242599765283355,0.344079760316065,0.34074439849861,0.338116773187841,0.339473418558103,0.227270487333752,0.335724102036675,0.239866144977043,0.350152067209813,0.221078187382855,0.17779077682325
"ginger_44",0.31583251514229,0.305668371942224,0.334941739720946,0.182260585218239,0.232271027443982,0.531274766791856,0.19870394867366,0.253506305428124,0.239943978863008,0.198273755903858,0.196293996312873,0.249071976922577,0.294060280810548,0.354743492849152,0,0.213637025465417,0.0588196196399612,0.339196259758961,0.297718127521601,0.260035699184551,0.115506826094534,0.422351200568407,0.264866799722896,0.573913762056387,0.276761962746319,0.242546945152667,0.186602616894107,0.159111503035757,0.355283403550116,0.177724914209727,0.571834077526644,0.0958017394171756,0.298889068012412,0.433642508152929
"iris_44",0.179437675630343,0.266963551278915,0.294276275820724,0.193025419125231,0.11897784141006,0.534143889484408,0.159457599515816,0.0994181070451791,0.115759089588122,0.144323230279069,0.194908259666189,0.105535179520645,0.230033841204854,0.350792075829602,0.213637025465417,0,0.252091450698434,0.219607211151679,0.164192867180873,0.169371240042502,0.304442303207466,0.412308999804607,0.167272681199148,0.580303716683301,0.14373857472604,0.100099810260783,0.116729038461988,0.111352080088576,0.243567792338981,0.165395635179609,0.578202285937823,0.175643476666625,0.260751993573275,0.435519951977236
"henry_45",0.345383862022884,0.340218727630352,0.369837951344248,0.218280185080663,0.261763714777032,0.531190211491985,0.227900706479578,0.286016635578789,0.278606030143843,0.240217843554974,0.218845056472427,0.295911300102054,0.341333686845394,0.390076658774031,0.0588196196399612,0.252091450698434,0,0.379715093114431,0.335379071217413,0.28928093015792,0.10826443941347,0.413391395995128,0.299048996761831,0.574643104081757,0.308655554379968,0.278168058901671,0.222684783827785,0.192900971939274,0.386054103688269,0.218737449577202,0.572567622966416,0.139163620172197,0.338356566692678,0.430710583373649
"korra_45",0.101453556594304,0.251469819014506,0.275862599502772,0.284730600097569,0.195850738285479,0.502619778817462,0.297465213372668,0.15816147868727,0.230282390633701,0.3077971215609,0.26222338889344,0.250307705437204,0.201458161125614,0.329389157380437,0.339196259758961,0.219607211151679,0.379715093114431,0,0.134239702075812,0.19762281992978,0.379036202053398,0.355591086192969,0.252595366368667,0.540019200659389,0.248742895426646,0.205389240342363,0.23368349346258,0.256856244769769,0.18043865441752,0.294409234238979,0.538857337210805,0.322010321022221,0.285332973594093,0.385857044151285
"hamlet_46",0.158099919467702,0.268124166871216,0.279399087658269,0.245035178765325,0.176295941639197,0.520675775214304,0.194791194557384,0.139341433073439,0.112591678542531,0.210746136734813,0.267770151820007,0.145619671336703,0.226152250357737,0.337127844712106,0.297718127521601,0.164192867180873,0.335379071217413,0.134239702075812,0,0.197108337360487,0.365149175567429,0.403706948718957,0.219069032106428,0.565264020130443,0.145866975617216,0.145887278621252,0.179122778146739,0.202263796642735,0.247748773249784,0.220826581065501,0.563746284645347,0.261605916497412,0.255273860386028,0.427423521503556
"joans_46",0.149113489723412,0.203598554392264,0.2442475789798,0.178731345174531,0.120556395773043,0.430912960578992,0.190665167344766,0.119539294817287,0.1707658589935,0.218263341016157,0.187725356986431,0.199669090464046,0.178678130190878,0.25448472107498,0.260035699184551,0.169371240042502,0.28928093015792,0.19762281992978,0.197108337360487,0,0.311726349861606,0.320542314367765,0.151310435287619,0.474480700214697,0.176128926510061,0.124679784863035,0.122362438716083,0.158863075117685,0.171278836626603,0.197688172581192,0.472977286000691,0.237213038051848,0.221401533049422,0.335738646549754
