"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"kubo_24",3.54759841851205,3.20140806260676,3.95336460197965,2.37889607035693,3.48087029220337,10.7711724126315,4.13044101038792,3.831804404454,4.34181526221346,4.92492851115047,0,4.2602981324735,2.34609913812041,5.0632367195449,4.19770503906052,5.91212582960457,4.27863008743727,3.36329362376629,4.09285002475902,4.76836888379247,2.18321577140594,4.19540214229062,5.81227588967645,11.088992940869,4.53912064440029,4.63986281490283,4.07416103642809,4.36495021000093,3.74821491536859,3.87169182204323,10.5392503324793,4.06163639449331,2.97139323225386,3.77264597947364
"ophelia_24",5.36442801109306,5.48844697847675,5.19116056090658,2.88916503117099,3.93751531509167,10.9615510124437,3.64122136002986,3.71742574303099,3.43415103007631,3.2870097236522,4.2602981324735,0,4.49323983837828,4.11692210752186,2.89976784973302,3.71340726740526,3.35995526240627,3.86800844789089,3.50895999671916,4.56521731643066,3.94008667255292,6.15640708468546,3.91770518355654,11.1804897836142,3.5155705814334,3.08311068344773,2.55925443642861,3.3000244285661,5.54123804858682,3.44304646319863,10.679733779514,2.86199862139501,3.9491406785984,6.64874589667579
"henry_25",3.1708815672581,2.55818672517272,4.13886816307001,2.73312624185226,4.47344807756852,10.6407699649674,4.79995018122918,3.72173730092678,4.91562378208449,5.02507635037953,2.34609913812041,4.49323983837828,0,5.31550877512187,5.2247979067888,5.74079962749894,5.55421051520337,2.68914472852433,4.66746574050941,5.84601589077595,3.8528640049392,3.47070271554595,5.54782376560713,10.8598987615955,4.32614967548149,4.93285884068807,4.65208360957353,5.43533596547868,2.38035321281214,4.11119348856168,10.4122888832835,5.12260993438994,2.8428769773543,4.40910011774629
"kubo_25",4.02269822938036,4.65485268233916,5.30183237250815,3.68066621737835,2.54250392069708,7.07431823871746,3.21096581955227,3.19005798978218,1.8941226491725,3.93543006090277,5.0632367195449,4.11692210752186,5.31550877512187,0,4.58485262231973,5.39228993520306,4.1617433410337,3.82296716478328,2.05450877196041,2.79166826368338,5.52809866817403,4.44360469988681,4.70238802609097,7.29743091731159,2.32403430503402,2.60402640545728,2.51820225504461,4.25935668088202,5.07142391293287,2.35991519698153,6.80011160500704,4.6371002904504,4.38122340880466,5.80342601640717
"ginger_44",5.84255054916813,6.18083675149472,6.20300831976128,3.07882856898457,3.58487125274541,11.4304622542454,3.91374944787921,4.37301692287642,3.60850489042617,4.56022893823996,4.19770503906052,2.89976784973302,5.2247979067888,4.58485262231973,0,4.71718480587909,1.57160887198715,4.41479542854906,3.82761500707312,3.96588556608273,3.03357088319883,6.84737662013233,5.45816243007076,11.6898963870416,5.07487142644018,3.93581102475329,2.82016230955331,1.39616975811482,6.49135136051308,4.16807999747209,11.136241015774,1.16207211056034,5.14837974166045,6.93466680439763
"iris_44",6.50331851095112,6.38121488886671,6.69592859625586,4.61095350338367,5.44778889674268,11.5093262911238,5.33486096697784,3.75849718946275,5.18609473985522,4.08971105589176,5.91212582960457,3.71340726740526,5.74079962749894,5.39228993520306,4.71718480587909,0,5.37430538075774,4.80823519088307,5.40094819942257,6.30830558142304,5.7883903469933,7.11127493578153,3.49467083903228,11.6227296277773,4.89649862208413,3.57456437583425,4.39926127932083,4.81193312635987,6.19127021176788,4.79651141292267,11.2575846469136,4.51235223971928,5.49784573290999,7.99132842335565
"henry_45",5.48405448440548,6.242031054217,6.10431665959497,3.39340244704996,2.94116198225203,10.7224806077691,3.13570565967663,4.32620608069246,2.91571460483329,4.50238819698449,4.27863008743727,3.35995526240627,5.55421051520337,4.1617433410337,1.57160887198715,5.37430538075774,0,4.91923681029166,3.12796183666363,2.76306797268339,3.15668593585652,6.64518991111313,5.47356802019733,11.0660835906577,4.83592768409151,3.74178655827163,2.36343817882709,1.7292300108781,6.68713751244698,3.89229664041662,10.4214691968431,2.21760380104142,5.09383060741947,6.60122142554661
"korra_45",3.70367031137746,2.80406457459263,4.27171267819288,2.37859239614624,3.90604326672196,9.60582342231696,4.67007723565728,3.17505901539804,4.07438306768665,4.76974071430891,3.36329362376629,3.86800844789089,2.68914472852433,3.82296716478328,4.41479542854906,4.80823519088307,4.91923681029166,0,4.05695889860405,5.17850307576206,4.43126498095473,3.57763994212364,5.24563773472614,9.68784893964213,3.58004825931562,4.09554092973067,3.92190993982099,4.48203629113326,2.68452599572341,3.57397350286096,9.36589288995534,4.27322383413588,3.59298844201874,5.09221091634023
"hamlet_46",3.42821702314959,4.61499901660087,4.93899921675743,3.10693602540548,1.53940051834769,8.11938042953033,1.96569041901738,2.89494589512839,0.818889713362004,3.38497168281997,4.09285002475902,3.50895999671916,4.66746574050941,2.05450877196041,3.82761500707312,5.40094819942257,3.12796183666363,4.05695889860405,0,1.74994413069663,4.29627230878359,4.5005056945824,4.42570431061271,8.48443169740986,2.35186945811906,2.42726418041386,1.68244617456794,3.67827216843977,5.09763427220415,1.68698466961515,7.82219065527478,4.0003832923104,3.56525271628341,5.23540318729295
"joans_46",4.37156900887086,5.66441277461431,5.82838169490788,4.01827082983088,1.84290717428662,8.22925179303979,2.48702717759497,3.94981430710335,1.69829320254772,4.43336865067791,4.76836888379247,4.56521731643066,5.84601589077595,2.79166826368338,3.96588556608273,6.30830558142304,2.76306797268339,5.17850307576206,1.74994413069663,0,4.58915483875441,5.49051589421701,5.42997122110758,8.66833068598454,3.86927247879972,3.36820719463598,2.39148627973578,3.61925924790705,6.3031864893996,2.99642927276779,7.92860292549542,4.25255693772462,4.81234979823507,5.75509382803453
