tax	BUD-21-MGE-S257	CM-NTC-013	FRA-24-MGE-S262	FRA-51-MGE-S274	GIN-20-MGE-S255	GIN-44-MGE-S265	GOO-52-MGE-S275	HAM-21-MGE-S256	HEN-25-MGE-S264	HEN-49-MGE-S270	HER-22-MGE-S258	HER-37-MGE-S254	IRI-49-MGE-S269	IVY-50-MGE-S272	JOA-22-MGE-S259	JOA-48-MGE-S268	KOR-23-MGE-S260	KOR-45-MGE-S266	KUB-25-MGE-S263	KUB-53-MGE-S276	LAM-51-MGE-S273	MAR-47-MGE-S267	OPH-24-MGE-S261	WOL-50-MGE-S271	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	0	0	5	7	0	0	6	0	0	0	2	0	6	3	0	0	0	0	0	0	0	0	0	2	31
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	1	0	8	2	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	1	0	0	9	0	29
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	0	1	1	0	1	1	0	0	0	0	5	1	0	0	6	3	1	0	5	0	0	1	3	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	0	0	6	8	0	0	3	0	0	0	1	0	3	5	0	1	0	0	0	0	0	0	0	0	27
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	2	0	0	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	0	1	0	0	2	3	0	0	1	1	3	2	3	1	0	1	0	1	2	0	2	0	1	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	0	0	0	0	0	2	1	3	1	1	3	3	0	1	2	3	1	2	0	0	0	2	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	0	9	4	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	1	0	1	25
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	0	0	0	0	0	1	4	0	0	0	0	0	10	0	2	1	0	0	0	5	0	1	24
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	0	0	0	1	1	1	5	0	1	4	0	1	2	2	1	2	0	1	0	0	0	1	0	1	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	3	0	1	1	2	0	2	2	1	2	0	0	0	0	0	1	0	4	1	1	1	0	2	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	0	0	2	3	0	0	2	1	0	0	2	2	0	0	0	4	0	2	0	3	0	2	1	0	24
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	0	0	0	2	1	0	0	1	0	0	2	2	2	0	1	4	2	0	1	4	0	0	1	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	3	0	2	2	0	5	0	1	1	0	0	0	1	1	1	2	0	1	0	1	2	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	1	0	0	0	2	0	1	2	2	3	0	2	0	0	1	1	2	2	2	0	0	0	1	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	1	0	0	0	0	0	2	2	2	1	0	3	0	0	2	3	1	2	2	0	0	0	1	0	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	0	0	3	2	0	0	1	2	0	1	1	2	1	2	1	1	3	0	0	0	0	1	0	1	22
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	1	0	0	2	0	0	0	2	3	1	1	5	0	0	0	0	1	0	0	6	0	0	0	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	4	0	1	0	0	0	1	1	1	0	2	0	0	0	1	9	0	1	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	21
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	7	1	0	0	0	3	0	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	16	0	0	1	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	0	0	1	4	0	0	2	0	0	0	1	0	3	2	1	0	0	2	1	0	0	1	1	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	7	1	0	0	0	1	0	0	0	1	4	1	0	0	0	0	1	0	1	1	0	1	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	0	0	2	0	0	1	0	1	1	0	1	1	0	1	5	2	0	0	0	0	0	2	1	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	1	0	1	1	0	0	0	2	3	0	3	2	0	0	1	1	0	2	0	0	1	0	18
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	5	0	0	0	1	8	0	0	0	18
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	0	0	5	0	4	1	0	1	1	0	0	0	0	1	1	0	0	0	3	0	0	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	0	3	0	0	0	1	0	0	1	0	0	2	1	0	0	2	3	2	0	2	0	17
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	1	0	2	0	1	0	1	0	0	2	0	0	4	0	0	2	2	0	0	1	0	0	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	2	0	0	0	0	0	0	2	0	1	0	0	2	0	1	3	0	0	0	0	5	0	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	0	0	0	0	3	1	0	1	1	0	0	1	0	0	0	2	1	1	0	3	0	0	2	0	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	0	0	0	1	1	0	0	2	0	1	0	0	0	0	4	1	0	0	0	4	0	0	1	0	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Cellulosilyticaceae;Cellulosilyticum;Cellulosilyticum lentocellum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	5	0	0	1	1	0	1	0	1	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	0	0	0	2	1	0	0	1	1	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	0	0	1	1	0	0	1	2	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	13
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	3	0	2	0	1	1	0	0	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	1	0	0	0	0	0	1	1	0	1	0	1	3	1	0	0	0	0	3	0	0	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella morbillorum	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	2	1	0	12
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella parahaemolysans	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	2	0	0	0	1	0	0	0	3	1	0	0	0	0	0	1	1	1	1	1	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	2	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	1	2	0	0	0	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	0	1	0	0	0	1	2	0	0	2	0	0	1	3	0	0	0	1	0	0	1	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	6	0	0	0	0	0	11
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	1	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	4	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	2	0	11
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	1	1	0	1	2	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	0	0	1	0	0	0	0	0	0	0	1	0	4	1	0	3	0	0	0	0	0	0	1	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	2	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	11
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Latilactobacillus curvatus	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	1	0	0	0	1	0	10
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	0	0	1	1	0	0	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	10
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	5	9
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	0	0	0	2	3	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	0	0	0	3	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus massiliensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium dentalis	0	0	0	1	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	8
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella phocaeensis	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	1	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis;[Bacteroides] pectinophilus	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	2	0	0	0	1	8
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella ihumii	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	8
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola paurosaccharolyticus	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	2	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	7
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium equinum	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella phocaeensis	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus capsulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna chitinilytica	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia ruminalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;Glaesserella parasuis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter;Atlantibacter hermannii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	4
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella bouchesdurhonensis	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia brookingsii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecicola	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella massiliensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4
