"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc142"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
"njc143"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc144"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc145"	0	0.11	0.07	0.04	0.04	0	0	0.04	0.04	0.07	0.04	0.04	0.07	0	0	0.04	0	0.13	0.02	0.07	0	0.09	0.18	0.02	0.11	0.04	0.02	0.09	0.04	0.11	0	0.04	0.02	0.04
"njc146"	3.58	8.43	5.29	8.96	8.07	0.71	4.43	7.36	4.13	7.09	13.09	9.85	7.96	5.85	13.71	13.95	9.63	9.78	4.91	5.18	18.69	4.09	5.17	0.82	5.22	7.73	6.31	11.84	6.64	6.41	0.49	18.5	6.79	6.61
"njc147"	0	0.13	0.02	0	0.04	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.07	0.02	0
"njc148"	18.62	16	16.56	21.5	13.18	1.42	19.38	19.67	15.6	19.44	21.4	27.3	28.82	9.8	27	32.68	25.32	17.63	14.5	13.83	26.67	13.43	28.59	1.31	14.56	16.56	19.85	25.07	19.82	13.73	1.67	23.21	19.07	11.15
"njc149"	13.83	14.44	18.39	26.02	19.87	1.73	25.83	20.87	18.29	24.51	28.89	32.46	22.58	13.16	37.6	36.51	33.19	18.48	17.74	18.56	41.29	9.23	27.1	1.53	14.69	22.64	24.01	34.16	12.98	18.45	1.96	39.04	20.72	15.25
"njc150"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc151"	0.02	0.04	0	0.04	0.07	0	0	0	0	0.04	0.02	0.02	0	0	0.02	0.02	0	0.02	0	0	0.02	0	0.24	0	0	0.07	0	0	0.02	0.02	0	0.04	0.02	0.02
