"Taxa"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"Ethanolamine (Phosphatidylethanolamine) -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate) -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"L-Sorbose (Sorbose) -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Methanol -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Methylamine (Monomethylamine) -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N2 -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Succinate -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyramine -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Consumption"	0	0	0	0.00283018867924528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92003136025088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4-Aminobutyrate (GABA) -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"7-Oxodeoxycholic acid -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"7-Oxolithocholic acid -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"Biotin (Vitamin B7) -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"D-Fructuronate -- Consumption"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"D-Tagaturonate -- Consumption"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"Folic acid (Folate, Vitamin B9) -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"Indole-3-acetate (Indoleacetate) -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"L-Idonate -- Consumption"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
"L-Threonine (Threonine) -- Production"	0	0	0.000115945389721441	0	0	0	0	0	0	0	0	0	0	0	5.72540936676972e-05	0	0	4.05720661324678e-05	0	0.000167963719836515	0	0	0.0001511868165096	0	0	0	0	9.28871653159325e-05	0	0	0	0	0	0	0	0	0.000145325367350234	0	0	0	0	3.92003136025088e-05	0	4.52427272315975e-05	0	0	0	0	0	0	0	0	0	0	0.00032680806562306	0.00030809735876537	0	0	0	0	9.39783379930926e-05	0	0	0	0.00124028653150075	0
