tax	BUD-16-DRS-L161	CHA-57-DRS-L131	EXP-PBC096_barcode52	GIN-43-DRS-L130	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	0	0	0	0	0	0	0	0	2	0	0	0	0	470	0	0	4	0	0	0	0	0	0	0	0	957	0	0	0	9	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	0	1460
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	51	0	0	0	0	0	0	0	0	4	0	0	0	0	53	1	0	3	0	0	0	0	0	0	0	0	1224	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	25	0	0	0	0	0	1370
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	523	0	0	0	0	0	0	0	0	112	0	0	0	0	110	0	0	65	0	0	0	0	0	0	0	0	320	0	0	0	102	0	0	0	0	0	0	0	20	0	0	0	0	57	0	0	0	0	1	1310
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	1	0	0	0	0	0	0	0	0	1	0	0	0	0	51	0	0	8	0	0	1	0	0	0	0	0	981	0	0	0	2	0	0	0	0	0	0	0	56	0	0	0	0	2	0	1	0	0	0	1104
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium myosotis	346	0	0	0	0	30	0	0	0	230	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	0	310	0	0	0	23	0	0	0	0	0	0	0	5	0	0	0	0	77	0	0	0	0	0	1044
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium reuteri	264	0	0	0	0	51	0	0	0	77	0	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0	256	0	0	0	34	0	0	0	0	0	0	0	11	0	0	0	0	103	0	0	0	0	0	812
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus	164	0	0	0	0	0	0	0	0	43	0	0	0	0	192	0	0	102	0	0	0	0	0	0	0	0	103	0	0	0	63	0	0	0	0	0	0	0	28	0	0	0	0	93	0	0	0	0	0	788
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	757
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pullorum	78	0	0	0	0	0	0	0	0	2	0	0	0	0	17	0	0	9	0	0	0	0	0	0	0	0	575	0	0	0	12	0	0	0	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	719
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	26	0	0	0	0	0	0	0	1	62	0	0	0	0	208	0	0	13	0	0	0	0	0	0	0	0	236	0	0	0	57	0	0	0	0	0	0	0	62	0	0	0	0	32	0	0	0	0	0	697
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	164	0	0	0	0	0	0	1	0	146	0	0	0	0	46	0	0	41	0	0	0	0	0	0	0	0	161	0	0	1	63	0	0	0	0	0	0	0	20	0	0	0	0	35	0	0	0	0	0	678
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	163	0	0	0	0	0	0	0	0	26	0	0	0	0	49	0	0	16	0	0	0	0	0	0	0	0	327	0	0	0	16	0	0	0	0	0	0	0	10	1	0	0	0	23	0	0	0	0	0	631
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	563	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	578
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	247	1	1	0	0	0	0	0	0	49	0	0	0	0	31	0	0	29	0	0	0	0	0	0	0	0	23	0	0	0	60	0	0	0	0	0	0	0	8	0	0	0	0	21	0	0	0	0	0	470
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	40	0	1	0	0	0	0	0	0	237	0	0	0	0	22	0	0	18	0	0	0	0	0	0	1	0	83	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	421
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc lactis	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	386
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium saguinibicoloris	280	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	30	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	0	27	0	0	0	0	0	379
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	377
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium hapali	127	0	0	0	0	16	0	0	0	46	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	101	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	365
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium parvum	38	0	0	0	0	1	0	0	0	14	0	0	0	0	103	0	0	37	0	0	0	0	0	0	0	0	56	0	0	0	38	0	0	0	0	0	0	0	18	0	0	0	0	43	0	0	0	0	0	348
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	0	0	0	0	316	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	320
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	312
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	0	159	0	0	0	134	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	311
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	4	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	17	0	0	0	0	0	1	0	0	196	0	0	0	9	0	0	0	0	0	0	0	20	0	0	0	0	3	0	0	0	0	0	305
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	47	0	0	0	0	0	0	0	0	26	0	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	46	0	0	0	60	0	0	0	0	0	1	0	6	0	0	0	0	73	0	0	0	0	0	293
