"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia"	0.00875	0.0115	0.0025	0.00725	0.00325	0.01325	0.00625	0.0265	0.00325	0.00775	0.00475	0.023375	0.00075	0.00525	0.00525	0.00625	0.015	0.015	0.01175	0.001	0.009	0.008	0.01225	0.01225	0.00625	0.0115	0.005	0.0025	0.0055	0.01125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter"	0	0	0.005	0	0	0	0.00775	0.00925	0	0	0	0.002125	0	0	0	0	0	0	0.00725	0.00625	0.00625	0.00725	0	0.103	0.00025	0.08475	0.01475	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	5e-04	0.0335	0.001	0.016	0	0.00325	0.00025	0.01275	0.00025	0.00075	0	0.000625	0.00475	0.0095	0.00175	0.01725	0.0045	0.01525	0.00275	0.0025	0.00525	0.001	0.0165	0.00375	0.0085	0.0025	0.02725	0.008	0.0215	0.01725
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0.001	0	0.1985	0.001	0.0205	0	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00025	0.00475	0.01225	0.0075	0	0.02375	0	0.006	0	0.01725	0	0.014125	0	0.00625	0	0.01375	0.02275	0.00175	0.0075	0.00025	0.00475	0.002	0.02	0.00475	0	0.00275	0.02	0.0045	5e-04	0.0135
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	5e-04	0.00125	0.002	0.00175	0.00125	0.004	0.002	0.019	0.00225	0.001	0.004	0.0105	0.00125	5e-04	0.00375	5e-04	0.00325	0.00875	0.00575	0.002	0.00975	0.003	0.0105	0.01825	0.00675	0.018	0.00775	0.00475	0.0135	0.00425
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.0085	0.0045	0.00575	0.0025	0.00075	0.01175	0.00925	0.00525	0.00075	0.0095	0.00075	0.002	0.00025	0.006	0.001	0.002	0.00925	0.0095	0.01375	0.00775	0.006	0.00825	0.00525	0.0075	0.00525	0.0065	0.00875	0.00375	0.00325	0.0055
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster"	0.0035	0.00275	0.00225	0.00225	0.00025	0.0055	0.00175	0.009	0.001	0.00175	0.0015	0.002875	0.00075	0.00275	0.00225	0.00175	0.00125	0.00325	0.00325	0.00075	0.00575	0.003	0.00475	0.01225	0.00375	0.02175	0.003	5e-04	0.0105	0.0045
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora"	0.00125	0.004	0.00025	0.003	0.001	0.0085	0.00025	0.0075	0.00025	0.004	0.00125	0.006125	0.00025	0.00175	0.00075	0.001	0.01775	0.00275	0.003	5e-04	0.00525	0.00175	0.007	0.00925	0.00275	0.0135	0.00175	0.0015	0.0085	0.0025
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0.10425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0	0	0.004	0	5e-04	0	0.0045	0.00375	5e-04	0	5e-04	0.008375	0	0	0.0085	0	0.00025	5e-04	0	0.02625	0	0.0145	0.002	0	0.00025	0	0	0.00025	0.0135	0.00925
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0	0.001	0	0.0025	0	0.008	0	0.0075	0	0.00225	5e-04	0	0	0.00225	0	0	0	0	0.02875	0	0.025	0	0	0	0	0	0	0	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0	0	0.00025	0	0	0	0	0.01175	0	0	0	0	0.00025	0	0	0	0.00325	0.0075	0.004	0	0.00425	0	0.00975	0.00625	0.00525	0.00975	0.001	0.004	0.00325	0.00175
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0	0.00075	0	0	0.00025	0.0025	0.00075	0	0	0	5e-04	0.00125	0	0	0	0	0	0.00075	0.002	5e-04	0.0035	0	0.011	0.00275	0.03275	0.00625	0.00025	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor"	0.00125	5e-04	0.001	0.00475	5e-04	0.002	0.002	0.00375	0.00025	0.0015	5e-04	0.003625	0	0.001	5e-04	0.00225	0.0015	0.002	0.00125	0.001	0.00175	0.00225	0.00675	0.00375	0.0015	0.003	0.00125	0.00025	0.00325	0.00375
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter"	0	0	0.0015	0	0	0.00025	0.00025	0.00175	0	0	0	0.00125	0.00025	0	0	0	0.00075	0.007	0.00175	0.00025	0.00125	5e-04	0.017	0.00075	0.00175	5e-04	0	0.001	0.01125	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena"	0	0	0.003	0	0.00025	0	0	0.0105	0.00025	0	0.00025	0.000125	0.00025	0	5e-04	0	0	0.00675	0.0025	0	0.002	0	0.00575	0.0015	0.001	0.003	0.00075	0	0.0015	0.0045
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.00025	0.034
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00025	0.00075	0.00075	5e-04	0	0.00075	0	0.0015	0	0.00025	0	0	0.00425	0.001	0.00025	0.0015	0.00125	0.0025	5e-04	0	0.00025	0	5e-04	0.00525	0.0015	0.00775	0.001	0.00125	0	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0	0.002	0	0	0.00125	0.0045	0	0.00075	0	0.0015	5e-04	0	5e-04	0.00125	0.00025	0	0.0015	0.006	0.001	0	0.00025	0	0.00125	0.0015	0.001	0.002	5e-04	0.003	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00075	5e-04	5e-04	0.001	0	0.001	0.00075	0.0015	0	0.001	0	0.00175	0	0.00025	0.00025	5e-04	0.0015	0.00075	0.001	0.00075	0.001	0.00175	0.001	0.0025	0.00075	0.004	5e-04	0.00025	0.00125	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyrivibrio"	0	0.00025	0	5e-04	0	0.00175	5e-04	0.001	5e-04	0	0	0.002125	0	0.00025	0	5e-04	5e-04	0.00075	0.0015	5e-04	0.001	5e-04	5e-04	0.00475	0.002	0.0025	0.00125	5e-04	0.00175	0.002
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera"	0.002	0.00075	0	5e-04	0.00025	0.00225	0.00025	0.001	0.00025	0.0025	0.00025	0.004375	0	5e-04	0	0.0015	0.00025	0.00075	0.00075	0	0.00025	0	0.00125	0.002	0.001	0.00175	0.00075	5e-04	0.00025	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0	0.002	0.00025	0.001	0	0.00125	0	0.00125	0	0.001	0	0	0.00125	0.00175	0.00025	0.00375	0.00025	0.0055	0	0	0	0.00025	0.00125	0	0.00175	5e-04	0	5e-04	0	0.0015
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0	5e-04	0.00025	0.00025	0	5e-04	0	0.00075	0.00025	0	0	0	0.0045	5e-04	0	0.001	0.00025	0.0065	5e-04	0	0	0	0.001	0	0.00175	0	0	0.001	0	0.0045
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0	0	0	0.00025	0	5e-04	0.00075	0.00025	0	0	0	0.008375	0	0	0.00025	0.001	0	0	0	0.002	0	0.0015	0	0.0025	0	0.0035	0.001	0.00025	0.001	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus"	0	0	0.00375	0	5e-04	0	0.00025	0.0015	0.00025	0	5e-04	0.000625	0	0	0.00075	0	0.0015	0	0.001	0	0	0	0.002	0.003	0	0.00275	0.00025	0.00025	0.0045	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola"	0.00075	0.00025	0.00025	0.001	0.00025	0.0015	0.00075	0.001	0.00025	0.00125	0	0.00225	0	0.001	5e-04	0.0015	0	0.00025	0.00025	0.00075	0	0.003	0	5e-04	0.00075	0.00125	0.00025	0.00025	5e-04	0.002
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella"	0	0	0	0	0	0	0.00075	0	0	0	0	5e-04	0	0	0	0	0	0	0.00025	0.00075	0	5e-04	0	0.00125	0	0.013	0.00225	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.00025	0.00075	0	0.00325	0	0	0.00075	0	0	0.00025	0	0.000125	0	0.00025	0	5e-04	5e-04	0	0	0.00525	5e-04	5e-04	0	0	0.00025	0	0.00475	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0	0	0.00075	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00025	0	0.00025	0.0075	5e-04	0	0.00125	0	0.002	0	0.00025	0	0.001	0	0.00025	0.00175
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominisplanchenecus"	0	0	0.00025	0	0	0.00075	0.00075	0.001	5e-04	0.00025	0.00025	0.00125	0	0	0.00025	0.00025	0.00025	5e-04	0	5e-04	0	0.00025	0	0.00075	0.00125	0.00225	5e-04	5e-04	5e-04	0.0015
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix"	0.00075	0.001	0	5e-04	0	0.001	0.00025	0.00075	0.00025	0.00025	0	0.001	0	0	0	0.001	0.00075	5e-04	0.00075	0.00025	0.00075	5e-04	0.00025	0.00025	5e-04	0.00075	0.00025	0	5e-04	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Marvinbryantia"	0	0.00025	0.00025	0.00075	0	5e-04	0.00025	0.00125	0.00025	0	0.00025	0.001	0	5e-04	0.00075	0.00025	0.001	0.00075	0.00025	0	0.00025	0.00025	0.00075	0.00075	0.00025	0.001	0.00075	0	0	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0	0.00075	0	0	0	0.00075	0	0.00025	0	0.0015	0.00025	0	0	0	0	0	0.00275	0	0.00075	0	0.00075	0	0.00025	0	0.00175	0	0.00175	0	0.00025	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	5e-04	0	0.00475	5e-04	0.002	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0	0.00025	0	0	5e-04	0.00025	0	5e-04	0.00025	0	0	0	0.00025	5e-04	0	0.00025	0.001	0.001	0	0	0.00025	0.00025	5e-04	5e-04	0.0015	0.00075	0	0.00225	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	5e-04	5e-04	0	5e-04	0	0.00075	0	0.00025	0	0	0	0	0.0015	0.00025	0.00025	0.001	0	0.002	0	0	0	0	0.00025	0	0.001	0	0	5e-04	0	0.00075
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0	0.00075	0	0.001	0	0	0	0.00025	0	0	0	0	0.00075	0.00025	0	0.0015	0.0015	0.001	0	0	0.00025	0	5e-04	0	0.00025	0	5e-04	5e-04	5e-04	0.00025
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0	0	0	0	0	0	0	0.00025	0	0	0	0	5e-04	0	0	0	0.00025	0.003	0	0	0	0	0	5e-04	0.0015	0.001	0	0.00125	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Anaeromassilibacillus"	0	0	0	0	0	0.00025	0	5e-04	0.00025	0.00025	0	0	0	0	0	0	0.001	0	0.00025	0.00025	0	0	5e-04	0	0.002	0	0.0015	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus"	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00575	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0.001	0.00025	0.00375	5e-04	0	0	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Eisenbergiella"	0	0	0	0	0	0	0	0.00175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.00225	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerocolumna"	0	0	0.00025	0.00025	0	5e-04	0	0.00025	0	0.00025	0	0.000125	0	0.00025	0.00025	0.00025	0	0	0	0.00075	0	0.00025	0	0	0.00025	5e-04	0.00025	0.00025	0.00025	5e-04
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0	5e-04	0.00025	5e-04	0	0	0	0.00025	0	0	0	0	0.00075	0	0	5e-04	0	0	0	0	0.00025	0	0.00025	0	0.00025	0	0.00025	0.00125	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0	0	0	0	0	0.00025	5e-04	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00125	0	5e-04	0	0	0.00025	0.00025	5e-04	0	0.00075	5e-04
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Gluceribacter"	0.00025	0	0	0.00025	0	0.00075	0	0.00025	0	0.00025	0	0.001	0	0.00025	0	0	0.00025	0	0	0	0	0.00025	0	0	0.00025	0.00025	0	0	0	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides"	0	0	0.00075	0	0	0	0.00025	0	0	0	0	0.00125	0.00075	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0.00025	0	0	0.00025	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0	0	0	0	0	0.00025	0	0	0.00025	0	0	0	0	5e-04	0	0	0	0	0	5e-04	0	0	0	0	0.002	0	0	0	0.00025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0	0	0.00025	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.00125	0.00025	0	5e-04	0	0.00025	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Qiania"	0	0	0	0	0	5e-04	0	0	0.00025	0	0	0.000375	0	0	0	0.00025	0	0	0	0	0	0.00075	0	0	0.00025	5e-04	0.00025	0	0.00025	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0.00025	0	0	0.00125	0.00025	0	0	0	5e-04
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00075	0.00025	0	0	0	0	0	0	0.00025	0	0	0	5e-04	0	0	0.00025	0.00025	0.00025
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella"	0	0.00025	0	0.00025	0	0	5e-04	0	0	0.00025	0	0	0	0.00025	0	0	0	0.00025	0	0.00025	0.00025	0	0	0	0.00025	0	0.00025	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia"	0	0	0	0	0	5e-04	0	0	0	0	0	0.000625	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	5e-04	0	0	0.00025	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Catenibacillus"	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125	0.00075	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hungatella"	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0.00025	0.00025	0	0.00025	0.00075	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Jingyaoa"	0	0	0	0.00025	0	0	0.00025	0.00025	0	0	0	0.000625	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Leyella"	0	0	0	0	0	0	0.00025	0	0	0	0	0.000125	0	0.00025	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0.001	0.00025	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia"	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0.00025	0	0	0	0	0	0.00075	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter"	0	0	0	0	0	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0.00175	0	0	0	0	0.00025	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0.00075	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0.00025	0.00025	0.00025	0	0.00025	0.00025	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Faecalimicrobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea"	0	0	0	0	0	0	0	0	0	0	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0
