tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	7	19	10	0	42	33	22	4	0	1	10	13	31	4	21	36	38	12	2	33	11	64	23	36	472
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	2	5	2	0	4	1	70	11	2	5	42	33	83	4	6	0	3	0	11	33	6	13	6	73	415
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	3	112	0	0	0	0	5	36	0	0	0	9	2	76	5	47	0	27	88	0	410
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	5	6	0	0	21	38	3	3	0	0	3	4	13	13	28	52	20	10	1	16	7	64	44	55	406
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	1	1	43	0	7	8	0	0	0	0	57	64	0	79	7	7	6	15	73	0	0	7	5	0	380
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	5	5	4	1	14	14	6	5	0	1	42	13	59	23	24	30	5	30	8	8	0	37	6	3	343
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	20	5	0	0	25	21	25	0	0	0	0	0	0	0	133	19	48	0	0	0	4	4	1	33	338
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	86	0	233	0	0	0	0	326
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	0	6	2	0	10	4	2	0	0	1	45	7	36	25	14	19	4	20	2	2	2	101	23	0	325
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	3	6	71	0	14	7	9	6	2	5	11	13	25	0	49	15	6	44	6	7	0	2	7	3	311
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	302	0	0	0	0	0	310
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	1	1	4	97	0	0	0	0	0	3	34	2	0	0	1	73	12	51	0	7	18	1	305
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	1	3	0	12	5	7	1	0	0	1	12	22	83	18	6	15	70	4	32	0	1	0	6	299
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	2	1	0	11	7	29	4	0	0	2	7	14	54	10	7	12	27	4	82	1	5	3	5	287
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	2	7	0	0	21	13	3	8	2	1	26	9	18	4	7	41	22	2	1	13	3	38	5	19	265
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	1	1	0	0	8	14	2	2	0	0	3	2	6	7	38	15	12	2	0	5	3	62	52	25	260
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	236	0	0	0	0	0	242
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	7	0	0	2	5	0	0	0	0	86	28	0	23	21	0	0	11	35	14	0	0	0	0	232
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	3	0	0	0	13	10	4	4	0	2	18	5	29	1	16	22	7	2	8	3	1	62	15	3	228
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	8	6	0	1	0	0	0	0	0	89	45	60	2	2	0	0	4	1	0	0	0	0	0	218
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	3	5	0	0	45	6	15	2	2	3	8	6	20	3	18	12	12	8	3	12	0	11	4	10	208
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	18	2	0	0	16	10	15	0	0	0	1	0	2	0	70	9	15	0	0	0	5	5	1	18	187
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	1	35	0	8	14	3	0	1	0	11	9	7	0	54	7	5	17	11	1	0	0	0	0	184
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	0	8	0	0	0	0	21	0	1	3	18	25	36	4	0	0	0	0	4	16	6	4	1	27	174
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	172	0	0	0	0	0	174
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	0	2	11	0	2	14	0	1	0	2	33	30	0	31	13	2	2	20	0	0	1	7	2	0	173
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	1	5	0	0	0	0	0	0	0	13	9	32	6	84	0	0	3	18	0	0	0	0	0	171
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	1	0	0	10	27	0	2	0	0	8	13	1	4	23	10	16	4	22	22	0	1	0	0	164
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	2	3	0	0	6	6	5	4	1	2	10	8	10	3	14	19	10	3	5	12	3	10	7	8	151
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	11	1	0	0	10	6	9	0	0	0	0	0	0	0	65	8	15	0	0	0	3	6	1	15	150
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	0	8	15	0	7	5	3	1	0	0	10	7	4	5	20	21	4	5	2	4	1	14	3	1	140
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	1	0	0	0	8	5	30	2	0	1	0	2	2	12	17	2	9	14	0	21	0	0	0	8	134
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	110	0	0	0	1	0	0	1	4	0	1	0	10	0	0	2	1	1	0	0	1	1	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	6	2	0	0	12	15	14	1	0	2	3	4	8	1	30	5	15	0	1	1	2	1	1	8	132
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	3	1	0	5	4	2	1	1	1	17	9	7	13	16	11	4	3	2	3	0	20	5	0	129
