"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"fpt14"	0.02	0.22	0.18	0.04	0.13	0.09	0.93	0.71	0.18	0.07	8.62	0.16	0.11	2.8	0	0.16	1.76	0.02	0.09	0	0.69	0.34	0.78	0.02	0.09	5.7	1.71	0.36	0.07	0.16	0.03	0.64	0.11
"fpt15"	32	36.51	45.78	51.16	31.95	56.63	46.84	45.71	20.11	30.84	60.57	38.75	76.15	36.37	87.49	17.3	58.41	68.04	45.67	96.93	75.04	59.33	68.3	72.36	35.54	52.93	73.17	60.41	82.07	39.82	60.6	60.15	34.99
"fpt16"	2.16	2.53	2	0.76	0.6	1.04	1.65	0.98	2.84	2.09	1.6	1.09	0.82	0.49	2.11	18.74	11.58	6.42	2.18	0.94	0.84	0.97	1	1.5	3.07	2.19	1.09	0.58	0.89	1.51	1.96	2.78	5.14
"fpt17"	0.02	0	0	0	0.02	0	0	0	0.04	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt18"	0.02	0	0	0	0.02	0	0	0	0.04	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt19"	0.04	0	10.52	0.13	3.31	4.25	4.32	4.58	0.04	0.16	0	0.07	23.54	0	30.87	0.02	0	0.11	0.22	39.38	26.22	0.08	24.31	32.01	0	0	28.21	21.95	39.18	1.02	17.54	9.18	0.56
"fpt20"	0.02	0	0	0	0.04	0	0	0.85	0.04	0	0	0.07	0.09	0	0.04	0	0	0	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.51	0.13	0	0.09	0.02	0
"fpt21"	0.13	0	19.01	0.4	7.34	9.71	7.83	9.1	0.16	3.65	0	1.45	49.43	0.02	56.83	0.04	0.04	0.4	0.38	72.16	47.2	0.32	45.26	57.4	0.04	0	52.02	41.48	69.67	2.04	31.25	15.56	1.2
"fpt22"	0.58	2.29	8.63	1.82	5.07	7.4	3.2	5.69	0.62	0.93	29.63	6.29	20.09	9.83	23.16	1.2	10.55	0.78	1.49	25.09	19.73	2.77	21.22	23.05	0.53	1.24	25.74	19.95	26.76	1.93	12.58	11.82	3.85
"fpt23"	0.64	2.29	21.1	2.02	9.45	14.07	8.32	12.14	0.71	4.47	29.63	7.74	54.57	9.85	60.08	1.24	10.6	0.98	1.76	75.8	52	3.02	51.85	62.12	0.58	1.24	59.25	46.51	75.07	3.11	34.01	22.76	4.69
"fpt24"	0.58	2.29	8.63	1.82	5.07	7.4	3.2	5.69	0.62	0.93	29.63	6.29	20.09	9.83	23.16	1.2	10.55	0.78	1.49	25.09	19.73	2.77	21.22	23.05	0.53	1.24	25.74	19.95	26.76	1.93	12.58	11.82	3.85
"fpt25"	3.42	2.29	23.03	2.58	9.87	14.65	9.77	12.72	0.76	5.6	30.54	10.43	55.66	10.39	61.01	14.18	12.38	6.2	3.29	78.08	59.09	6.42	53.87	62.31	3.2	3.3	61.58	47.58	75.11	3.13	34.06	22.96	10.72
"fpt26"	0	0	0	0	0.02	0	0	0.13	0	0	0.02	0	0.09	0.07	0.04	0	0	0.02	0	0.31	0.07	0.11	0.18	0.16	0	0	0.07	0.07	0.13	0.02	0.09	0.02	0
"fpt27"	0.04	0	12.47	0.2	4.38	6.82	5.1	6.03	0.09	3.62	0.02	1.33	34.59	0.11	36.99	0.09	0.11	0.22	0.29	44.78	32.27	0.39	30.74	39.26	0	0.08	33.57	26.07	48.47	1.2	21.51	11.02	0.89
"fpt28"	0	0	0	0	0.02	0	0	0.13	0	0	0.02	0	0.09	0.07	0.04	0	0	0.02	0	0.31	0.07	0.11	0.18	0.16	0	0	0.07	0.07	0.13	0.02	0.09	0.02	0
"fpt29"	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0	0.09	0.07	0.04	0	0	0	0	0.29	0.07	0.11	0.13	0.16	0	0	0.07	0.04	0.13	0.02	0.09	0.02	0
"fpt30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.11	0	0.09	0.02	0.03	0	0	0	0	0	0	0	0	0
"fpt31"	0.02	0	0	0	0.02	0	0	0	0.04	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt32"	0.04	0.02	0.02	0.04	0.04	0.04	0.04	0	0.07	0.02	0.02	0.07	0	0.09	0	0.09	0.02	0	0.11	0	0.02	0.1	0.07	0.01	0.11	0.14	0.02	0	0.04	0.02	0	0.09	0.09
"fpt33"	34.16	39.04	47.78	51.91	32.55	57.68	48.49	46.66	22.96	32.93	62.17	39.84	76.88	36.88	89.55	36.04	69.98	74.46	47.84	97.44	75.82	60.17	69.17	73.68	38.61	55.12	74.19	60.94	82.8	41.33	62.46	62.9	40.13
"fpt34"	32	36.51	45.78	51.16	31.95	56.63	46.84	45.69	20.11	30.84	60.57	38.75	76.06	36.39	87.44	17.3	58.41	68.04	45.67	96.5	74.98	59.21	68.17	72.18	35.54	52.93	73.1	60.36	81.91	39.82	60.5	60.12	34.99
