"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9","ophelia_9"
"iris_14",20.2574831308878,15.6823376384514,21.6139584546197,19.1533903379435,21.8156985188586,20.0458637474269,22.0122254498415,21.6560703462331,20.1332905062188,20.0001032459217,0,20.0471340179399,22.0675105911685,12.4399895023082,24.7335630690275,23.3355998845282,20.4593799807978,24.1828956577963,21.9601795536504,37.8941065372986,24.6125153527531,23.1067164798842,24.085067684026,26.828015024051,20.1867794348896,17.2467065415786,22.2363429395471,23.3075723717518,25.0350292609809,19.5266156173491,25.297663212166,21.768179752685,22.2687310018701,19.0654213106928
"jarjarbinks_14",15.6546238261194,16.103660385668,20.9638793696612,14.8638964098582,16.9267421686949,17.1851632798096,22.4710872519903,22.8362204332787,19.011676056108,14.9076918231761,20.0471340179399,0,19.0474511261282,18.4538029033537,22.7345166270157,20.3939996644676,25.4711861380496,21.8339944440326,18.1710088442508,37.5169680545251,23.6112719623033,18.768302817238,23.6003771844333,26.1387886019343,16.7673651540502,23.9829460734489,22.4568097163013,22.8971707761737,24.6973613149675,18.7621271699349,25.5036227452216,21.6604246681406,17.4170160409621,9.57205267367692
"kubo_14",17.0993099655886,18.8825657609331,14.0749153264289,16.1538602239186,14.5457612113279,10.157475441831,15.780978907523,16.84160470902,18.8512138381524,15.5576288123763,22.0675105911685,19.0474511261282,0,22.502678408315,14.053015626133,21.2265390008177,26.9936938183571,19.892232381132,17.52539633218,31.5295598333498,16.2916747092748,17.5894576650907,17.0668742800227,18.3742647853457,18.396744441815,25.6502613052055,15.9356248771833,16.2770999136955,15.7626773611062,15.5590943575095,18.4082734816064,16.6340895487821,17.6854783009543,17.7976476202134
"wolverine_14",19.4368575759369,15.9342784679452,21.1826166336017,18.4051951812167,19.0823889316654,20.7079373517654,22.0028315427953,22.3806054574362,18.0805243769951,18.4267783338976,12.4399895023082,18.4538029033537,22.502678408315,0,25.4982133328856,24.96312865221,24.4882899967702,26.2989743939373,20.2494386468579,38.4328250359171,25.0415246832093,21.9240549252367,25.1704622627699,26.1483092842908,19.1689599243277,15.8589299412371,24.1718831357237,23.6540797428758,24.3229855261724,18.8654329025269,26.8196892709382,22.2080250541268,21.4090221533623,17.5210209350226
"ginger_2",18.0102322832138,21.8878611686611,12.9123240937986,19.0104481840091,17.6856459564174,18.4420043472756,12.6681135833403,19.1430109844693,18.9056486163248,18.819720776494,24.7335630690275,22.7345166270157,14.053015626133,25.4982133328856,0,20.515853511352,27.534425406773,15.3582219459278,17.1193963176007,27.5663507633165,15.9343666208068,22.9785007935917,16.5069769802082,15.1984749257099,19.4962520601086,27.3203853623878,15.9107028465148,16.2633815646246,13.2304500343656,17.2199295815216,17.442637011327,16.1008188736314,19.2538470644998,21.3185591860139
"hera_2",15.2185192834877,21.1543975559463,20.6128781083467,17.6281279492959,20.9859289442489,21.5967388147737,20.5895147474421,23.2071107220227,18.8501432030059,17.7931673356626,23.3355998845282,20.3939996644676,21.2265390008177,24.96312865221,20.515853511352,0,21.939132387287,15.4447113676041,17.7585217497536,33.9682192946212,22.6985175623277,23.1348083801211,23.3970270036734,24.2606081347874,15.5863301524139,26.1676604926729,22.6841365265631,23.3439497342076,22.7167693604858,20.1428364592664,23.9425089869795,21.6894569183353,18.1747407812169,18.5667982781433
"jarjarbinks_2",26.2143925452752,21.7567824638201,27.480079730454,25.1406457091187,27.894360013819,26.3880890886345,27.1043221217226,28.1140578355485,25.5966631937881,25.7643947303698,20.4593799807978,25.4711861380496,26.9936938183571,24.4882899967702,27.534425406773,21.939132387287,0,22.7961055641131,27.4048771337203,37.0667101625189,29.6357771839328,30.2486972590621,29.0750884720887,30.6943586756617,26.5310393837145,28.0985990852655,27.8991237934791,28.7033933765469,29.1964326047025,25.4929003105924,28.4912638274099,26.2233958446873,26.600471705992,25.2568927686991
"lambchop_2",19.9126420843819,22.3531932322246,20.4378051109282,19.9385808578259,22.6585067698666,21.9084123650065,19.4122743085882,23.6915655421452,21.3682541539255,20.3848694596028,24.1828956577963,21.8339944440326,19.892232381132,26.2989743939373,15.3582219459278,15.4447113676041,22.7961055641131,0,19.9668267166212,30.4036889030036,22.7689066003013,23.5425357162928,22.844035658538,23.9654489379593,20.5102360626557,28.5098163378853,22.1998365898423,22.6596539266977,22.140681350549,21.0943522113987,23.8683961050086,18.6957117001319,21.8996506711052,21.2002172420616
"jarjarbinks_3",11.1371454650275,17.9681633361765,14.5021570578986,17.4373741652387,16.979068061067,19.3671533892286,13.2338496680331,22.3407299983477,12.2967804158063,14.9507411846391,21.9601795536504,18.1710088442508,17.52539633218,20.2494386468579,17.1193963176007,17.7585217497536,27.4048771337203,19.9668267166212,0,35.4827450283739,18.5857833579955,17.5671449950414,20.4143938909655,17.6838621569013,10.4414119558588,20.1709335828452,20.9796748139714,21.6443381031497,16.8242575492272,14.0717573322918,22.4998275434514,15.9304015383492,11.9226722537293,14.8844695975527
"goose_4",35.1351984708087,36.2486150010701,31.9523963547008,33.9587118883984,33.7989019398994,34.6163817636925,32.4868336379167,32.5990121361279,34.7513923904384,34.8634308086552,37.8941065372986,37.5169680545251,31.5295598333498,38.4328250359171,27.5663507633165,33.9682192946212,37.0667101625189,30.4036889030036,35.4827450283739,0,29.893434988398,39.7732143756342,29.9059870859337,30.554712332198,35.9719408224281,41.738663384355,30.0631890921965,28.8510079956816,27.56340408246,34.7410494263887,32.4725901827799,33.9962837282453,36.2709126378323,36.7903123680257
"padme_5",18.7560507834351,23.2870174412723,13.2302114832034,21.2207661035304,18.4134661287411,20.2129043586077,16.5423853000871,17.9341795828397,20.6093628895766,19.442875934188,24.6125153527531,23.6112719623033,16.2916747092748,25.0415246832093,15.9343666208068,22.6985175623277,29.6357771839328,22.7689066003013,18.5857833579955,29.893434988398,0,23.2582228272547,8.91598100506605,16.2196617391822,18.8535620284995,26.2164915100107,10.4633145435622,14.7350742080923,13.1872117229922,18.8086764154415,19.9069350992595,18.8313150660309,18.6305509406669,21.9518723193748
"korra_6",18.0980942788023,19.6533044569771,19.5879409210438,18.8345619866803,19.562235204957,17.0119857672429,20.0031901552323,22.6833718820968,19.9030657275038,18.6263551960829,23.1067164798842,18.768302817238,17.5894576650907,21.9240549252367,22.9785007935917,23.1348083801211,30.2486972590621,23.5425357162928,17.5671449950414,39.7732143756342,23.2582228272547,0,24.3713713870305,25.3827501786625,17.7842374830311,24.0171041112673,23.7551093480971,24.2136182105038,24.8464724407749,17.9572872993036,26.3315021611482,20.4168887008243,18.2318923751579,16.9334551052933
"padme_6",20.1288633586777,22.8725178914985,14.4235548296169,21.7659276455485,19.8582966482382,19.5317268060451,18.0589304742911,17.2069020476177,21.6418967340112,20.8604959350749,24.085067684026,23.6003771844333,17.0668742800227,25.1704622627699,16.5069769802082,23.3970270036734,29.0750884720887,22.844035658538,20.4143938909655,29.9059870859337,8.91598100506605,24.3713713870305,0,17.3096483603657,20.4619041695607,27.3485793765471,9.02937089480373,14.2162861084694,14.544131216205,18.4419718088078,19.7141339300598,19.3298090656375,19.9495448807295,22.2748325211995
"ginger_7",20.355925578758,23.8480486179896,15.7532876909645,23.4616219966117,19.6980119283233,22.7923613198061,15.9983142858242,22.2193500422076,17.7633450451435,21.2885170547285,26.828015024051,26.1387886019343,18.3742647853457,26.1483092842908,15.1984749257099,24.2606081347874,30.6943586756617,23.9654489379593,17.6838621569013,30.554712332198,16.2196617391822,25.3827501786625,17.3096483603657,0,20.5691053572694,25.8009486981292,18.8628139832502,19.2716166302167,9.25024181235966,17.9308217279164,17.8252143494266,16.7413645488095,18.9953230612012,24.3586139275301
"hera_7",7.81197475587161,16.2870158145261,15.7964744363852,13.4771984639598,14.7231905264237,18.6348139253811,16.0918362852178,20.7990080861289,13.1655132868798,11.4980648645839,20.1867794348896,16.7673651540502,18.396744441815,19.1689599243277,19.4962520601086,15.5863301524139,26.5310393837145,20.5102360626557,10.4414119558588,35.9719408224281,18.8535620284995,17.7842374830311,20.4619041695607,20.5691053572694,0,19.4967699542514,20.5929253807583,20.8983437558692,19.0844630614552,14.6052748355431,22.2722370112437,18.7502699517676,13.3850242357675,12.7233012494828
