tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	14	0	0	0	0	0	257	148	4	0	0	0	0	0	0	0	154	69	0	51	7	0	0	0	704
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	41	39	0	45	50	0	91	40	9	12	57	14	28	0	0	6	31	26	61	38	1	40	0	0	629
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	14	12	0	26	35	30	39	32	8	27	23	90	16	18	15	1	22	8	1	14	5	104	55	16	611
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	12	10	0	26	13	29	50	18	10	56	15	9	24	29	4	13	36	41	5	1	6	55	39	30	531
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	10	55	0	12	10	2	11	14	7	26	35	41	41	140	7	2	13	25	0	0	0	17	15	27	510
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	25	49	0	8	1	8	6	0	4	2	0	95	155	0	0	2	2	2	0	20	0	10	2	3	394
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	4	2	0	12	33	16	16	20	9	30	20	39	22	19	19	0	21	23	0	12	2	11	18	12	360
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	8	26	0	0	0	0	0	0	0	7	255	13	44	1	1	0	0	0	0	0	0	0	0	1	356
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	0	22	0	36	0	0	0	3	0	22	33	88	16	15	39	1	1	1	0	15	0	10	8	10	320
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	10	85	0	9	1	8	7	0	9	2	2	50	83	0	4	1	1	0	0	32	1	6	3	6	320
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	17	0	0	9	18	0	19	9	0	0	0	1	0	64	119	15	24	15	0	0	0	0	0	6	316
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	31	1	0	0	0	0	0	13	9	19	21	10	138	1	0	0	0	0	4	4	21	18	18	309
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	3	20	0	1	0	0	0	0	1	6	9	5	7	226	7	0	0	0	0	3	0	6	8	5	307
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	6	10	0	22	24	31	31	15	1	2	5	15	4	1	7	15	19	12	5	23	0	23	4	10	285
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	5	8	0	15	15	23	36	23	4	7	6	10	8	20	16	5	10	9	0	3	6	7	13	14	263
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	6	31	0	0	1	0	25	10	6	25	18	36	7	0	0	0	10	4	0	0	1	58	0	0	238
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	3	95	0	2	2	5	2	1	15	8	1	9	1	23	4	0	2	0	0	2	3	3	11	34	226
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	14	29	0	39	0	0	4	11	0	0	0	0	0	23	21	0	0	0	0	40	0	0	6	36	223
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	3	0	0	0	2	0	0	13	2	10	0	0	0	0	77	12	0	0	1	0	96	216
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	7	9	0	8	2	0	0	0	0	19	24	15	7	17	3	0	0	0	0	0	0	8	59	34	212
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	18	6	0	6	7	19	6	11	3	7	4	12	4	3	5	4	30	9	9	11	4	17	8	8	211
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	3	87	0	0	0	0	0	0	4	13	11	23	0	43	1	0	0	0	0	0	2	8	4	1	200
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	10	0	0	9	14	0	11	3	0	0	0	0	0	37	60	11	15	6	0	0	0	0	0	4	180
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	3	0	17	11	1	0	0	7	1	6	2	3	19	5	0	0	0	0	27	3	4	20	50	179
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	2	7	0	31	0	0	0	0	4	11	27	3	2	21	51	2	0	0	0	0	4	0	8	0	173
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	57	3	0	0	11	2	11	0	3	1	20	14	0	0	1	0	0	2	20	14	6	167
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	2	16	0	3	3	1	6	1	2	7	10	6	12	25	1	1	17	30	0	0	1	10	4	7	165
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	123	36	0	0	0	0	162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	2	21	0	4	1	0	2	7	0	0	0	0	0	70	25	0	3	3	0	0	0	0	9	1	148
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	2	0	0	37	4	0	0	5	1	14	0	3	4	22	11	0	1	0	0	0	2	14	17	8	145
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	2	2	0	11	16	21	7	5	1	2	0	1	1	12	15	0	3	6	4	0	0	5	2	4	120
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	0	0	0	0	2	11	18	15	17	4	1	1	0	0	0	0	7	10	8	2	22	118
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	6	0	0	6	12	0	13	3	0	0	0	0	0	21	41	4	6	1	0	0	0	0	0	0	113
