"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"g__Parabacteroides"	16	72	24	18	68	20	209	38	102	82	52	144	153	0	194	29	51	209	100	258	0	142	137	201	60	529	53	54	80	82	139	57	140	118	72	32	1	156	164	45	78	111	75	106	226	231	124	118	41	71	44	120	282	62	117	28	80	70	117	0	78	50	55	68	56	17	400	272	29	102	107	35	325	94	67	559	66	121	93	217	110	37	144	199	134	189	111	169	171	181	140	16	54	50	17	43	233	200	89	88	63	82	422	45	21	56	54	91	253	272	277	676	84	253	20	143	22	179	363
"g__Prevotellamassilia"	153	0	31	21	32	62	0	59	0	96	80	0	110	0	0	161	95	0	113	160	0	0	305	0	710	0	248	122	62	0	174	167	105	100	60	67	1	0	145	136	0	95	172	53	154	0	231	89	44	83	47	162	211	96	187	0	98	41	0	0	195	184	90	0	82	21	0	783	0	657	237	27	556	97	638	0	0	233	148	280	0	85	196	0	0	68	0	249	0	89	278	0	26	0	0	115	72	169	0	0	1	82	494	1	55	0	59	250	0	419	312	0	0	719	25	109	141	0	328
"g__Blautia"	81	180	80	132	179	65	63	73	270	751	368	69	308	0	117	90	124	24	47	87	0	155	92	91	6	54	1	7	84	53	196	119	48	46	73	85	56	44	59	9	19	47	88	140	451	77	14	36	16	108	29	122	103	35	45	57	31	69	112	0	161	75	36	2	294	82	105	3	9	24	30	191	62	222	41	30	13	31	71	237	47	21	79	30	4	59	42	49	18	22	22	74	22	20	14	9	43	47	59	136	9	149	157	79	9	66	28	145	28	35	154	39	33	12	74	69	44	93	64
"g__Fusobacterium"	35	143	2065	455	1086	204	263	252	76	37	254	15	1	0	0	8	0	32	4	4	0	5	0	167	20	73	0	2	0	131	0	12	0	0	8	4	1	72	3	279	20	0	12	0	1	1	8	0	0	0	17	8	0	16	38	248	4	19	124	1	134	73	0	205	36	1	157	0	130	50	84	7	0	29	6	99	158	9	3	0	155	2	36	29	22	1	23	4	51	0	0	29	3	38	15	0	0	3	78	66	30	33	10	40	2	25	10	110	26	1	265	14	108	24	4	74	35	192	2
"g__Sutterella"	68	36	35	24	32	91	69	19	20	32	21	24	41	15	14	13	32	35	69	52	136	18	97	35	398	71	213	144	26	71	46	9	62	43	74	13	174	30	14	53	32	77	59	44	35	24	15	70	33	96	8	95	190	109	60	39	119	12	14	2	153	87	135	132	84	42	110	183	62	168	52	16	127	92	150	89	250	34	28	83	49	84	50	67	74	92	98	63	113	133	49	132	6	62	104	121	69	53	25	71	143	49	102	31	144	17	110	44	105	54	61	74	136	38	14	136	102	190	219
"g__Xylanibacter"	0	0	0	0	0	0	287	0	71	0	0	365	0	0	1	0	0	507	0	0	0	2	0	542	2	65	0	105	0	301	0	0	0	0	59	0	119	319	1	1	848	1	0	1	1	23	0	0	0	0	0	1	0	45	1	0	51	0	135	0	0	0	74	0	0	14	335	0	0	0	0	0	1	0	0	350	0	0	0	1	0	37	0	239	362	0	0	0	136	0	0	0	0	23	0	60	0	0	0	317	0	0	0	39	34	35	40	0	566	1	0	466	81	0	0	0	0	584	0
"g__Enterobacter"	0	0	0	1	7	2	0	3	0	0	6	0	3	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	10	90	0	0	0	0	0	5	0	0	89	64	0	0	523	0	1	0	0	5	16	3471	0	608	11	0	0	0	2	0	0	0	231	0	0	0	0	92	0	0	0	0	338	0	0	0	0	0	0	0	0	702	24	1	0	0	0	5	0	1088	1	7	112	0	0	1	0	0	0
"g__Clostridium"	46	42	71	84	42	36	44	30	134	145	75	55	196	52	58	63	60	69	37	122	112	84	83	53	33	20	9	38	70	40	58	52	24	28	26	7	4	13	58	58	76	26	34	22	61	62	39	23	8	39	49	41	50	20	159	38	26	27	51	27	178	71	16	0	107	13	46	3	4	69	57	50	30	84	92	35	2	127	114	40	55	5	116	55	73	54	136	149	54	28	19	1	34	28	1	8	59	53	117	88	2	75	49	31	11	54	18	58	100	36	197	99	42	27	73	23	57	109	151
"g__Duodenibacillus"	18	56	6	9	25	25	17	22	5	8	21	18	51	3	21	47	76	19	28	47	4	32	36	10	634	565	140	30	29	13	23	38	8	22	13	12	13	2	40	15	5	36	6	14	23	34	34	19	7	23	13	39	79	28	34	34	37	9	35	0	106	32	28	0	24	18	17	648	0	61	32	11	67	32	100	23	2	33	38	29	34	18	25	62	32	35	63	39	122	42	70	1	4	95	1	27	23	54	25	37	1	20	23	18	22	20	29	13	61	28	30	50	142	436	8	21	66	49	62
"g__Wansuia"	51	51	29	47	37	22	29	30	46	137	65	122	25	0	21	71	25	52	44	25	0	41	66	26	6	6	2	162	45	47	32	21	41	40	153	15	57	42	32	40	29	22	45	34	59	20	21	66	14	87	23	24	156	45	39	29	83	35	79	0	139	23	66	0	105	61	67	15	5	10	30	46	35	51	13	56	6	55	43	48	33	30	46	35	41	164	20	65	28	71	38	7	16	15	6	23	86	78	66	83	19	63	83	65	5	50	43	67	67	34	231	63	28	13	30	61	30	191	45
"g__Succinatimonas"	56	104	26	42	56	52	31	99	32	45	41	50	20	0	32	61	41	33	26	31	0	32	48	35	26	10	3	39	84	32	35	87	5	14	31	11	38	22	59	40	5	21	40	19	50	20	31	17	15	42	18	86	69	33	33	62	65	19	44	0	354	107	95	19	69	45	34	4	62	22	27	21	0	72	36	40	30	21	32	2	116	44	51	18	15	36	67	60	60	1	20	46	8	22	19	27	20	28	73	27	20	60	52	76	42	33	45	29	41	29	178	35	48	21	18	30	59	89	6
"g__Collinsella"	16	76	22	30	9	15	13	2	38	40	10	3	20	0	10	10	24	105	5	56	0	14	48	33	26	526	6	9	11	4	4	49	0	34	0	63	7	12	6	2	9	6	121	14	57	18	3	12	3	9	106	25	73	13	73	24	16	13	166	0	19	19	5	17	6	98	33	18	26	257	358	9	45	17	73	8	6	20	13	61	6	8	83	61	17	10	22	24	50	10	4	8	9	21	13	14	17	9	117	6	44	81	85	15	15	29	5	90	20	47	14	13	151	44	118	92	6	3	84
"g__Enterocloster"	28	20	39	68	24	30	31	12	140	53	35	42	124	0	46	60	38	55	29	110	0	50	40	53	5	3	0	38	32	47	26	42	15	41	29	9	17	9	38	29	46	49	21	50	44	47	28	27	14	21	32	34	47	22	78	19	30	19	33	0	119	44	25	0	48	29	51	2	0	44	44	26	33	63	39	34	0	71	58	38	48	4	55	26	71	36	85	86	42	30	18	0	13	15	0	10	47	35	92	62	0	44	18	19	5	32	16	26	66	21	94	120	17	3	57	27	36	104	80
"g__Lacrimispora"	52	34	59	72	66	40	44	18	141	70	50	104	49	0	15	29	34	72	8	49	0	20	18	30	7	3	0	11	80	19	10	24	6	7	17	10	4	10	19	37	11	12	37	22	27	9	13	6	3	16	14	23	24	13	77	29	15	14	21	0	105	29	12	0	43	12	43	0	1	16	50	19	9	41	25	21	2	46	75	10	53	2	50	16	19	31	61	63	26	9	7	3	16	11	0	2	9	11	92	33	0	39	15	16	3	29	10	38	51	16	167	73	10	9	48	15	22	66	26
"g__Allisonella"	35	0	12	19	6	15	0	6	0	4	18	0	21	36	0	10	15	0	14	35	93	0	26	0	5	0	0	55	22	0	6	17	23	45	30	7	5	0	15	53	0	27	10	30	5	0	11	22	21	61	33	22	40	19	8	17	75	2	0	0	26	11	98	82	10	106	0	2	32	11	21	2	54	5	25	0	16	42	26	65	20	82	4	0	0	55	34	9	0	170	61	41	1	0	95	142	85	18	79	0	29	4	3	0	144	0	80	11	0	2	41	0	0	2	74	51	38	0	22
"g__Bifidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	108	852	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1166	0	0	0	0	0	2	1	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0
"g__Mediterraneibacter"	18	14	113	179	147	52	7	6	32	102	24	9	11	0	3	19	28	6	0	3	0	6	6	11	1	4	0	0	23	27	32	47	0	1	2	38	4	2	5	31	36	1	60	4	64	2	3	0	0	0	2	129	0	2	8	46	1	30	4	0	94	20	1	2	99	2	6	0	5	11	19	71	1	75	6	5	10	30	29	0	8	0	22	3	6	1	9	10	4	2	0	5	9	4	13	0	0	2	16	9	11	26	38	10	2	7	2	94	3	11	14	3	1	6	61	1	18	21	3
"g__Flavonifractor"	7	20	32	27	31	15	20	3	41	74	17	11	28	0	4	16	12	73	8	5	0	48	5	13	4	7	0	0	23	11	24	12	9	1	0	10	0	1	8	22	3	1	10	1	38	43	8	2	0	5	6	12	13	0	195	5	0	19	36	0	82	30	0	0	39	0	14	0	0	19	58	34	2	37	15	10	0	42	38	14	13	0	91	31	4	4	7	47	47	1	1	0	26	1	0	0	0	12	26	10	0	49	41	21	0	23	0	54	34	29	32	53	5	21	17	9	6	5	33
"g__Succinivibrio"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	55	154	0	0	0	0	3	0	110	0	12	0	3	0	0	0	0	0	0	0	23	1	0	1	19	0	4	115	0	0	194	0	0	0	0	0	263	44	0	118	0	30	106	0	0	0	0	0	0	0	66	0	0	0	0	136	0	0	0	2	0	0	0	1	0	100	0	0	37	86	0	0	0	0	39	0	0	0	159	0	138	0	0	0	15	0	0	0	0	3	0	0	0
"g__Faecalicatena"	7	5	12	19	19	7	19	5	172	172	33	29	22	0	10	22	9	7	2	3	0	29	25	53	0	6	0	0	9	54	39	15	2	7	14	4	0	11	4	0	25	4	4	30	81	21	2	2	0	13	3	10	10	6	2	2	2	19	14	0	32	20	1	0	122	1	35	0	0	5	1	55	7	54	6	11	0	9	16	6	10	0	15	5	4	4	2	15	1	3	1	0	12	4	0	0	1	15	10	60	0	45	37	12	0	11	0	30	9	8	11	16	5	0	8	26	3	30	13
"g__Bilifractor"	14	16	7	7	6	7	5	3	24	10	12	12	14	0	8	26	18	7	11	10	0	15	8	8	3	2	0	9	59	10	8	18	11	15	16	13	1	12	5	19	18	12	27	22	10	11	7	15	5	52	11	19	57	22	34	12	14	4	15	0	87	15	18	21	11	39	7	0	17	15	28	6	9	10	18	19	3	54	65	6	12	10	5	15	12	58	9	5	20	23	8	8	3	10	10	9	28	17	24	17	9	10	10	7	5	9	12	37	20	9	36	16	7	2	18	20	19	53	12
"g__Prevotella"	0	0	0	0	0	0	49	0	21	0	0	41	0	0	0	0	0	70	0	1	0	0	0	56	1	97	0	17	0	38	0	2	0	0	5	1	21	40	0	0	108	0	0	0	1	4	2	0	0	0	1	7	5	26	0	0	19	1	19	0	2	2	27	0	0	6	126	2	0	0	4	0	2	1	1	118	0	0	0	0	0	18	9	31	55	0	0	4	44	3	0	0	0	3	0	14	0	0	0	52	0	1	0	6	11	3	20	0	60	12	8	182	34	2	0	2	2	214	0
"g__Streptococcus"	0	3	3	0	2	0	0	2	2	4	1	0	1	2	1	0	0	0	0	1	7	2	7	0	0	0	0	5	0	0	3	1	0	4	2	1	3	0	1	7	0	2	4	4	2	1	0	1	0	0	5	1	2	0	0	3	0	0	4	876	2	1	0	1	0	3	1	0	5	0	1	1	4	1	1	0	13	2	1	4	0	0	2	1	0	0	3	1	1	0	0	34	0	1	27	6	0	0	2	0	4	1	0	1	27	3	3	1	2	2	19	0	24	0	1	1	2	1	2
"g__Leuconostoc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Lachnoclostridium"	4	6	2	10	8	4	7	6	40	7	8	11	7	0	6	6	9	23	4	14	0	10	8	10	3	0	0	4	11	10	0	3	0	4	5	2	8	2	3	3	0	5	3	11	5	4	8	3	4	4	4	6	12	8	14	6	8	3	6	0	30	6	10	0	4	9	18	0	0	8	10	5	3	7	9	5	1	8	10	9	14	2	8	7	10	15	13	9	9	3	2	1	2	4	0	6	12	2	18	6	0	11	3	4	3	6	10	7	14	5	31	20	4	1	6	9	4	27	16
"g__Butyricicoccus"	15	14	16	21	34	15	18	3	37	0	19	13	3	0	1	9	7	6	0	1	0	6	0	10	5	1	1	0	3	28	0	4	0	0	0	1	5	8	1	25	48	0	2	0	0	0	0	0	0	0	0	10	0	0	10	28	0	0	0	0	46	16	0	0	0	0	8	3	0	4	11	0	1	0	2	10	0	11	17	0	5	0	0	1	7	0	4	0	0	0	0	0	0	1	0	0	0	1	2	41	0	0	0	5	1	0	0	11	17	0	4	16	1	1	24	0	18	119	2
"g__Peptococcus"	9	31	1	4	21	1	0	11	0	34	24	0	19	0	5	13	9	0	7	28	0	4	13	0	0	0	0	2	2	0	41	31	3	3	5	10	0	0	27	1	0	1	1	4	23	8	4	10	3	2	1	3	8	2	5	3	0	4	28	0	13	7	0	0	32	1	0	0	0	3	0	5	0	5	4	0	0	4	23	3	4	0	4	12	0	2	9	3	7	1	2	0	1	5	0	1	1	3	4	0	0	9	41	3	0	7	0	11	0	2	15	0	5	0	1	9	3	0	8
"g__Butyrivibrio"	3	5	0	6	1	6	4	2	8	3	7	4	12	0	4	4	1	4	0	3	0	9	3	6	1	6	0	2	3	3	2	5	3	3	6	2	2	8	5	0	3	5	0	10	4	7	0	4	2	3	9	8	17	7	6	9	5	8	15	0	30	5	9	0	6	7	13	1	4	5	8	8	5	16	0	9	3	3	3	2	6	1	8	6	10	21	3	6	7	7	3	2	1	3	0	1	8	5	11	5	2	11	3	8	3	5	3	4	26	10	34	13	7	3	9	11	2	35	5
"g__Duncaniella"	1	3	1	0	1	0	28	2	10	1	0	54	2	0	3	1	3	28	1	7	0	9	13	27	10	28	2	1	3	10	8	1	4	3	5	0	0	18	4	1	28	0	1	1	8	4	5	2	0	1	1	3	5	3	3	0	2	2	5	0	2	1	1	0	1	1	16	27	0	2	2	2	5	2	0	38	0	3	2	2	3	1	2	2	5	7	5	6	4	2	5	0	0	0	0	0	0	5	2	9	0	5	13	4	0	1	0	2	28	9	9	44	5	6	0	3	0	13	2
"g__Barnesiella"	2	9	1	0	9	0	5	4	1	4	4	3	6	0	3	2	3	2	17	12	0	10	24	4	6	17	0	0	4	2	21	3	10	5	0	1	0	0	24	3	0	1	6	7	57	6	25	4	0	0	6	5	58	0	3	0	2	2	2	0	1	0	0	0	0	0	5	3	0	1	1	3	4	4	2	2	0	3	2	1	11	0	15	0	1	7	5	17	0	0	4	0	1	0	0	0	0	20	6	0	0	10	35	2	0	1	0	5	0	9	40	1	0	5	0	24	2	0	15
"g__Paraprevotella"	7	124	1	0	5	1	15	2	0	8	2	26	2	0	3	11	9	48	0	5	0	3	5	13	4	4	5	0	12	2	11	5	2	0	0	1	0	9	3	10	1	1	16	3	29	1	10	0	0	0	0	3	4	2	5	1	1	5	1	0	3	7	2	0	3	0	7	2	0	6	6	1	3	4	4	4	0	4	2	0	2	2	25	1	1	3	2	20	2	2	0	0	2	0	0	1	0	2	2	1	0	3	6	0	0	1	2	3	2	9	10	4	1	12	1	1	2	2	4
"g__Coprobacter"	1	3	2	2	10	3	47	2	8	3	3	9	1	0	0	7	4	16	0	2	0	1	3	9	1	40	9	0	8	5	7	4	0	0	0	1	0	2	9	4	4	0	7	0	25	0	6	0	0	0	1	3	0	0	7	5	0	4	4	0	4	4	0	0	5	0	3	19	0	1	4	2	0	5	2	11	0	11	7	1	17	0	14	2	3	0	2	6	0	0	0	0	3	1	0	0	0	8	3	7	0	9	33	5	0	2	0	7	8	5	15	11	2	16	1	0	5	8	1
"g__Porcincola"	1	1	1	8	0	4	1	2	4	1	0	1	3	0	2	1	1	2	3	1	0	1	0	2	2	0	0	3	3	0	2	2	1	2	1	4	7	2	3	1	2	6	1	5	0	0	1	2	1	10	1	2	27	15	8	4	22	1	1	0	29	2	15	0	0	11	5	0	4	2	3	1	4	4	3	11	1	4	4	1	4	7	2	2	7	38	1	2	13	20	4	1	0	2	0	10	7	3	3	3	0	4	1	1	4	0	16	1	2	4	9	7	2	1	3	10	2	51	6
"g__Colibacter"	0	1	0	0	0	1	5	0	15	0	1	10	1	0	0	0	0	7	1	1	8	1	0	10	1	1	0	0	1	9	0	1	1	2	1	1	0	21	0	0	22	1	0	4	0	1	0	0	0	1	1	0	4	3	0	1	6	0	0	0	4	0	9	1	0	14	23	1	3	1	2	0	1	2	0	19	1	0	0	0	4	9	1	2	38	6	0	0	3	8	0	7	0	2	2	5	3	0	0	22	0	1	0	0	11	0	8	0	14	0	4	19	5	1	5	3	2	73	0
"g__Waltera"	2	3	4	5	2	3	2	3	6	5	3	11	5	0	3	3	1	4	0	5	0	3	5	3	1	4	0	3	6	6	5	3	4	0	5	1	5	6	5	3	5	3	3	4	3	3	1	4	0	12	3	4	7	3	2	6	4	1	5	0	16	1	3	0	5	2	10	0	2	1	1	8	0	7	1	11	2	3	6	2	4	1	6	3	4	14	2	2	4	4	2	1	1	1	2	1	5	2	10	9	5	6	4	3	0	1	0	6	11	6	32	9	4	3	1	2	0	15	2
"g__Paramuribaculum"	2	0	1	1	2	0	0	3	0	3	1	0	7	0	0	4	4	2	3	27	0	0	21	1	3	0	1	0	4	0	8	4	7	5	1	0	0	0	13	3	0	1	3	2	11	0	15	5	0	4	1	6	23	1	6	1	1	7	0	0	2	1	2	0	7	0	1	11	0	3	5	3	7	7	4	2	0	4	4	2	5	1	7	0	1	16	9	8	0	3	14	0	0	0	0	0	3	8	7	0	0	8	30	0	0	0	1	6	1	10	19	2	0	3	0	8	2	0	14
